sheet,row,position,frame_key,video_id,round,reason,terra_label,sol_label,terra_cx,terra_cy,sol_cx,sol_cy,terra_d,sol_d,crop_centre_x,crop_centre_y,width,height,native_crop_px
3,15,3,21e7d20982ca27d24be926b992c39d706262ad7ce8443959e954f2a8b918b34c,H1-Ns9IU-JM,2,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1121.5,426.5,1120.0,404.5,31.0,31.5,1121.5,426.5,1920,1080,160
3,16,4,40cd78f1e635413922331a25f673520a40979096dfe940167a66547a5ae860a4,Ge4uewCFUFQ,2,DISCREPANT_CENTRE,VISIBLE,VISIBLE,525.5,324.0,488.5,309.0,28.5,23.5,525.5,324.0,1280,720,160
3,17,5,0ccf703fa4e22eaa003182451999539dacc875bc8c4c29fbfc1eeef30a93dfb2,7blRl4zVfrY,2,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,789.0,295.5,,,24.5,,789.0,295.5,1280,720,160
3,18,6,1ce8531c56b5acceacfe9fcb730f18b92b79b5f4fe2c7b7a65e51cc3a84caa54,qTXrSRHHR2M,2,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,610.0,196.5,,,22.5,,610.0,196.5,1280,720,160
4,19,1,1b70bb1d3efc9bd6175193869b6efe7b9116524ec3a5d285365a2e894608fe7e,FyMWTVsJvv8,2,LABEL_DISAGREEMENT,VISIBLE,ABSENT,116.5,345.0,,,25.5,,116.5,345.0,1280,720,160
4,20,2,14e9395b630c30d73d0fb8cef241204ce2d0b195cfe45d957e5d2f9794d57625,KZK9rv9TnGE,2,DISCREPANT_CENTRE,VISIBLE,VISIBLE,815.5,422.5,777.0,451.5,33.0,24.5,815.5,422.5,1280,720,160
4,21,3,86603ad2b512037c2b277101a5b8d9fde6ff25f901b3383ff68b0e92890121b5,jHcR5UxPGuE,3,LABEL_DISAGREEMENT,UNKNOWN,ABSENT,,,,,,,640.0,360.0,1280,720,160
4,22,4,77ea01c32fe24bf55d40bae2ee73300e2a25c6223024c6f6192a553c06a68177,52PuVDx8T0o,3,LABEL_DISAGREEMENT,ABSENT,VISIBLE,,,581.5,798.5,,36.0,581.5,798.5,1920,1080,160
4,23,5,58d62331f3974095f7c795241e4187447c0c0313092a6fcbedb472bce515bbd3,spBCthmSgks,3,LABEL_DISAGREEMENT,VISIBLE,ABSENT,382.5,534.5,,,21.0,,382.5,534.5,1280,720,160
4,24,6,42775e938c8216198d44e8346422c78c44c8cf8d24d341e33f71fccca8241d9a,L7o4UCIIqS4,3,LABEL_DISAGREEMENT,UNKNOWN,ABSENT,,,,,,,640.0,360.0,1280,720,160
5,25,1,11a327e470e7fd336f43309d7c9f974a1042949071864d9a6e6bedc680835028,3gBeJyl7Szg,3,DISCREPANT_CENTRE,VISIBLE,VISIBLE,380.0,500.0,245.5,489.5,65.0,130.0,380.0,500.0,1280,720,160
5,26,2,1d4b5ea6115933a74d7575367c15944151f63c5f57dd08bc076e96e851e415b8,pGrVjtS7Xqg,3,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,942.5,277.5,,,19.0,,942.5,277.5,1920,1080,160
5,27,3,5398d378368ea8a73c7a7a8371f8eb1bb167c399d7a940c180ee25b837518d58,Kh7Fj4ogPN4,3,DISCREPANT_CENTRE,VISIBLE,VISIBLE,600.0,183.5,873.0,287.5,25.5,23.5,600.0,183.5,1280,720,160
5,28,4,60a890f483f3e81ae4881a61ae49d75453f18d4110d195574f13128a87148484,Ktu6yFS9iMo,3,DISCREPANT_CENTRE,VISIBLE,VISIBLE,531.5,318.0,745.5,537.0,67.5,179.5,531.5,318.0,1280,720,160
5,29,5,51255806ea975ae87838f777d2e92c97ec6be44363e37133fb083be55e53ec1e,dAy3tnlu3EQ,3,DISCREPANT_CENTRE,VISIBLE,VISIBLE,200.0,188.0,194.5,281.0,18.0,20.5,200.0,188.0,1280,720,160
5,30,6,30505822b4f9a678aa87f3debddc33873a7d85fc1e9c2057bc61bf0f3d4f8f7e,7blRl4zVfrY,3,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1078.0,204.0,1110.5,291.5,21.0,24.0,1078.0,204.0,1280,720,160
6,31,1,342db439be5087e0f97bb937297479d15d1b4bc8d3ebfa052bb7204b9d319d60,s-0Y7aLxXgM,3,DISCREPANT_CENTRE,VISIBLE,VISIBLE,562.0,166.0,774.5,194.5,20.0,22.0,562.0,166.0,1280,720,160
6,32,2,364673586ff647b95288b7b50e0b3677551dc4ad2743631d762152b7ea2ac610,qTXrSRHHR2M,3,DISCREPANT_CENTRE,VISIBLE,VISIBLE,862.5,190.5,856.0,270.5,17.0,13.5,862.5,190.5,1280,720,160
6,33,3,251228393c783d5ba6bd79674edcee42ebce3bd46c56031aa2414be2fbdf9aca,FyMWTVsJvv8,3,DISCREPANT_CENTRE,VISIBLE,VISIBLE,819.0,282.0,808.0,421.5,26.0,23.5,819.0,282.0,1280,720,160
6,34,4,20e1896d8372257eff2b0707c8dfed42c6d566c8279638ab276d261d469d3840,KZK9rv9TnGE,3,DISCREPANT_CENTRE,VISIBLE,VISIBLE,528.5,63.5,756.5,18.0,17.0,24.5,528.5,63.5,1280,720,160
6,35,5,7a2124f313bd153d67baab648d57cd825edda95862d1d998a89370d5b2def1d4,OHJgVogFtNE,4,LABEL_DISAGREEMENT,UNKNOWN,VISIBLE,,,365.5,525.0,,25.5,365.5,525.0,1920,1080,160
6,36,6,683c859b88265acfc46931370397027c6b8b45bad9515a66cece7f96f284679a,KjjghT10zjY,4,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1083.5,760.5,710.5,758.5,27.0,29.0,1083.5,760.5,1920,1080,160
7,37,1,694f990b560c3ea542f2fb86fba9a0ca856072c53bf2be0db9b1f3afa54110fe,3gBeJyl7Szg,4,DISCREPANT_CENTRE,VISIBLE,VISIBLE,583.0,453.0,572.5,428.5,22.0,19.0,583.0,453.0,1280,720,160
7,38,2,2342fa2f794fffb239128ba4e3f610975c24f28f6109ee10f22ddd445137b730,pGrVjtS7Xqg,4,DISCREPANT_CENTRE,VISIBLE,VISIBLE,983.5,287.5,959.5,334.5,35.0,30.0,983.5,287.5,1920,1080,160
7,39,3,450de77d7691584de62e6cbadd9e133901526e45e7ec33d4e565a23fde6d565a,H1-Ns9IU-JM,4,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,1212.0,521.0,,,36.0,,1212.0,521.0,1920,1080,160
7,40,4,75b7df0dc19e6591ae5565817878c5e6d6f77dc51f28f1afe8d98c1161d6756b,Ktu6yFS9iMo,4,DISCREPANT_CENTRE,VISIBLE,VISIBLE,768.0,225.0,739.0,228.5,20.0,20.5,768.0,225.0,1280,720,160
7,41,5,688b16a0eed8b43353b4719136bbe877bdf5e0402bae2e6d212fbc28c8efe7f4,dAy3tnlu3EQ,4,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,690.0,370.0,,,20.0,,690.0,370.0,1280,720,160
7,42,6,821552787edc89400e99ded12330281db58db96a6cfd82ea0fed7b33bcc4a7c1,IpR4pT8iN0Y,4,DISCREPANT_CENTRE,VISIBLE,VISIBLE,710.5,261.5,677.5,245.5,21.0,21.0,710.5,261.5,1280,720,160
8,43,1,2f817c74f8463b628ed68f6f047b9035b6c61aa90f14c2342718530c31c25e3d,FyMWTVsJvv8,4,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1203.0,90.0,1157.5,94.0,167.0,136.5,1203.0,90.0,1280,720,160
8,44,2,5111d6d51460f7a73541ddc95d3c38af4db0c4ae692cb48ae2e84f27451916a3,5zMtHtfCzpI,4,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1044.0,733.0,1125.5,743.5,73.0,61.0,1044.0,733.0,1920,1080,160
8,45,3,8ec0d6a276426c16dbb99bd2340501094adaac892d7de12e9622c1fc7876682f,L7o4UCIIqS4,5,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,794.0,308.5,,,18.5,,794.0,308.5,1280,720,160
8,46,4,73b55b32aaa40695a8e629c18214512f5c22341c337623c999d5af28246ea59f,3gBeJyl7Szg,5,DISCREPANT_CENTRE,VISIBLE,VISIBLE,627.0,306.5,930.0,451.5,23.5,28.5,627.0,306.5,1280,720,160
8,47,5,49f8dfaac04095659c2667b199f7aa0448ee5ff91c9a3daeea7a30ffd86a3346,pGrVjtS7Xqg,5,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1493.0,497.0,1772.0,470.5,32.0,32.5,1493.0,497.0,1920,1080,160
8,48,6,903236982fa10d60795643107e74347f5a32f7a2e12cfd28920a68513a387830,vcWKSPlGCO0,5,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1560.0,829.5,724.5,642.5,41.5,49.0,1560.0,829.5,1920,1080,160
9,49,1,5837a6fd032f299831f49b4d9259167c563e566f0e431339095667516049a4aa,FnbFGnX4Qgo,5,DISCREPANT_CENTRE,VISIBLE,VISIBLE,269.0,304.0,1583.5,828.5,18.0,40.0,269.0,304.0,1920,1080,160
9,50,2,54f647e2516eddaf6c1a2954e6eade11816f582a864570f0706a22a3c7d88e83,H1-Ns9IU-JM,5,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1063.0,552.5,396.5,382.0,25.5,28.5,1063.0,552.5,1920,1080,160
9,51,3,bf043c06df4d46a2c5fde16f0bb2694a16e8786373cc272a0a6eccaedc4f2099,Kh7Fj4ogPN4,5,LABEL_DISAGREEMENT,VISIBLE,ABSENT,280.5,292.0,,,23.5,,280.5,292.0,1280,720,160
9,52,4,8855654569c88f781daa6c949000f41c49776c1722943cc41701c4b1ca61a345,Ktu6yFS9iMo,5,LABEL_DISAGREEMENT,VISIBLE,ABSENT,765.0,402.0,,,36.0,,765.0,402.0,1280,720,160
9,53,5,6b5723b2d2b7ece4017682dc43fce8d8ec7c0fd8418e74cc37aa3119b8653bc8,dAy3tnlu3EQ,5,DISCREPANT_CENTRE,VISIBLE,VISIBLE,476.5,445.0,503.5,413.5,15.5,17.0,476.5,445.0,1280,720,160
9,54,6,2da3cf59323281dc36c8ac8298cbbc9be63134693707d56a9ff598eda4b2fc99,KZK9rv9TnGE,5,DISCREPANT_CENTRE,VISIBLE,VISIBLE,727.0,318.5,687.5,312.0,30.5,29.5,727.0,318.5,1280,720,160
10,55,1,559d7f1ca444d5a732caec2fd5cc5fa02c76e56f9485be738988670d47269888,5zMtHtfCzpI,5,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,354.0,519.0,,,38.0,,354.0,519.0,1920,1080,160
10,56,2,5b36027c4952db3c5c18f03a758d3aa543ea45c694abecc79e5d6a22f5477de4,1JN2w7nPn9k,6,LABEL_DISAGREEMENT,ABSENT,VISIBLE,,,336.5,313.5,,29.0,336.5,313.5,1920,1080,160
10,57,3,6b0cea4ffea185382f5fd9c40ba4283cb4c3f4b2e2641108a2785b3be18325e0,1rZZ_7buX_Y,6,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1152.5,777.5,1157.5,795.0,52.0,61.5,1152.5,777.5,1920,1080,160
10,58,4,79ea5f1bf761d1ab152bd9f3b3a916c4b21efab0f2f7012ab8f1aec058f0e735,3gBeJyl7Szg,6,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1186.5,233.0,1173.0,408.0,29.5,26.0,1186.5,233.0,1280,720,160
10,59,5,7ebff0bd660d0165b1de252141fa54985634ac516e6fc3f83847c87ea2afee7c,H1-Ns9IU-JM,6,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1306.5,391.0,1221.5,492.0,34.5,33.5,1306.5,391.0,1920,1080,160
10,60,6,d2307a2e373737524c4e2bc14aa5cae4a851674fe04b3d7a79d29b13b837e676,Kh7Fj4ogPN4,6,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1032.5,252.0,1032.0,355.0,26.5,19.0,1032.5,252.0,1280,720,160
11,61,1,9b6493d5f61b10bb3a7bd0260b543ac3a64d900469be30a1b879d2ffd31de804,dAy3tnlu3EQ,6,DISCREPANT_CENTRE,VISIBLE,VISIBLE,630.5,260.0,620.0,280.0,17.5,20.0,630.5,260.0,1280,720,160
11,62,2,64494c7ed65840920de3dc1407bf3087b8d8f4d4e2d8c9b11dcc7a54b879ec93,qTXrSRHHR2M,6,DISCREPANT_CENTRE,VISIBLE,VISIBLE,842.0,126.0,845.0,189.5,19.0,24.5,842.0,126.0,1280,720,160
11,63,3,af9ba0d4904bcc1dd1148649df08ee9e41ad23d764d92c043c53e418defe58fb,jHcR5UxPGuE,7,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,928.5,273.5,,,20.0,,928.5,273.5,1280,720,160
11,64,4,c6c10b4839482d79e27f5cf4837ed5f4eb45cff501681d936dcd7589e4206740,OHJgVogFtNE,7,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1284.0,516.5,1250.5,518.5,23.5,30.0,1284.0,516.5,1920,1080,160
11,65,5,5bd1478b59152518c935cce2314e27ba02759fcd64d3d3691d0217a9f3480a9f,1JN2w7nPn9k,7,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1352.0,411.5,1280.5,386.5,47.5,109.0,1352.0,411.5,1920,1080,160
11,66,6,92352b7937f60fc803b3af393a8772bae6bcc37f5a22a84fda8454dec3feb718,UWqS6-hl0W8,7,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1379.0,416.0,1348.5,406.5,25.0,27.0,1379.0,416.0,1920,1080,160
12,67,1,a8228b951ae2a615065fe4350b80bd2f82e2ce588feab46b0ff23e46d318e54b,HZw0bbHwHjY,7,LABEL_DISAGREEMENT,UNKNOWN,VISIBLE,,,1646.0,632.5,,27.5,1646.0,632.5,1920,1080,160
12,68,2,cdd78a2279bae7055bfe4c19cb86bbd1756df77fbdc9136cd838166f6063b9fd,52PuVDx8T0o,7,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1004.0,783.5,1078.0,812.0,115.5,129.0,1004.0,783.5,1920,1080,160
12,69,3,a9c0c368cc98a109a25650e95572b3a085ed6f94613cd1619e7d0f74b5cb69b6,spBCthmSgks,7,DISCREPANT_CENTRE,VISIBLE,VISIBLE,713.0,401.5,654.0,216.0,24.5,21.0,713.0,401.5,1280,720,160
12,70,4,9115fdc7cf7155d6e13c1d306c6c0df3d44ee31975c9e54a44a6f648f00ff599,3gBeJyl7Szg,7,DISCREPANT_CENTRE,VISIBLE,VISIBLE,567.0,305.0,552.5,261.5,28.0,22.0,567.0,305.0,1280,720,160
12,71,5,c0e8d20f9b06370ba36d6b7fb71612d3c2971137fed7cd105a03ce5b0829749a,pGrVjtS7Xqg,7,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,660.0,384.0,,,38.0,,660.0,384.0,1920,1080,160
12,72,6,e5bac25c6b674f3439ab2fcc54adb83cf197e167807eaa9696f6afb20f0effbe,Kh7Fj4ogPN4,7,DISCREPANT_CENTRE,VISIBLE,VISIBLE,523.5,221.5,456.0,296.5,26.0,25.5,523.5,221.5,1280,720,160
13,73,1,b4a0830926da6c21ef6e5682ae9eecfb67fff6b9237354247f23313d0e9d83c3,7blRl4zVfrY,7,DISCREPANT_CENTRE,VISIBLE,VISIBLE,557.0,184.5,552.0,154.0,33.5,27.0,557.0,184.5,1280,720,160
13,74,2,91103f3898ef49ebf2a0a9e173880a6d6c831c9255a8d493e82016abab1254df,s-0Y7aLxXgM,7,LABEL_DISAGREEMENT,UNKNOWN,ABSENT,,,,,,,640.0,360.0,1280,720,160
13,75,3,70536d53a8070ebc6e8b53f6f8437b8bef0845236dd94f69e87deb8e0e4407f1,FyMWTVsJvv8,7,DISCREPANT_CENTRE,VISIBLE,VISIBLE,767.5,282.5,777.0,302.5,46.0,69.5,767.5,282.5,1280,720,160
13,76,4,7b2b0b4c5f589c1020f27d387b68274f936b53d5e3ae97a745eb0e3c4b4bad2b,KZK9rv9TnGE,7,DISCREPANT_CENTRE,VISIBLE,VISIBLE,416.0,329.5,440.0,330.5,21.5,18.5,416.0,329.5,1280,720,160
13,77,5,c2f9d417e06e508c42ffac0fd95c71ff38c8503c3a9b9a9515972e86d5d90a71,L7o4UCIIqS4,8,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1027.0,94.0,541.5,170.0,18.0,18.5,1027.0,94.0,1280,720,160
13,78,6,bfa1f974e6884a2272879d9f916b1e5821e0833121e840452255ea4e9b47e9d0,GG2f11NYjKw,8,LABEL_DISAGREEMENT,VISIBLE,ABSENT,1366.5,575.5,,,27.0,,1366.5,575.5,1920,1080,160
14,79,1,798a52755cc8303c1b19c9ee506a3ac52e9f8ad42170fd48c0d008548df2e009,1rZZ_7buX_Y,8,LABEL_DISAGREEMENT,UNKNOWN,VISIBLE,,,1309.5,551.5,,28.0,1309.5,551.5,1920,1080,160
14,80,2,b87836a7c968c40018d4b263afe1c31534feee41cfa58541dca9da290a57fc48,3gBeJyl7Szg,8,DISCREPANT_CENTRE,VISIBLE,VISIBLE,879.5,696.5,715.0,282.5,26.0,16.5,879.5,696.5,1280,720,160
14,81,3,c94f62399af9cbb77764c057531584ae88261a0fb2461c4c0827aa71793b86c2,pGrVjtS7Xqg,8,LABEL_DISAGREEMENT,ABSENT,VISIBLE,,,880.5,698.0,,29.5,880.5,698.0,1920,1080,160
14,82,4,f482ae1581a0bd45308fd53f832988a3f2b8c10fde40b101d30f31f42e4811ab,vcWKSPlGCO0,8,LABEL_DISAGREEMENT,VISIBLE,ABSENT,964.0,648.0,,,29.0,,964.0,648.0,1920,1080,160
14,83,5,e5d4e960192d4d220d3201eb07ef72f6c2b88aec432bc47a3923739132190b78,FnbFGnX4Qgo,8,DISCREPANT_CENTRE,VISIBLE,VISIBLE,804.0,424.0,1085.0,649.5,24.0,30.5,804.0,424.0,1920,1080,160
14,84,6,94323b993bded6cf19708d96caabb2802960831e86b19bb6be14c655aa8448a1,H1-Ns9IU-JM,8,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1254.0,460.5,828.5,396.0,23.5,25.5,1254.0,460.5,1920,1080,160
15,85,1,ead9fcb9d393d99c39b0b526d8802f4aa4043baf0e01da2650e171625ae12b64,Kh7Fj4ogPN4,8,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1140.0,265.0,1256.0,459.5,28.0,23.5,1140.0,265.0,1280,720,160
15,86,2,b0133ec0784645c717de53a6bf22de51b25ab934118fd5dfce5a71710ad35153,Ktu6yFS9iMo,8,LABEL_DISAGREEMENT,ABSENT,VISIBLE,,,757.5,260.5,,19.0,757.5,260.5,1280,720,160
15,87,3,b81cbcfb53a9856d9f49ae1a8f17073b5699f322669d492ab3e2b27464023a10,dAy3tnlu3EQ,8,LABEL_DISAGREEMENT,VISIBLE,ABSENT,335.0,287.0,,,20.0,,335.0,287.0,1280,720,160
15,88,4,b4c21db951a7c24f82d2cdfbc70fe66256b2d4c003b9c132629d16a06c94873f,7blRl4zVfrY,8,DISCREPANT_CENTRE,VISIBLE,VISIBLE,808.0,326.0,329.0,285.0,22.0,20.0,808.0,326.0,1280,720,160
15,89,5,9c42154fa44c94192549601fd980f71726081adfebcf787b031f73e779baa85b,s-0Y7aLxXgM,8,DISCREPANT_CENTRE,VISIBLE,VISIBLE,576.0,278.0,964.5,346.5,22.0,19.0,576.0,278.0,1280,720,160
15,90,6,9c7cc8531a93c05e5ca7c5e969dbcedc53c1c4a8417b5763225d2716f382c078,qTXrSRHHR2M,8,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,1004.5,326.5,,,23.0,,1004.5,326.5,1280,720,160
16,91,1,b5281f2aae8f83eee50a0fe9905c1dedd3a479a1d2937e1a6c937611ff042ac5,IpR4pT8iN0Y,8,LABEL_DISAGREEMENT,ABSENT,VISIBLE,,,969.0,331.0,,20.0,969.0,331.0,1280,720,160
16,92,2,afc32e4ed66499a00d4591dab2719a8a279a1ffd16638ce9a9f151b33a1bb3d6,FyMWTVsJvv8,8,LABEL_DISAGREEMENT,VISIBLE,ABSENT,659.0,499.0,,,22.0,,659.0,499.0,1280,720,160
16,93,3,92ea689eb22dc1bf3641ffce8b8035748ccfe8acaf00a7c0c69d5e88f105bd87,KZK9rv9TnGE,8,LABEL_DISAGREEMENT,UNKNOWN,VISIBLE,,,662.5,426.0,,25.5,662.5,426.0,1280,720,160
16,94,4,ba4aa208e59bd1509d8df869245e45774e0707c40b4c93f6e3417a11584bb231,5zMtHtfCzpI,8,LABEL_DISAGREEMENT,UNKNOWN,ABSENT,,,,,,,960.0,540.0,1920,1080,160
16,95,5,e6f95762c19e188b05f671d87406655ccc1f9131ab74abf8d72fd1c2ccf83d12,OHJgVogFtNE,9,DISCREPANT_CENTRE,VISIBLE,VISIBLE,972.5,443.5,960.0,450.5,47.0,83.5,972.5,443.5,1920,1080,160
16,96,6,d5885b0b8e280348330bd3d09023256c9b830cca4d3bd36352830051ec3869a2,UWqS6-hl0W8,9,LABEL_DISAGREEMENT,VISIBLE,ABSENT,864.5,437.5,,,126.0,,864.5,437.5,1920,1080,160
17,97,1,fc2124bb50bcaffb234a62378eac7620582eaa06696f2074a05fd18f2d701b04,KjjghT10zjY,9,DISCREPANT_CENTRE,VISIBLE,VISIBLE,430.5,293.0,466.0,294.0,86.5,88.0,430.5,293.0,1920,1080,160
17,98,2,c6ff0e4ce91a97bf5bf9a232be5c82296319eaafc03e395b23bf2dc0529fa0f6,L7o4UCIIqS4,9,LABEL_DISAGREEMENT,UNKNOWN,ABSENT,,,,,,,640.0,360.0,1280,720,160
17,99,3,ea76ef78abc9f1d1e826594b21fd9e499049aae104042dc8e2f5ae4252fb0aba,1rZZ_7buX_Y,9,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1042.0,1033.5,964.0,1048.5,91.5,67.5,1042.0,1033.5,1920,1080,160
17,100,4,d3d99d58b6a23b5fc7e5bdbb77a07d950b6455ee9177a78a7566e6e44a5fcb98,3gBeJyl7Szg,9,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,355.0,129.0,,,30.0,,355.0,129.0,1280,720,160
17,101,5,d8849a787681c0e30704e3c86d65e7048e3748ec252bc37819c6ef4b13aacb3d,pGrVjtS7Xqg,9,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1289.0,236.5,1310.0,248.0,31.5,44.0,1289.0,236.5,1920,1080,160
17,102,6,ed4ec7cdb8a15d08596ca60d59afc97c03af91a91b4bacc86d91b50694e2d3d6,Kh7Fj4ogPN4,9,DISCREPANT_CENTRE,VISIBLE,VISIBLE,136.0,395.5,166.0,392.5,25.5,29.5,136.0,395.5,1280,720,160
18,103,1,cc5e55c6dfe6d62f5386428c542164084244a1a3643ce900fba400279658ce08,dAy3tnlu3EQ,9,LABEL_DISAGREEMENT,ABSENT,UNKNOWN,,,,,,,640.0,360.0,1280,720,160
18,104,2,a5f4c120dcd3648ea271df9bd7579d60eb45ce3d7106d935d10a7d33c24ca81d,s-0Y7aLxXgM,9,DISCREPANT_CENTRE,VISIBLE,VISIBLE,395.0,226.0,362.0,187.5,31.0,25.5,395.0,226.0,1280,720,160
18,105,3,c1ee5aad7436feee21a0718c0c3754f6107d5b4b310840a8f6451a5e25854816,qTXrSRHHR2M,9,DISCREPANT_CENTRE,VISIBLE,VISIBLE,423.0,187.0,416.0,291.5,20.0,30.5,423.0,187.0,1280,720,160
18,106,4,d11b27ae54298c06cb64941c92e5ae8a7f384e4a7bad3d21626b9998db2d01be,KZK9rv9TnGE,9,DISCREPANT_CENTRE,VISIBLE,VISIBLE,591.0,591.0,625.5,621.0,120.0,169.5,591.0,591.0,1280,720,160
18,107,5,a8cd18ebac6ee0ead05bb37f311e4aa3a59651afdb7d50be0e2037341e030846,FFTTnwrFzwQ,10,LABEL_DISAGREEMENT,VISIBLE,ABSENT,1897.0,576.5,,,51.5,,1897.0,576.5,1920,1080,160
18,108,6,e03efbe6e55ce176e99e24aedf239b3c9392d2f232b498ede434ecaa9ba0b248,0wlE9W_0Qv0,10,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1252.0,609.5,1255.0,584.5,34.5,32.5,1252.0,609.5,1920,1080,160
