conflict_index,frame_key,round,strip,strip_row,disagreement_class,terra_label,sol_label,resolved_label,object_category,secondary_category,evidence_source,eye_verdict,basis
11,2537bfcdafca775c6aa63fc446b32a15036587b0bdb6e50feda3fc530cc37f0d,2,conflict_zoom_02.jpg,11,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: oversized foreground ball clipped by the frame border; both centres inside it; midpoint taken
12,194783bc010e4781d0e0bb88dba61c304708c47b3a27ecfff7ac23b7028817fe,2,conflict_zoom_02.jpg,12,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,UNRESOLVED,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: neither proposed centre lands on an identifiable ball; a candidate object about 100 px lower could not be confirmed
13,0ef480c1dc0b450f69540f7d403dd41809a4e363f3afe1aa6f8399f886f012a4,2,conflict_zoom_03.jpg,13,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: dribbled ball at the sol centre; terra ~31 px off
14,191c03d25116d7ad48ae6d9c4289f7435a39e3081a495d51edc5f76d31654038,2,conflict_zoom_03.jpg,14,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: close-up held ball; terra centre on it
15,21e7d20982ca27d24be926b992c39d706262ad7ce8443959e954f2a8b918b34c,2,conflict_zoom_03.jpg,15,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: both centres on the same dribbled ball; 22 px gap just over the pooled bar; midpoint taken
16,40cd78f1e635413922331a25f673520a40979096dfe940167a66547a5ae860a4,2,conflict_zoom_03.jpg,16,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: same ball in both crops near the hip; my centre +-15 px
17,0ccf703fa4e22eaa003182451999539dacc875bc8c4c29fbfc1eeef30a93dfb2,2,conflict_zoom_03.jpg,17,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,UNKNOWN,UNRESOLVED,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom at the terra centre shows motion blur with no identifiable ball
18,1ce8531c56b5acceacfe9fcb730f18b92b79b5f4fe2c7b7a65e51cc3a84caa54,2,conflict_zoom_03.jpg,18,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,"native zoom: dribbled ball clearly present; terra centre ~31 px off, sol returned UNKNOWN"
19,1b70bb1d3efc9bd6175193869b6efe7b9116524ec3a5d285365a2e894608fe7e,2,conflict_zoom_04.jpg,19,LABEL_DISAGREEMENT,VISIBLE,ABSENT,UNKNOWN,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom at the terra centre shows a sideline bench area with no ball
20,14e9395b630c30d73d0fb8cef241204ce2d0b195cfe45d957e5d2f9794d57625,2,conflict_zoom_04.jpg,20,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: both crops show the same dribbled ball; sol centre closer
21,86603ad2b512037c2b277101a5b8d9fde6ff25f901b3383ff68b0e92890121b5,3,conflict_zoom_04.jpg,21,LABEL_DISAGREEMENT,UNKNOWN,ABSENT,ABSENT,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: tight two-player close-up with no ball anywhere in frame; neither rater proposed a box
22,77ea01c32fe24bf55d40bae2ee73300e2a25c6223024c6f6192a553c06a68177,3,conflict_zoom_04.jpg,22,LABEL_DISAGREEMENT,ABSENT,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: motion-blurred loose ball on the painted floor at the sol centre
23,58d62331f3974095f7c795241e4187447c0c0313092a6fcbedb472bce515bbd3,3,conflict_zoom_04.jpg,23,LABEL_DISAGREEMENT,VISIBLE,ABSENT,ABSENT,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: terra centre is an out-of-focus shoulder; the frame is a bench close-up with no ball
24,42775e938c8216198d44e8346422c78c44c8cf8d24d341e33f71fccca8241d9a,3,conflict_zoom_04.jpg,24,LABEL_DISAGREEMENT,UNKNOWN,ABSENT,UNKNOWN,UNRESOLVED,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,wide court view with no proposed box from either rater; ball not resolvable at this scale
25,11a327e470e7fd336f43309d7c9f974a1042949071864d9a6e6bedc680835028,3,conflict_zoom_05.jpg,25,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: large held ball at the sol centre; terra centre shows a face in the stands
26,1d4b5ea6115933a74d7575367c15944151f63c5f57dd08bc076e96e851e415b8,3,conflict_zoom_05.jpg,26,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,UNKNOWN,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: terra centre falls in a dark crowd region with no identifiable ball
27,5398d378368ea8a73c7a7a8371f8eb1bb167c399d7a940c180ee25b837518d58,3,conflict_zoom_05.jpg,27,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: rebound scrum ball at the sol centre; terra centre is a bench area
28,60a890f483f3e81ae4881a61ae49d75453f18d4110d195574f13128a87148484,3,conflict_zoom_05.jpg,28,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,JERSEY,OTHER_OBJECT,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: close-up held ball filling the sol crop; terra centre is a jersey shoulder
29,51255806ea975ae87838f777d2e92c97ec6be44363e37133fb083be55e53ec1e,3,conflict_zoom_05.jpg,29,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: dribbled ball at the sol centre; terra centre is the bench
30,30505822b4f9a678aa87f3debddc33873a7d85fc1e9c2057bc61bf0f3d4f8f7e,3,conflict_zoom_05.jpg,30,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: ball on the floor at the sol centre; terra centre is an advertising board
31,342db439be5087e0f97bb937297479d15d1b4bc8d3ebfa052bb7204b9d319d60,3,conflict_zoom_06.jpg,31,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,"native zoom: ball at the rim on a layup; both rater centres off (terra ~270 px, sol ~65 px)"
32,364673586ff647b95288b7b50e0b3677551dc4ad2743631d762152b7ea2ac610,3,conflict_zoom_06.jpg,32,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: dribbled ball at the sol centre; terra centre is the sideline
33,251228393c783d5ba6bd79674edcee42ebce3bd46c56031aa2414be2fbdf9aca,3,conflict_zoom_06.jpg,33,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: dribbled ball at the sol centre; terra centre shows a running player only
34,20e1896d8372257eff2b0707c8dfed42c6d566c8279638ab276d261d469d3840,3,conflict_zoom_06.jpg,34,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: ball in flight above the baseline crowd at the sol centre; clipped by the frame top
35,7a2124f313bd153d67baab648d57cd825edda95862d1d998a89370d5b2def1d4,4,conflict_zoom_06.jpg,35,LABEL_DISAGREEMENT,UNKNOWN,VISIBLE,UNKNOWN,UNRESOLVED,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: object at the sol centre is a heavy blur that cannot be identified as the game ball
36,683c859b88265acfc46931370397027c6b8b45bad9515a66cece7f96f284679a,4,conflict_zoom_06.jpg,36,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: dribbled ball at the sol centre; terra centre is the court logo
37,694f990b560c3ea542f2fb86fba9a0ca856072c53bf2be0db9b1f3afa54110fe,4,conflict_zoom_07.jpg,37,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,UNRESOLVED,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: drive with occluded hands; no centre can be confirmed although both raters answered VISIBLE
38,2342fa2f794fffb239128ba4e3f610975c24f28f6109ee10f22ddd445137b730,4,conflict_zoom_07.jpg,38,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,UNRESOLVED,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: motion-blurred play; no identifiable ball at either proposed centre
39,450de77d7691584de62e6cbadd9e133901526e45e7ec33d4e565a23fde6d565a,4,conflict_zoom_07.jpg,39,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,UNKNOWN,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: terra centre falls on a defender arm; no identifiable ball
40,75b7df0dc19e6591ae5565817878c5e6d6f77dc51f28f1afe8d98c1161d6756b,4,conflict_zoom_07.jpg,40,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,RIM_HARDWARE,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: both centres sit on hoop/board hardware in a warm-up frame; ball not separable from the rim
41,688b16a0eed8b43353b4719136bbe877bdf5e0402bae2e6d212fbc28c8efe7f4,4,conflict_zoom_07.jpg,41,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,UNKNOWN,JERSEY,OTHER_OBJECT,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: terra centre is a court logo beside orange jerseys; no ball
42,821552787edc89400e99ded12330281db58db96a6cfd82ea0fed7b33bcc4a7c1,4,conflict_zoom_07.jpg,42,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,"native zoom: both crops show the same ball at the drive; centres 37 px apart, resolved centre from pixels"
43,2f817c74f8463b628ed68f6f047b9035b6c61aa90f14c2342718530c31c25e3d,4,conflict_zoom_08.jpg,43,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,RIM_HARDWARE,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: large orange foreground object under an overhead camera is more consistent with the rim than the game ball
44,5111d6d51460f7a73541ddc95d3c38af4db0c4ae692cb48ae2e84f27451916a3,4,conflict_zoom_08.jpg,44,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,UNRESOLVED,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: both centres fall in heavy motion blur with no identifiable ball
45,8ec0d6a276426c16dbb99bd2340501094adaac892d7de12e9622c1fc7876682f,5,conflict_zoom_08.jpg,45,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: dribbled ball near the terra centre (~23 px off); sol returned UNKNOWN
46,73b55b32aaa40695a8e629c18214512f5c22341c337623c999d5af28246ea59f,5,conflict_zoom_08.jpg,46,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: held ball at the sol centre; terra centre is the sideline
47,49f8dfaac04095659c2667b199f7aa0448ee5ff91c9a3daeea7a30ffd86a3346,5,conflict_zoom_08.jpg,47,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: ball at the terra centre; the sol centre 280 px away shows hands only
48,903236982fa10d60795643107e74347f5a32f7a2e12cfd28920a68513a387830,5,conflict_zoom_08.jpg,48,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: frame is a challenge graphic; terra centre is bare floor and sol centre a coach jacket
49,5837a6fd032f299831f49b4d9259167c563e566f0e431339095667516049a4aa,5,conflict_zoom_09.jpg,49,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: dribbled ball at the sol centre; terra centre 1415 px away is a dark bench
50,54f647e2516eddaf6c1a2954e6eade11816f582a864570f0706a22a3c7d88e83,5,conflict_zoom_09.jpg,50,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,BENCH_BALL,OTHER_OBJECT,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: rounded object near the bench at the sol centre cannot be confirmed as the game ball in play
51,bf043c06df4d46a2c5fde16f0bb2694a16e8786373cc272a0a6eccaedc4f2099,5,conflict_zoom_09.jpg,51,LABEL_DISAGREEMENT,VISIBLE,ABSENT,ABSENT,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: bench close-up at the terra centre; no ball anywhere in frame
52,8855654569c88f781daa6c949000f41c49776c1722943cc41701c4b1ca61a345,5,conflict_zoom_09.jpg,52,LABEL_DISAGREEMENT,VISIBLE,ABSENT,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,"native zoom: ball held by the official at a dead-ball; terra centre ~20 px off, sol answered ABSENT"
53,6b5723b2d2b7ece4017682dc43fce8d8ec7c0fd8418e74cc37aa3119b8653bc8,5,conflict_zoom_09.jpg,53,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: loose ball on the floor; both crops agree and the sol centre lands on it
54,2da3cf59323281dc36c8ac8298cbbc9be63134693707d56a9ff598eda4b2fc99,5,conflict_zoom_09.jpg,54,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,JERSEY,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,"native zoom: free-throw line-up; the orange object near the terra centre is a jersey, not the ball"
55,559d7f1ca444d5a732caec2fd5cc5fa02c76e56f9485be738988670d47269888,5,conflict_zoom_10.jpg,55,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,UNKNOWN,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: terra centre is blurred floor with no identifiable ball
56,5b36027c4952db3c5c18f03a758d3aa543ea45c694abecc79e5d6a22f5477de4,6,conflict_zoom_10.jpg,56,LABEL_DISAGREEMENT,ABSENT,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: ball in flight against a dark banner at the sol centre; terra answered ABSENT
57,6b0cea4ffea185382f5fd9c40ba4283cb4c3f4b2e2641108a2785b3be18325e0,6,conflict_zoom_10.jpg,57,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,"native zoom: palmed ball close-up; terra centre essentially on it, sol 18 px low"
58,79ea5f1bf761d1ab152bd9f3b3a916c4b21efab0f2f7012ab8f1aec058f0e735,6,conflict_zoom_10.jpg,58,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: terra centre is a clock graphic and the sol crop shows no identifiable ball
59,7ebff0bd660d0165b1de252141fa54985634ac516e6fc3f83847c87ea2afee7c,6,conflict_zoom_10.jpg,59,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,UNRESOLVED,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: neither centre lands on an identifiable ball in this blurred drive
60,d2307a2e373737524c4e2bc14aa5cae4a851674fe04b3d7a79d29b13b837e676,6,conflict_zoom_10.jpg,60,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: dribbled ball at the sol centre; terra centre is bare floor
61,9b6493d5f61b10bb3a7bd0260b543ac3a64d900469be30a1b879d2ffd31de804,6,conflict_zoom_11.jpg,61,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,BENCH_BALL,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: ball on the floor in front of the bench; both centres about 20 px high
62,64494c7ed65840920de3dc1407bf3087b8d8f4d4e2d8c9b11dcc7a54b879ec93,6,conflict_zoom_11.jpg,62,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: dribbled ball exactly at the sol centre; terra centre is the stands
63,af9ba0d4904bcc1dd1148649df08ee9e41ad23d764d92c043c53e418defe58fb,7,conflict_zoom_11.jpg,63,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: dribbled ball exactly at the terra centre; sol returned UNKNOWN
64,c6c10b4839482d79e27f5cf4837ed5f4eb45cff501681d936dcd7589e4206740,7,conflict_zoom_11.jpg,64,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: motion-blurred ball at the sol centre in an overexposed feed
65,5bd1478b59152518c935cce2314e27ba02759fcd64d3d3691d0217a9f3480a9f,7,conflict_zoom_11.jpg,65,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,RIM_HARDWARE,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: ball occluded by the net in a rim close-up; centre and scale not resolvable (rater diameters 47.5 vs 109)
66,92352b7937f60fc803b3af393a8772bae6bcc37f5a22a84fda8454dec3feb718,7,conflict_zoom_11.jpg,66,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,SAME_OBJECT_LOCALISATION,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: ball on the floor in front of the LED board; terra centre closer
67,a8228b951ae2a615065fe4350b80bd2f82e2ce588feab46b0ff23e46d318e54b,7,conflict_zoom_12.jpg,67,LABEL_DISAGREEMENT,UNKNOWN,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: ball on the floor beside the official at the sol centre
68,cdd78a2279bae7055bfe4c19cb86bbd1756df77fbdc9136cd838166f6063b9fd,7,conflict_zoom_12.jpg,68,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,RIM_HARDWARE,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: overhead rim and net hardware; no identifiable ball at either centre
69,a9c0c368cc98a109a25650e95572b3a085ed6f94613cd1619e7d0f74b5cb69b6,7,conflict_zoom_12.jpg,69,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: terra centre is a player back on court and the sol crop shows no separable ball
70,9115fdc7cf7155d6e13c1d306c6c0df3d44ee31975c9e54a44a6f648f00ff599,7,conflict_zoom_12.jpg,70,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: dark round object in the crowd cannot be separated from a spectator head
71,c0e8d20f9b06370ba36d6b7fb71612d3c2971137fed7cd105a03ce5b0829749a,7,conflict_zoom_12.jpg,71,LABEL_DISAGREEMENT,VISIBLE,UNKNOWN,UNKNOWN,JERSEY,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: terra centre is a jersey number; any ball is occluded against the body
72,e5bac25c6b674f3439ab2fcc54adb83cf197e167807eaa9696f6afb20f0effbe,7,conflict_zoom_12.jpg,72,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,RIM_HARDWARE,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: orange object near the rim is hoop hardware; neither centre is confirmable
73,b4a0830926da6c21ef6e5682ae9eecfb67fff6b9237354247f23313d0e9d83c3,7,conflict_zoom_13.jpg,73,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,BENCH_BALL,OTHER_OBJECT,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: a basketball is visible at the bench but is not established as the game ball in play (same rule applied throughout)
74,91103f3898ef49ebf2a0a9e173880a6d6c831c9255a8d493e82016abab1254df,7,conflict_zoom_13.jpg,74,LABEL_DISAGREEMENT,UNKNOWN,ABSENT,ABSENT,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: free-throw close-up of a single player with no ball anywhere in frame
75,70536d53a8070ebc6e8b53f6f8437b8bef0845236dd94f69e87deb8e0e4407f1,7,conflict_zoom_13.jpg,75,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: large foreground dribbled ball; sol centre closer
76,7b2b0b4c5f589c1020f27d387b68274f936b53d5e3ae97a745eb0e3c4b4bad2b,7,conflict_zoom_13.jpg,76,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: dribbled ball; both crops agree and the sol centre is within 5 px
77,c2f9d417e06e508c42ffac0fd95c71ff38c8503c3a9b9a9515972e86d5d90a71,8,conflict_zoom_13.jpg,77,DISCREPANT_CENTRE,VISIBLE,VISIBLE,UNKNOWN,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,"native zoom: terra centre is a shot-clock graphic; the sol crop shows bench heads, no ball"
78,bfa1f974e6884a2272879d9f916b1e5821e0833121e840452255ea4e9b47e9d0,8,conflict_zoom_13.jpg,78,LABEL_DISAGREEMENT,VISIBLE,ABSENT,ABSENT,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: terra box falls in a black background region of a player close-up; no ball in frame
