frame_id,player_ordinal,x,y,source,distance_px,note
75839,0,1284,761,dropped,,empty floor by the logo; no foot at the mark
75839,0,1531,783,dropped,,empty floor above the crowd; no foot at the mark
83423,1,660,773,adjudicated_B,,base of the white-black shoe
83423,2,770,738,adjudicated_B,,base of the yellow shoe
83423,0,255,480,dropped,,blue bench-side floor; the shoe is well below-left
83423,0,633,478,dropped,,blue graphic floor by the ball; no foot at the mark
83423,0,872,446,dropped,,empty floor; no foot at the mark
83423,0,1053,568,dropped,,motion-blurred region; no floor contact at the mark
83423,0,1316,489,dropped,,empty floor; no foot at the mark
83423,0,1308,500,dropped,,empty floor near the line; no foot at the mark
83423,0,1684,541,dropped,,empty floor; no foot at the mark
83423,0,1714,578,dropped,,empty floor; no foot at the mark
83423,0,358,648,dropped,,about 30 px below both white shoes on the blue floor
83423,0,1153,646,dropped,,about 30 px right of the black shoe on the sideline strip
91006,1,374,651,adjudicated_A,42.544,A on the white-black shoe; B on empty floor below-right
91006,2,595,565,adjudicated_B,41.617,B at the base of the red shoe; A on the yellow shoe upper
91006,3,646,598,adjudicated_A,46.840,A at the base of the green shoe; B on the red shoe above
91006,4,673,590,adjudicated_A,18.682,A at floor level by the green shoes; B further left
91006,5,899,470,adjudicated_B,,base of the red shoe
91006,6,900,763,adjudicated_A,,floor beside the right white shoe base
91006,7,900,789,adjudicated_B,13.601,B closer under the right white-blue shoe; A on floor to the right
91006,8,1332,421,adjudicated_B,,base of the purple shoe
91006,9,1342,562,adjudicated_A,,on the left mint shoe
91006,10,1357,576,adjudicated_B,14.142,B at the left mint shoe base; A on floor between the shoes
91006,0,332,557,dropped,49.041,neither mark at a visible foot; dark paint area
91006,0,250,806,dropped,,bench crowd; not a player floor contact
98590,1,622,490,adjudicated_A,48.270,A on the black shoe; B on empty floor below-right
98590,2,702,441,adjudicated_B,,base of the blue-grey shoe
98590,3,811,443,adjudicated_B,,base of the light shoe
98590,4,1324,721,adjudicated_B,27.893,B at the base of the white-black shoe on the line; A on empty floor
98590,5,1548,790,adjudicated_B,24.207,B at the left yellow shoe base; A on the right shoe upper
98590,0,471,448,dropped,,empty floor about 40 px from either red shoe
98590,0,761,432,dropped,,empty floor; no foot at the mark
98590,0,924,448,dropped,,empty floor above the line; the dark shoe is below
98590,0,1047,488,dropped,,empty floor; no foot at the mark
98590,0,1278,582,dropped,,mark on the player shorts and hand
98590,0,1450,713,dropped,,mark mid-shin above the purple shoe
98590,0,945,487,dropped,,empty floor inside the arc; no foot at the mark
98590,0,1480,769,dropped,,about 40 px left of the yellow shoe on open floor
106174,1,493,786,adjudicated_B,26.173,B at the mint shoe base; A on the shoe upper
106174,2,702,627,adjudicated_B,21.260,B at the white shoe base; A on the shoe upper
106174,3,1004,754,adjudicated_B,32.062,B at the yellow-green shoe base on the line; A on floor above
106174,4,1036,513,adjudicated_B,11.314,B at the dark shoe base on the strip; A on the shoe body
106174,5,1091,535,adjudicated_B,,base of the left yellow shoe
106174,6,1128,460,adjudicated_B,,base of the yellow-green shoe
106174,7,1403,570,adjudicated_A,31.623,A at the white shoe sole; B on empty floor below-right
106174,8,1627,613,adjudicated_A,15.811,A at the base of the dark-white shoe; B on floor below-right
106174,0,1310,443,dropped,36.401,neither mark at a visible foot; open floor
106174,0,1112,510,dropped,,near-duplicate of B9 at 32.6 px; kept once as B9
106174,0,1744,448,dropped,,empty floor; no foot at the mark
106174,0,1164,819,dropped,,mark on the calf of a blue-legged player
121342,1,196,534,adjudicated_B,30.000,B at the white shoe base; A on the strip to the right
121342,2,494,422,adjudicated_A,,on the blurred green shoe
121342,3,607,439,adjudicated_B,,base of the yellow-green shoe
121342,4,728,724,adjudicated_B,23.345,B at the blue shoe base; A on the shoe upper
121342,5,988,650,adjudicated_B,18.111,B at the white-black shoe base; A on floor to the left
121342,6,1075,552,adjudicated_B,,base of the mint shoe
121342,7,1349,721,adjudicated_B,39.825,B at the white shoe base; A on empty floor
121342,8,1578,570,adjudicated_B,17.804,B at the dark shoe base; A on the shoe body
121342,9,1707,398,adjudicated_B,26.683,B at the yellow shoe base; A on floor to the left
121342,10,1804,694,adjudicated_B,42.720,B at floor level by the blurred blue shoe; A on the shoe body
121342,0,1007,648,dropped,,about 30 px right of the white-black shoe
144094,1,139,612,adjudicated_B,,floor between the two purple shoes
144094,2,257,800,adjudicated_B,,base of the white-pink shoe
144094,3,341,922,adjudicated_B,,floor between the two light blue shoes
144094,4,850,678,adjudicated_B,,base of the blue shoe
144094,5,1075,761,adjudicated_A,31.321,A at the yellow shoe base; B on the dark floor to the right
144094,6,1140,606,adjudicated_B,,base of the green shoe
144094,7,1378,817,adjudicated_B,34.409,B at floor between the two red-dark shoes; A on a shoe upper
144094,0,218,609,dropped,,mark on the white shorts
144094,0,289,760,dropped,,mark on the black shorts
144094,0,770,705,dropped,,dark floor about 30 px from either white shoe
144094,0,840,678,dropped,,near-duplicate of B6 at 10.0 px; kept once as B6
144094,0,1060,599,dropped,,mark on the white shorts
144094,0,1500,495,dropped,,blue bench-side floor with seated people
144094,0,768,738,dropped,,on the logo strip below the white shoes; no contact at the mark
151677,1,275,448,adjudicated_A,37.656,A at the left green shoe base; B on the strip between the shoes
151677,2,490,453,adjudicated_A,24.166,A at the white-blue shoe; B on the logo floor below-left
151677,3,724,558,adjudicated_B,35.847,B at the white shoe base; A on empty floor to the left
151677,4,1040,522,adjudicated_A,32.249,A at the mint shoe base; B on floor below-right
151677,5,1492,385,adjudicated_B,17.117,B at the light blue shoe base; A on the shoe upper
151677,6,1539,709,adjudicated_B,12.042,B at the purple shoe base; A on a persons head below
151677,7,1542,324,adjudicated_B,,base of the white-black shoe
151677,8,1624,488,adjudicated_A,27.019,A at the dark shoe base; B on floor by the ball
151677,0,1458,753,dropped,16.031,both marks on the seated crowd; no floor contact
