clip,frame_index,group_index,label_transfer,endpoints
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,20,other,"[[35,277],[89,283]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,21,other,"[[91,313],[143,312]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,22,other,"[[117,279],[153,244]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,23,court_line,"[[109,209],[167,212]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,24,court_line,"[[113,205],[171,208]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,25,court_line,"[[137,188],[525,258]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,26,other,"[[31,83],[119,88]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,27,other,"[[37,108],[111,105]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,28,other,"[[1,319],[41,323]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,29,other,"[[536,377],[576,379]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,30,other,"[[0,359],[39,355]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,31,other,"[[35,301],[74,304]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,32,other,"[[564,141],[568,102]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,33,other,"[[228,373],[638,377]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,34,other,"[[148,374],[187,372]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,35,other,"[[583,150],[622,151]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,36,court_line,"[[402,193],[614,197]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,37,other,"[[143,108],[181,110]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,38,other,"[[34,298],[70,302]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,39,other,"[[51,290],[87,290]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,40,other,"[[452,158],[461,123]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,41,other,"[[170,268],[200,249]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,42,other,"[[536,301],[570,289]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,43,other,"[[483,286],[524,279]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,44,other,"[[61,252],[96,255]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,45,other,"[[39,89],[180,92]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,46,court_line,"[[579,180],[614,181]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,47,court_line,"[[581,170],[614,171]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,48,other,"[[158,130],[161,163]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,49,other,"[[133,270],[167,271]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,50,other,"[[484,218],[516,225]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,51,other,"[[199,220],[232,216]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,52,other,"[[543,298],[573,289]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,53,other,"[[181,59],[182,91]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,54,other,"[[4,348],[27,327]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,55,other,"[[90,230],[120,234]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,56,other,"[[297,252],[300,282]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,57,court_line,"[[338,235],[367,236]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,58,other,"[[428,289],[444,266]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,59,other,"[[261,231],[289,231]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,60,other,"[[571,143],[574,114]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,0,other,"[[51,283],[559,258]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,1,other,"[[182,186],[638,190]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,2,other,"[[1,330],[214,330]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,3,other,"[[1,336],[639,358]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,4,other,"[[6,362],[588,369]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,5,other,"[[42,364],[638,363]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,6,other,"[[484,175],[638,173]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,7,other,"[[7,233],[432,246]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,8,other,"[[38,23],[638,23]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,9,other,"[[1,316],[114,208]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,10,other,"[[199,331],[338,318]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,11,other,"[[32,298],[408,294]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,12,court_line,"[[497,175],[638,179]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,13,other,"[[0,253],[457,256]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,14,court_line,"[[363,314],[447,297]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,15,other,"[[0,320],[86,241]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,16,court_line,"[[64,199],[638,189]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,17,other,"[[96,302],[368,330]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,18,other,"[[1,83],[56,86]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,19,court_line,"[[349,197],[404,197]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,20,other,"[[192,219],[434,237]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,21,other,"[[403,283],[456,286]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,22,other,"[[586,24],[638,23]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,23,other,"[[26,301],[217,314]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,24,court_line,"[[424,302],[474,287]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,25,other,"[[45,201],[103,204]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,26,other,"[[408,210],[457,222]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,27,other,"[[122,285],[479,278]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,28,other,"[[1,253],[104,265]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,29,other,"[[502,146],[638,148]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,30,other,"[[363,203],[417,212]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,31,other,"[[3,106],[47,101]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,32,other,"[[42,211],[211,248]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,33,other,"[[48,204],[236,195]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,34,other,"[[597,363],[638,361]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,35,other,"[[41,207],[209,250]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,36,other,"[[526,144],[566,144]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,37,other,"[[330,323],[639,340]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,38,other,"[[119,286],[157,287]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,39,other,"[[177,269],[213,263]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,40,other,"[[0,246],[35,250]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,41,other,"[[132,300],[166,301]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,42,other,"[[408,277],[441,272]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,43,other,"[[585,150],[616,147]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,44,other,"[[145,182],[155,211]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,45,other,"[[13,368],[43,365]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,46,other,"[[115,58],[117,88]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,47,other,"[[272,273],[274,243]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,48,other,"[[134,57],[135,87]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,49,other,"[[56,319],[86,319]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,50,other,"[[476,228],[501,244]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,51,other,"[[458,222],[486,233]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,52,other,"[[330,235],[332,206]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,53,other,"[[448,295],[475,285]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,54,other,"[[79,249],[108,249]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,55,other,"[[430,246],[458,253]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,56,court_line,"[[473,287],[497,273]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,0,other,"[[66,378],[372,382]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,1,other,"[[106,337],[258,189]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,2,other,"[[77,364],[598,365]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,3,court_line,"[[258,190],[638,197]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,4,other,"[[1,23],[633,23]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,5,other,"[[58,65],[159,70]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,6,other,"[[42,345],[603,330]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,7,other,"[[39,299],[443,298]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,8,other,"[[62,79],[153,85]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,9,other,"[[143,224],[520,191]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,10,other,"[[62,82],[191,93]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,11,other,"[[440,205],[521,213]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,12,court_line,"[[199,250],[399,256]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,13,other,"[[34,313],[254,313]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,14,other,"[[40,301],[318,327]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,15,other,"[[28,320],[98,328]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,16,court_line,"[[78,275],[587,278]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,17,other,"[[58,290],[127,298]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,18,other,"[[83,274],[152,277]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,19,other,"[[572,261],[638,271]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,20,court_line,"[[103,253],[532,261]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,21,court_line,"[[65,286],[129,296]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,22,court_line,"[[123,331],[229,331]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,23,other,"[[110,338],[209,242]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,24,other,"[[255,197],[581,237]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,25,other,"[[517,350],[571,350]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,26,court_line,"[[524,303],[552,259]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,27,other,"[[289,293],[341,286]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,28,other,"[[552,262],[601,264]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,29,other,"[[144,322],[194,321]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,30,other,"[[298,289],[344,283]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,31,court_line,"[[304,255],[349,254]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,32,other,"[[459,163],[638,167]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,33,other,"[[92,261],[134,266]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,34,other,"[[83,306],[568,305]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,35,other,"[[290,200],[355,226]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,36,other,"[[141,223],[179,227]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,37,other,"[[256,34],[257,72]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,38,other,"[[4,187],[4,224]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,39,other,"[[297,356],[333,357]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,40,other,"[[603,302],[638,295]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,41,other,"[[24,73],[59,65]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,42,other,"[[64,94],[147,90]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,43,other,"[[348,286],[384,286]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,44,other,"[[233,38],[234,72]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,45,other,"[[267,35],[301,37]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,46,other,"[[442,282],[459,253]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,47,court_line,"[[7,338],[40,341]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,48,other,"[[541,140],[543,107]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,49,other,"[[329,39],[332,72]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,50,other,"[[238,42],[239,74]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,51,other,"[[42,256],[43,219]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,52,other,"[[596,225],[626,232]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,53,court_line,"[[596,337],[626,331]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,54,other,"[[175,163],[182,133]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,55,other,"[[2,154],[4,184]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,56,other,"[[142,286],[164,265]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,57,other,"[[127,58],[157,58]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,58,other,"[[267,39],[297,39]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,59,other,"[[136,93],[142,122]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,60,court_line,"[[306,259],[335,263]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,61,other,"[[57,217],[57,246]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,62,other,"[[35,223],[36,252]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,0,other,"[[1,332],[597,337]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,1,other,"[[89,189],[638,198]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,2,other,"[[5,196],[632,218]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,3,other,"[[267,357],[596,367]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,4,other,"[[1,317],[639,341]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,5,other,"[[0,272],[72,203]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,6,other,"[[7,267],[638,295]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,7,other,"[[2,23],[638,23]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,8,other,"[[1,340],[372,340]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,9,other,"[[2,286],[552,291]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,10,other,"[[236,365],[372,365]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,11,other,"[[3,240],[460,215]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,12,other,"[[15,303],[638,343]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,13,other,"[[49,225],[239,226]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,14,court_line,"[[2,308],[492,319]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,15,court_line,"[[447,175],[638,183]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,16,other,"[[584,175],[639,169]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,17,other,"[[32,250],[364,252]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,18,other,"[[3,274],[76,203]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,19,other,"[[1,299],[52,297]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,20,other,"[[438,152],[638,153]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,21,court_line,"[[298,306],[348,295]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,22,other,"[[1,205],[402,215]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,23,other,"[[326,352],[372,352]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,24,other,"[[291,274],[315,235]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,25,other,"[[202,317],[283,308]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,26,other,"[[597,284],[611,325]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,27,other,"[[1,214],[43,219]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,28,other,"[[596,156],[638,156]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,29,other,"[[1,278],[422,287]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,30,court_line,"[[533,263],[574,264]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,31,court_line,"[[598,195],[638,195]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,32,court_line,"[[514,187],[554,187]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,33,other,"[[349,295],[387,284]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,34,other,"[[1,210],[526,232]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,35,other,"[[388,285],[421,266]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,36,other,"[[368,217],[402,229]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,37,other,"[[575,317],[583,283]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,38,court_line,"[[533,260],[568,260]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,39,other,"[[121,228],[127,262]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,40,other,"[[123,239],[126,273]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,41,other,"[[442,166],[474,168]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,42,court_line,"[[341,297],[372,289]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,43,other,"[[597,284],[607,315]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,44,other,"[[49,134],[51,167]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,45,other,"[[342,271],[372,266]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,46,court_line,"[[522,181],[552,183]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,47,other,"[[241,238],[243,208]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,48,other,"[[582,182],[584,152]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,49,other,"[[494,281],[495,311]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,50,other,"[[67,168],[69,138]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,51,other,"[[85,59],[87,88]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,52,court_line,"[[493,197],[495,168]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,53,other,"[[49,136],[49,164]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,54,other,"[[574,142],[581,114]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,0,other,"[[128,335],[551,349]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,1,court_line,"[[142,155],[638,154]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,2,court_line,"[[21,270],[582,278]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,3,court_line,"[[34,260],[624,288]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,4,court_line,"[[154,160],[638,148]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,5,other,"[[52,238],[136,157]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,6,other,"[[129,340],[511,340]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,7,other,"[[267,355],[549,365]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,8,other,"[[324,318],[504,318]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,9,other,"[[304,321],[506,320]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,10,other,"[[77,221],[519,234]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,11,other,"[[64,235],[175,231]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,12,other,"[[33,193],[571,196]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,13,court_line,"[[61,267],[527,281]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,14,other,"[[1,23],[638,23]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,15,other,"[[176,297],[507,293]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,16,other,"[[33,293],[349,243]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,17,other,"[[402,160],[639,141]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,18,court_line,"[[472,289],[522,288]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,19,court_line,"[[528,285],[576,283]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,20,other,"[[263,228],[265,274]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,21,other,"[[261,166],[455,138]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,22,other,"[[204,365],[399,365]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,23,other,"[[24,206],[464,228]]"
