frame,kind,a_index,b_index,decision,note
83423,b_only,,4,drop,about 30 px right of the black shoe on the sideline strip
91006,pair,1,1,drop,neither mark at a visible foot; dark paint area
91006,pair,2,2,A,A on the white-black shoe; B on empty floor below-right
91006,pair,3,3,B,B at the base of the red shoe; A on the yellow shoe upper
91006,pair,4,4,A,A at the base of the green shoe; B on the red shoe above
91006,pair,5,5,A,A at floor level by the green shoes; B further left
91006,pair,8,9,B,B at the left mint shoe base; A on floor between the shoes
91006,pair,9,8,B,B closer under the right white-blue shoe; A on floor to the right
91006,a_only,6,,A,floor beside the right white shoe base
91006,a_only,7,,A,on the left mint shoe
91006,b_only,,6,B,base of the red shoe
91006,b_only,,7,drop,bench crowd; not a player floor contact
91006,b_only,,10,B,base of the purple shoe
98590,pair,2,3,A,A on the black shoe; B on empty floor below-right
98590,pair,7,7,B,B at the base of the white-black shoe on the line; A on empty floor
98590,pair,9,9,B,B at the left yellow shoe base; A on the right shoe upper
98590,a_only,1,,drop,empty floor about 40 px from either red shoe
98590,a_only,3,,drop,empty floor; no foot at the mark
98590,a_only,4,,drop,empty floor above the line; the dark shoe is below
98590,a_only,5,,drop,empty floor; no foot at the mark
98590,a_only,6,,drop,mark on the player shorts and hand
98590,a_only,8,,drop,mark mid-shin above the purple shoe
98590,b_only,,2,B,base of the blue-grey shoe
98590,b_only,,4,B,base of the light shoe
98590,b_only,,5,drop,empty floor inside the arc; no foot at the mark
98590,b_only,,8,drop,about 40 px left of the yellow shoe on open floor
106174,pair,1,1,B,B at the mint shoe base; A on the shoe upper
106174,pair,2,2,B,B at the white shoe base; A on the shoe upper
106174,pair,3,10,B,B at the dark shoe base on the strip; A on the shoe body
106174,pair,5,7,drop,neither mark at a visible foot; open floor
106174,pair,6,6,A,A at the white shoe sole; B on empty floor below-right
106174,pair,7,5,A,A at the base of the dark-white shoe; B on floor below-right
106174,pair,10,3,B,B at the yellow-green shoe base on the line; A on floor above
106174,a_only,4,,drop,near-duplicate of B9 at 32.6 px; kept once as B9
106174,a_only,8,,drop,empty floor; no foot at the mark
106174,a_only,9,,drop,mark on the calf of a blue-legged player
106174,b_only,,8,B,base of the yellow-green shoe
106174,b_only,,9,B,base of the left yellow shoe
121342,pair,1,1,B,B at the white shoe base; A on the strip to the right
121342,pair,3,3,B,B at the blue shoe base; A on the shoe upper
121342,pair,4,6,B,B at the white-black shoe base; A on floor to the left
121342,pair,6,4,B,B at the white shoe base; A on empty floor
121342,pair,7,8,B,B at the dark shoe base; A on the shoe body
121342,pair,8,9,B,B at floor level by the blurred blue shoe; A on the shoe body
121342,pair,9,5,B,B at the yellow shoe base; A on floor to the left
121342,a_only,2,,A,on the blurred green shoe
121342,a_only,5,,drop,about 30 px right of the white-black shoe
121342,b_only,,2,B,base of the yellow-green shoe
121342,b_only,,7,B,base of the mint shoe
144094,pair,6,8,A,A at the yellow shoe base; B on the dark floor to the right
144094,pair,7,9,B,B at floor between the two red-dark shoes; A on a shoe upper
144094,a_only,1,,drop,mark on the white shorts
144094,a_only,2,,drop,mark on the black shorts
144094,a_only,3,,drop,dark floor about 30 px from either white shoe
144094,a_only,4,,drop,near-duplicate of B6 at 10.0 px; kept once as B6
144094,a_only,5,,drop,mark on the white shorts
144094,a_only,8,,drop,blue bench-side floor with seated people
144094,b_only,,1,B,floor between the two purple shoes
144094,b_only,,2,B,base of the white-pink shoe
144094,b_only,,3,B,floor between the two light blue shoes
144094,b_only,,5,drop,on the logo strip below the white shoes; no contact at the mark
144094,b_only,,6,B,base of the blue shoe
144094,b_only,,7,B,base of the green shoe
151677,pair,1,1,A,A at the left green shoe base; B on the strip between the shoes
151677,pair,2,2,A,A at the white-blue shoe; B on the logo floor below-left
151677,pair,3,3,B,B at the white shoe base; A on empty floor to the left
151677,pair,4,4,A,A at the mint shoe base; B on floor below-right
151677,pair,5,5,B,B at the light blue shoe base; A on the shoe upper
151677,pair,6,7,A,A at the dark shoe base; B on floor by the ball
151677,pair,7,8,drop,both marks on the seated crowd; no floor contact
151677,pair,8,9,B,B at the purple shoe base; A on a persons head below
151677,b_only,,6,B,base of the white-black shoe
