path,n_rows,date_min,date_max,sports,prestart_quote,event_key_format,join_fields,status,reason
data/cache/ingame/soccer_states__ger1.parquet,5795,2024-08-23,2025-05-17,soccer,NO,711729|711433|711435,"sport,game_id,asof_idx,state_diff,frac_elapsed,p0...",TARGET,state archive (join target); no start_ts field
data/cache/ingame/soccer_states__ita1.parquet,7163,2024-08-17,2025-05-25,soccer,NO,712115|712116|712121,"sport,game_id,asof_idx,state_diff,frac_elapsed,p0...",TARGET,state archive (join target); no start_ts field
data/cache/ingame/soccer_states__wc_2026.parquet,1824,2026-06-11,2026-07-07,soccer,NO,760414|760415|760416,"sport,game_id,asof_idx,state_diff,frac_elapsed,p0...",TARGET,state archive (join target); no start_ts field
data/cache/ingame/tennis_states__atp.parquet,40516,,,tennis,NO,20150104-atp-2015-339-105357-105733-1|20150104-atp-2015-339-103813-106045-2|20150104-atp-2015-339-104468-105902-3,"sport,game_id,asof_idx,state_diff,frac_elapsed,p0...",TARGET,state archive (join target); no start_ts field
data/cache/ingame/tennis_states__wta.parquet,14559,,,tennis,NO,20150119-wta-2015-w-sl-aus-01a-2015-200033-202421-1|20150119-wta-2015-w-sl-aus-01a-2015-201329-202460-2|20150119-wta-2015-w-sl-aus-01a-2015-201542-202484-3,"sport,game_id,asof_idx,state_diff,frac_elapsed,p0...",TARGET,state archive (join target); no start_ts field
data/cache/clv_close_legs_cache.jsonl,,,,all,NO,,,EXCLUDED,ABSENT-IN-WORKTREE
data/frontend/prop_close_lines.jsonl,,,,mlb (props),NO,,,EXCLUDED,"m16_prop_close_capture store: player-prop decimal odds (over_dec/under_dec) keyed by player+stat+line, not a game-level win probability; no p_prestart-eligible field"
data/frontend/ops/kalshi_market_scan.json,,,,mixed,NO,,,EXCLUDED,m17_kalshi_scan store: single live snapshot of currently-liquid markets (yes_bid/yes_ask at scan time only); no historical per-quote timestamp series
data/frontend/clv_ledger.jsonl,,,,mlb+other,NO,,,EXCLUDED,"m18_pm_close_capture's real sink (clv_ledger.append_settlement default path; spec-named clv_close_legs_cache.jsonl is ABSENT); 20 rows total, paper bet-execution ledger mixing pre/in-play legs; probability fields are taken_decimal/model_prob, neither matches the builder's market-probability field names (model_prob is model output, ineligible anyway)"
data/cache/book_depth/kalshi/,,,,n/a,NO,,,EXCLUDED,"ABSENT (empty directory, 0 files)"
data/cache/book_depth/kalshi_trades/,,,,n/a,NO,,,EXCLUDED,"ABSENT (empty directory, 0 files)"
data/cache/inplay_history/{sport}/2026-07-27.jsonl,,,,"kbo,mlb,tennis,wnba",NO,,,EXCLUDED,single-day snapshot explicitly labelled phase=in_play for every row; same Kalshi event_key scheme as *_price_series.parquet (already included) but far smaller; nba/npb/soccer/soccer_intl dirs hold no dated file at all (ABSENT)
data/cache/combo/gate_corpus_nba_close.parquet,1814,2024-10-22,2026-04-12,nba,MAYBE,0022400061,event_id|p_close,QUOTE-CANDIDATE,used (bounded-sample join; see memo)
data/cache/inplay_odds/nba_price_series.parquet,8399632,2023-02-23,2026-06-14,nba,MAYBE,KXNBAGAME-26APR26BOSPHI,event_key|prob,QUOTE-CANDIDATE,used (bounded-sample join; see memo)
data/cache/inplay_odds/wnba_price_series.parquet,967102,2026-05-21,2026-07-09,wnba,MAYBE,KXWNBAGAME-26JUL02ATLWSH,event_key|prob,QUOTE-CANDIDATE,used (bounded-sample join; see memo)
data/cache/combo/gate_corpus_mlb_close.parquet,39162,2010-04-04,2026-07-12,mlb,MAYBE,20100404-BOS-NYY-1,event_id|p_close,QUOTE-CANDIDATE,used (bounded-sample join; see memo)
data/cache/inplay_odds/mlb_price_series.parquet,13473591,2023-03-30,2026-07-09,mlb,MAYBE,KXMLBGAME-26APR261920LAAKC,event_key|prob,QUOTE-CANDIDATE,used (bounded-sample join; see memo)
data/cache/inplay_odds/soccer_price_series.parquet,204435,2026-05-03,2026-05-24,soccer,MAYBE,KXEPLGAME-26MAY02AVLTOT,event_key|prob,QUOTE-CANDIDATE,used (bounded-sample join; see memo)
data/cache/inplay_odds/soccer_intl_price_series.parquet,2261903,2026-06-11,2026-07-07,soccer,MAYBE,KXWCGAME-26JUL01BELSEN,event_key|prob,QUOTE-CANDIDATE,used (bounded-sample join; see memo)
data/cache/inplay_odds/tennis_price_series.parquet,1854100,2026-05-24,2026-07-08,tennis,MAYBE,KXATPMATCH-26JUL01AUGPRI,event_key|prob,QUOTE-CANDIDATE,used (bounded-sample join; see memo)
