blind_id,source_frame,marker_index,verdict,player_slot
24,20066,2,UNMATCHED,
24,20066,3,UNMATCHED,
24,20066,4,UNMATCHED,
24,20066,5,UNMATCHED,
24,20066,6,UNMATCHED,
24,20066,7,UNMATCHED,
24,20066,8,UNMATCHED,
24,20066,9,UNMATCHED,
24,20066,10,UNMATCHED,
24,20066,11,UNMATCHED,
24,20066,12,UNMATCHED,
25,21748,0,UNMATCHED,
25,21748,1,UNMATCHED,
25,21748,2,UNMATCHED,
25,21748,3,UNMATCHED,
25,21748,4,UNMATCHED,
25,21748,5,UNMATCHED,
25,21748,6,UNMATCHED,
25,21748,7,UNMATCHED,
25,21748,8,UNMATCHED,
25,21748,9,UNMATCHED,
28,20938,0,UNMATCHED,
28,20938,1,UNMATCHED,
28,20938,2,UNMATCHED,
28,20938,3,UNMATCHED,
28,20938,4,UNMATCHED,
29,23368,0,UNMATCHED,
29,23368,1,UNMATCHED,
29,23368,2,UNMATCHED,
29,23368,3,UNMATCHED,
30,21312,0,UNMATCHED,
30,21312,1,UNMATCHED,
30,21312,2,UNMATCHED,
31,20751,0,UNMATCHED,
31,20751,1,UNMATCHED,
31,20751,2,UNMATCHED,
31,20751,3,UNMATCHED,
31,20751,4,UNMATCHED,
31,20751,5,UNMATCHED,
31,20751,6,UNMATCHED,
31,20751,7,UNMATCHED,
31,20751,8,UNMATCHED,
31,20751,9,UNMATCHED,
31,20751,10,UNMATCHED,
31,20751,11,UNMATCHED,
33,21811,0,UNMATCHED,
33,21811,1,UNMATCHED,
33,21811,2,UNMATCHED,
33,21811,3,UNMATCHED,
34,19879,0,UNMATCHED,
34,19879,1,UNMATCHED,
34,19879,2,UNMATCHED,
34,19879,3,UNMATCHED,
34,19879,4,UNMATCHED,
34,19879,5,UNMATCHED,
35,22247,0,UNMATCHED,
35,22247,1,UNMATCHED,
35,22247,2,UNMATCHED,
36,22184,0,UNMATCHED,
36,22184,1,UNMATCHED,
36,22184,2,UNMATCHED,
37,19630,0,UNMATCHED,
37,19630,1,UNMATCHED,
37,19630,2,UNMATCHED,
37,19630,3,UNMATCHED,
37,19630,4,UNMATCHED,
37,19630,5,UNMATCHED,
37,19630,6,UNMATCHED,
38,20253,0,UNMATCHED,
38,20253,1,UNMATCHED,
38,20253,2,UNMATCHED,
38,20253,3,UNMATCHED,
38,20253,4,UNMATCHED,
38,20253,5,UNMATCHED,
38,20253,6,UNMATCHED,
38,20253,7,UNMATCHED,
38,20253,8,UNMATCHED,
39,22808,0,UNMATCHED,
39,22808,1,UNMATCHED,
40,20876,0,UNMATCHED,
40,20876,1,UNMATCHED,
40,20876,2,UNMATCHED,
40,20876,3,UNMATCHED,
40,20876,4,UNMATCHED,
40,20876,5,UNMATCHED,
40,20876,6,UNMATCHED,
40,20876,7,UNMATCHED,
40,20876,8,UNMATCHED,
40,20876,9,UNMATCHED,
40,20876,10,UNMATCHED,
40,20876,11,UNMATCHED,
40,20876,12,UNMATCHED,
41,21187,0,UNMATCHED,
41,21187,1,UNMATCHED,
41,21187,2,UNMATCHED,
41,21187,3,UNMATCHED,
42,21499,0,UNMATCHED,
42,21499,1,UNMATCHED,
42,21499,2,UNMATCHED,
42,21499,3,UNMATCHED,
42,21499,4,UNMATCHED,
42,21499,5,UNMATCHED,
42,21499,6,UNMATCHED,
42,21499,7,UNMATCHED,
42,21499,8,UNMATCHED,
43,22496,0,UNMATCHED,
43,22496,1,UNMATCHED,
43,22496,2,UNMATCHED,
43,22496,3,UNMATCHED,
43,22496,4,UNMATCHED,
44,22994,0,UNMATCHED,
44,22994,1,UNMATCHED,
44,22994,2,UNMATCHED,
45,20814,0,UNMATCHED,
45,20814,1,UNMATCHED,
45,20814,2,UNMATCHED,
45,20814,3,UNMATCHED,
45,20814,4,UNMATCHED,
45,20814,5,UNMATCHED,
45,20814,6,UNMATCHED,
45,20814,7,UNMATCHED,
45,20814,8,UNMATCHED,
45,20814,9,UNMATCHED,
47,20004,0,UNMATCHED,
47,20004,1,UNMATCHED,
47,20004,2,UNMATCHED,
47,20004,3,UNMATCHED,
47,20004,4,UNMATCHED,
47,20004,5,UNMATCHED,
47,20004,6,UNMATCHED,
47,20004,7,UNMATCHED,
47,20004,8,UNMATCHED,
47,20004,9,UNMATCHED,
47,20004,10,UNMATCHED,
47,20004,11,UNMATCHED,
48,20564,0,UNMATCHED,
48,20564,1,UNMATCHED,
48,20564,2,UNMATCHED,
48,20564,3,UNMATCHED,
48,20564,4,UNMATCHED,
48,20564,5,UNMATCHED,
48,20564,6,UNMATCHED,
48,20564,7,UNMATCHED,
48,20564,8,UNMATCHED,
48,20564,9,UNMATCHED,
49,20440,0,UNMATCHED,
49,20440,1,UNMATCHED,
49,20440,2,UNMATCHED,
49,20440,3,UNMATCHED,
49,20440,4,UNMATCHED,
49,20440,5,UNMATCHED,
49,20440,6,UNMATCHED,
49,20440,7,UNMATCHED,
49,20440,8,UNMATCHED,
50,22870,0,UNMATCHED,
50,22870,1,UNMATCHED,
50,22870,2,UNMATCHED,
50,22870,3,UNMATCHED,
50,22870,4,UNMATCHED,
50,22870,5,UNMATCHED,
50,22870,6,UNMATCHED,
51,20689,0,UNMATCHED,
51,20689,1,UNMATCHED,
51,20689,2,UNMATCHED,
51,20689,3,UNMATCHED,
51,20689,4,UNMATCHED,
51,20689,5,UNMATCHED,
51,20689,6,UNMATCHED,
51,20689,7,UNMATCHED,
51,20689,8,UNMATCHED,
51,20689,9,UNMATCHED,
52,21997,0,UNMATCHED,
52,21997,1,UNMATCHED,
52,21997,2,UNMATCHED,
52,21997,3,UNMATCHED,
52,21997,4,UNMATCHED,
52,21997,5,UNMATCHED,
53,21063,0,UNMATCHED,
53,21063,1,UNMATCHED,
53,21063,2,UNMATCHED,
53,21063,3,UNMATCHED,
54,20377,0,UNMATCHED,
54,20377,1,UNMATCHED,
54,20377,2,UNMATCHED,
54,20377,3,MATCHED,3
54,20377,4,UNMATCHED,
54,20377,5,UNMATCHED,
54,20377,6,UNMATCHED,
54,20377,7,UNMATCHED,
54,20377,8,UNMATCHED,
54,20377,9,UNMATCHED,
54,20377,10,UNMATCHED,
55,23244,0,UNMATCHED,
55,23244,1,UNMATCHED,
56,19754,0,UNMATCHED,
56,19754,1,UNMATCHED,
56,19754,2,UNMATCHED,
56,19754,3,UNMATCHED,
56,19754,4,UNMATCHED,
56,19754,5,UNMATCHED,
56,19754,6,UNMATCHED,
57,22683,0,UNMATCHED,
57,22683,1,UNMATCHED,
57,22683,2,UNMATCHED,
57,22683,3,UNMATCHED,
57,22683,4,UNMATCHED,
57,22683,5,UNMATCHED,
58,19692,0,UNMATCHED,
58,19692,1,UNMATCHED,
58,19692,2,UNMATCHED,
58,19692,3,UNMATCHED,
58,19692,4,UNMATCHED,
58,19692,5,UNMATCHED,
58,19692,6,UNMATCHED,
58,19692,7,UNMATCHED,
59,20627,0,UNMATCHED,
59,20627,1,UNMATCHED,
59,20627,2,UNMATCHED,
59,20627,3,UNMATCHED,
59,20627,4,UNMATCHED,
59,20627,5,UNMATCHED,
59,20627,6,UNMATCHED,
59,20627,7,UNMATCHED,
59,20627,8,UNMATCHED,
59,20627,9,UNMATCHED,
59,20627,10,UNMATCHED,
59,20627,11,UNMATCHED,
60,22122,0,UNMATCHED,
60,22122,1,UNMATCHED,
60,22122,2,UNMATCHED,
60,22122,3,UNMATCHED,
60,22122,4,UNMATCHED,
