clip_ordinal,clip_id,frame,source_render,named_line_families,line_family_count,independent_direction_count,yard_sideline_intersection_points,identifiable_hash_points_min,goal_end_corner_points,pylon_points,identifiable_point_lower_bound,legible_yard_number,absolute_yard_anchor
3,football__football_5x9vPq9HsTI.mp4,19318,../g95_football_survey/renders/clip_03_group_2.jpg,yard_stripe|hash_mark|sideline,3,2,3,1,0,0,4,30|40,0
3,football__football_5x9vPq9HsTI.mp4,21208,../g95_football_survey/renders/clip_03_group_2.jpg,yard_stripe|hash_mark,2,1,0,1,0,0,1,,0
3,football__football_5x9vPq9HsTI.mp4,23842,../g95_football_survey/renders/clip_03_group_3.jpg,yard_stripe|hash_mark,2,1,0,1,0,0,1,20|30,0
3,football__football_5x9vPq9HsTI.mp4,24763,../g95_football_survey/renders/clip_03_group_3.jpg,yard_stripe|hash_mark|sideline,3,2,2,1,0,0,3,20,0
3,football__football_5x9vPq9HsTI.mp4,26000,../g95_football_survey/renders/clip_03_group_3.jpg,,0,0,0,0,0,0,0,,0
3,football__football_5x9vPq9HsTI.mp4,26256,../g95_football_survey/renders/clip_03_group_3.jpg,,0,0,0,0,0,0,0,,0
7,football__football_wHZt1eY3A9s.mp4,2850,../g95_football_survey/renders/clip_07_group_1.jpg,yard_stripe|hash_mark|sideline,3,2,4,1,0,0,5,40|50,0
7,football__football_wHZt1eY3A9s.mp4,3429,../g95_football_survey/renders/clip_07_group_1.jpg,,0,0,0,0,0,0,0,,0
7,football__football_wHZt1eY3A9s.mp4,3603,../g95_football_survey/renders/clip_07_group_1.jpg,,0,0,0,0,0,0,0,,0
7,football__football_wHZt1eY3A9s.mp4,9120,../g95_football_survey/renders/clip_07_group_1.jpg,yard_stripe|hash_mark|sideline,3,2,4,1,0,0,5,20|30|40,0
7,football__football_wHZt1eY3A9s.mp4,14477,../g95_football_survey/renders/clip_07_group_2.jpg,,0,0,0,0,0,0,0,,0
7,football__football_wHZt1eY3A9s.mp4,18065,../g95_football_survey/renders/clip_07_group_2.jpg,yard_stripe|hash_mark|sideline,3,2,4,1,0,0,5,10|20,0
7,football__football_wHZt1eY3A9s.mp4,18575,../g95_football_survey/renders/clip_07_group_2.jpg,,0,0,0,0,0,0,0,,0
7,football__football_wHZt1eY3A9s.mp4,19594,../g95_football_survey/renders/clip_07_group_2.jpg,,0,0,0,0,0,0,0,,0
7,football__football_wHZt1eY3A9s.mp4,19973,../g95_football_survey/renders/clip_07_group_3.jpg,,0,0,0,0,0,0,0,,0
7,football__football_wHZt1eY3A9s.mp4,20095,../g95_football_survey/renders/clip_07_group_3.jpg,yard_stripe|hash_mark|sideline|goal_line,4,2,3,1,0,0,4,10|20,0
7,football__football_wHZt1eY3A9s.mp4,25934,../g95_football_survey/renders/clip_07_group_3.jpg,yard_stripe|hash_mark|sideline|goal_line,4,2,3,1,0,0,4,10|20,0
7,football__football_wHZt1eY3A9s.mp4,26537,../g95_football_survey/renders/clip_07_group_3.jpg,,0,0,0,0,0,0,0,,0
8,football__football_wHZt1eY3A9s_1080p.mp4,1103,../g95_football_survey/renders/clip_08_group_1.jpg,yard_stripe|hash_mark,2,1,0,1,0,0,1,,0
8,football__football_wHZt1eY3A9s_1080p.mp4,1774,../g95_football_survey/renders/clip_08_group_1.jpg,yard_stripe|hash_mark,2,1,0,1,0,0,1,50,0
8,football__football_wHZt1eY3A9s_1080p.mp4,2301,../g95_football_survey/renders/clip_08_group_1.jpg,,0,0,0,0,0,0,0,,0
8,football__football_wHZt1eY3A9s_1080p.mp4,3512,../g95_football_survey/renders/clip_08_group_1.jpg,,0,0,0,0,0,0,0,,0
8,football__football_wHZt1eY3A9s_1080p.mp4,3559,../g95_football_survey/renders/clip_08_group_2.jpg,,0,0,0,0,0,0,0,,0
8,football__football_wHZt1eY3A9s_1080p.mp4,4618,../g95_football_survey/renders/clip_08_group_2.jpg,yard_stripe|hash_mark|sideline,3,2,3,1,0,0,4,,0
8,football__football_wHZt1eY3A9s_1080p.mp4,4666,../g95_football_survey/renders/clip_08_group_2.jpg,,0,0,0,0,0,0,0,,0
8,football__football_wHZt1eY3A9s_1080p.mp4,4914,../g95_football_survey/renders/clip_08_group_2.jpg,,0,0,0,0,0,0,0,,0
8,football__football_wHZt1eY3A9s_1080p.mp4,5130,../g95_football_survey/renders/clip_08_group_3.jpg,yard_stripe|hash_mark|sideline,3,2,3,1,0,0,4,,0
8,football__football_wHZt1eY3A9s_1080p.mp4,5536,../g95_football_survey/renders/clip_08_group_3.jpg,,0,0,0,0,0,0,0,,0
8,football__football_wHZt1eY3A9s_1080p.mp4,6136,../g95_football_survey/renders/clip_08_group_3.jpg,,0,0,0,0,0,0,0,,0
8,football__football_wHZt1eY3A9s_1080p.mp4,6552,../g95_football_survey/renders/clip_08_group_3.jpg,yard_stripe|hash_mark,2,1,0,1,0,0,1,,0
9,football__giants_jets_format96_1080p.mp4,1051,../g95_football_survey/renders/clip_09_group_1.jpg,,0,0,0,0,0,0,0,,0
9,football__giants_jets_format96_1080p.mp4,1320,../g95_football_survey/renders/clip_09_group_1.jpg,yard_stripe|hash_mark|sideline,3,2,5,1,0,0,6,40|50,0
9,football__giants_jets_format96_1080p.mp4,1958,../g95_football_survey/renders/clip_09_group_1.jpg,,0,0,0,0,0,0,0,,0
9,football__giants_jets_format96_1080p.mp4,1996,../g95_football_survey/renders/clip_09_group_1.jpg,,0,0,0,0,0,0,0,,0
9,football__giants_jets_format96_1080p.mp4,2546,../g95_football_survey/renders/clip_09_group_2.jpg,yard_stripe|hash_mark|sideline,3,2,5,1,0,0,6,40|50,0
9,football__giants_jets_format96_1080p.mp4,3198,../g95_football_survey/renders/clip_09_group_2.jpg,,0,0,0,0,0,0,0,,0
9,football__giants_jets_format96_1080p.mp4,3470,../g95_football_survey/renders/clip_09_group_2.jpg,,0,0,0,0,0,0,0,,0
9,football__giants_jets_format96_1080p.mp4,4686,../g95_football_survey/renders/clip_09_group_2.jpg,,0,0,0,0,0,0,0,,0
9,football__giants_jets_format96_1080p.mp4,4855,../g95_football_survey/renders/clip_09_group_3.jpg,yard_stripe|hash_mark|sideline,3,2,5,1,0,0,6,20|30|40|50,0
9,football__giants_jets_format96_1080p.mp4,5759,../g95_football_survey/renders/clip_09_group_3.jpg,yard_stripe|hash_mark,2,1,0,1,0,0,1,,0
9,football__giants_jets_format96_1080p.mp4,5852,../g95_football_survey/renders/clip_09_group_3.jpg,yard_stripe|hash_mark,2,1,0,1,0,0,1,,0
9,football__giants_jets_format96_1080p.mp4,5911,../g95_football_survey/renders/clip_09_group_3.jpg,yard_stripe|hash_mark,2,1,0,1,0,0,1,,0
