audit_id,clip,source_frame,slot,role,x_px,y_px,image_width,image_height,annotation_pass,source_decode,status
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,15785,13,paint_near_free_throw_left_corner,1353,831,1920,1080,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785.jpg,target
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,15785,13,paint_near_free_throw_right_corner,1720,846,1920,1080,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785.jpg,target
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball__ncaa_basketball_mRkuGgeECak,16871,8,paint_near_baseline_left_corner,530,420,1920,1080,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871.jpg,target
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball__ncaa_basketball_mRkuGgeECak,16871,8,paint_near_baseline_right_corner,1100,435,1920,1080,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871.jpg,target
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball__ncaa_basketball_mRkuGgeECak,16871,8,paint_near_free_throw_left_corner,550,680,1920,1080,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871.jpg,target
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball__ncaa_basketball_mRkuGgeECak,16871,8,paint_near_free_throw_right_corner,1110,690,1920,1080,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871.jpg,target
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,6925,3,paint_near_baseline_left_corner,123,396,1280,720,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925.jpg,target
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,6925,3,paint_near_baseline_right_corner,135,558,1280,720,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925.jpg,target
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,6925,3,paint_near_free_throw_left_corner,596,443,1280,720,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925.jpg,target
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,6925,3,paint_near_free_throw_right_corner,596,513,1280,720,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925.jpg,target
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,2920,1,paint_near_baseline_left_corner,1015,338,1280,720,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920.jpg,target
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,2920,1,paint_near_baseline_right_corner,1006,620,1280,720,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920.jpg,target
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,2920,1,paint_near_free_throw_left_corner,580,423,1280,720,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920.jpg,target
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,2920,1,paint_near_free_throw_right_corner,580,520,1280,720,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920.jpg,target
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,5760,2,paint_near_baseline_left_corner,250,360,1920,1080,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760.jpg,target
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,5760,2,paint_near_baseline_right_corner,286,645,1920,1080,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760.jpg,target
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,5760,2,paint_near_free_throw_left_corner,720,535,1920,1080,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760.jpg,target
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,5760,2,paint_near_free_throw_right_corner,725,700,1920,1080,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760.jpg,target
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,20340,10,paint_near_baseline_left_corner,1600,380,1920,1080,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340.jpg,target
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,20340,10,paint_near_baseline_right_corner,1620,640,1920,1080,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340.jpg,target
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,20340,10,paint_near_free_throw_left_corner,865,475,1920,1080,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340.jpg,target
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,20340,10,paint_near_free_throw_right_corner,900,620,1920,1080,first,../g130_recensus/source_decodes/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340.jpg,target
wnba__wnba_01_1080p__s01__f001600,wnba__wnba_01_1080p,1600,1,paint_near_baseline_left_corner,350,400,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_01_1080p__s01__f001600.jpg,target
wnba__wnba_01_1080p__s01__f001600,wnba__wnba_01_1080p,1600,1,paint_near_baseline_right_corner,835,420,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_01_1080p__s01__f001600.jpg,target
wnba__wnba_01_1080p__s01__f001600,wnba__wnba_01_1080p,1600,1,paint_near_free_throw_left_corner,390,696,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_01_1080p__s01__f001600.jpg,target
wnba__wnba_01_1080p__s01__f001600,wnba__wnba_01_1080p,1600,1,paint_near_free_throw_right_corner,990,730,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_01_1080p__s01__f001600.jpg,target
wnba__wnba_01_1080p__s03__f004062,wnba__wnba_01_1080p,4062,3,paint_near_baseline_left_corner,1700,430,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_01_1080p__s03__f004062.jpg,target
wnba__wnba_01_1080p__s03__f004062,wnba__wnba_01_1080p,4062,3,paint_near_baseline_right_corner,1700,595,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_01_1080p__s03__f004062.jpg,target
wnba__wnba_01_1080p__s03__f004062,wnba__wnba_01_1080p,4062,3,paint_near_free_throw_left_corner,950,483,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_01_1080p__s03__f004062.jpg,target
wnba__wnba_01_1080p__s03__f004062,wnba__wnba_01_1080p,4062,3,paint_near_free_throw_right_corner,1010,610,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_01_1080p__s03__f004062.jpg,target
wnba__wnba_01_1080p__s06__f007539,wnba__wnba_01_1080p,7539,6,paint_near_baseline_left_corner,90,330,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_01_1080p__s06__f007539.jpg,target
wnba__wnba_01_1080p__s06__f007539,wnba__wnba_01_1080p,7539,6,paint_near_baseline_right_corner,75,579,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_01_1080p__s06__f007539.jpg,target
wnba__wnba_01_1080p__s06__f007539,wnba__wnba_01_1080p,7539,6,paint_near_free_throw_left_corner,795,426,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_01_1080p__s06__f007539.jpg,target
wnba__wnba_01_1080p__s06__f007539,wnba__wnba_01_1080p,7539,6,paint_near_free_throw_right_corner,795,580,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_01_1080p__s06__f007539.jpg,target
wnba__wnba_02__s11__f021983,wnba__wnba_02,21983,11,paint_near_baseline_left_corner,300,255,1280,720,first,../g130_recensus/source_decodes/wnba__wnba_02__s11__f021983.jpg,target
wnba__wnba_02__s11__f021983,wnba__wnba_02,21983,11,paint_near_baseline_right_corner,960,265,1280,720,first,../g130_recensus/source_decodes/wnba__wnba_02__s11__f021983.jpg,target
wnba__wnba_02__s11__f021983,wnba__wnba_02,21983,11,paint_near_free_throw_left_corner,330,620,1280,720,first,../g130_recensus/source_decodes/wnba__wnba_02__s11__f021983.jpg,target
wnba__wnba_02__s11__f021983,wnba__wnba_02,21983,11,paint_near_free_throw_right_corner,1020,650,1280,720,first,../g130_recensus/source_decodes/wnba__wnba_02__s11__f021983.jpg,target
wnba__wnba_04__s06__f012223,wnba__wnba_04,12223,6,paint_near_baseline_left_corner,100,280,1280,720,first,../g130_recensus/source_decodes/wnba__wnba_04__s06__f012223.jpg,target
wnba__wnba_04__s06__f012223,wnba__wnba_04,12223,6,paint_near_baseline_right_corner,670,300,1280,720,first,../g130_recensus/source_decodes/wnba__wnba_04__s06__f012223.jpg,target
wnba__wnba_04__s06__f012223,wnba__wnba_04,12223,6,paint_near_free_throw_left_corner,140,600,1280,720,first,../g130_recensus/source_decodes/wnba__wnba_04__s06__f012223.jpg,target
wnba__wnba_04__s06__f012223,wnba__wnba_04,12223,6,paint_near_free_throw_right_corner,690,620,1280,720,first,../g130_recensus/source_decodes/wnba__wnba_04__s06__f012223.jpg,target
wnba__wnba_06__s03__f007237,wnba__wnba_06,7237,3,paint_near_baseline_left_corner,1740,420,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_06__s03__f007237.jpg,target
wnba__wnba_06__s03__f007237,wnba__wnba_06,7237,3,paint_near_baseline_right_corner,1740,710,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_06__s03__f007237.jpg,target
wnba__wnba_06__s03__f007237,wnba__wnba_06,7237,3,paint_near_free_throw_left_corner,995,520,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_06__s03__f007237.jpg,target
wnba__wnba_06__s03__f007237,wnba__wnba_06,7237,3,paint_near_free_throw_right_corner,1010,680,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_06__s03__f007237.jpg,target
wnba__wnba_06__s07__f014099,wnba__wnba_06,14099,7,paint_near_baseline_left_corner,300,450,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_06__s07__f014099.jpg,target
wnba__wnba_06__s07__f014099,wnba__wnba_06,14099,7,paint_near_baseline_right_corner,300,730,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_06__s07__f014099.jpg,target
wnba__wnba_06__s07__f014099,wnba__wnba_06,14099,7,paint_near_free_throw_left_corner,1070,500,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_06__s07__f014099.jpg,target
wnba__wnba_06__s07__f014099,wnba__wnba_06,14099,7,paint_near_free_throw_right_corner,1080,705,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_06__s07__f014099.jpg,target
wnba__wnba_06__s09__f018997,wnba__wnba_06,18997,9,paint_near_baseline_left_corner,1800,400,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_06__s09__f018997.jpg,target
wnba__wnba_06__s09__f018997,wnba__wnba_06,18997,9,paint_near_baseline_right_corner,1800,720,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_06__s09__f018997.jpg,target
wnba__wnba_06__s09__f018997,wnba__wnba_06,18997,9,paint_near_free_throw_left_corner,740,510,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_06__s09__f018997.jpg,target
wnba__wnba_06__s09__f018997,wnba__wnba_06,18997,9,paint_near_free_throw_right_corner,740,700,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_06__s09__f018997.jpg,target
wnba__wnba_07__s08__f016801,wnba__wnba_07,16801,8,paint_near_baseline_left_corner,200,440,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_07__s08__f016801.jpg,target
wnba__wnba_07__s08__f016801,wnba__wnba_07,16801,8,paint_near_baseline_right_corner,200,750,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_07__s08__f016801.jpg,target
wnba__wnba_07__s08__f016801,wnba__wnba_07,16801,8,paint_near_free_throw_left_corner,1100,480,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_07__s08__f016801.jpg,target
wnba__wnba_07__s08__f016801,wnba__wnba_07,16801,8,paint_near_free_throw_right_corner,1100,740,1920,1080,first,../g130_recensus/source_decodes/wnba__wnba_07__s08__f016801.jpg,target
