card_id,section_id,game_id,sol,terra,agreed,verdict
card_0020,EqseleqhpTk_s5310,EqseleqhpTk,NOT_USABLE,NOT_USABLE,1,NOT_USABLE
card_0021,EqseleqhpTk_s90,EqseleqhpTk,USABLE,USABLE,1,USABLE
card_0022,G8bPOW37Sp0_s320,G8bPOW37Sp0,UNSURE,UNSURE,1,UNSURE
card_0023,G8bPOW37Sp0_s550,G8bPOW37Sp0,USABLE,USABLE,1,USABLE
card_0024,G8bPOW37Sp0_s90,G8bPOW37Sp0,USABLE,USABLE,1,USABLE
card_0025,GNjSxoeDT-E_s1167,GNjSxoeDT-E,USABLE,USABLE,1,USABLE
card_0026,GNjSxoeDT-E_s2244,GNjSxoeDT-E,USABLE,USABLE,1,USABLE
card_0027,GNjSxoeDT-E_s3321,GNjSxoeDT-E,UNSURE,UNSURE,1,UNSURE
card_0028,GNjSxoeDT-E_s4398,GNjSxoeDT-E,USABLE,USABLE,1,USABLE
card_0029,GNjSxoeDT-E_s5475,GNjSxoeDT-E,USABLE,USABLE,1,USABLE
card_0030,GNjSxoeDT-E_s90,GNjSxoeDT-E,NOT_USABLE,NOT_USABLE,1,NOT_USABLE
card_0031,HUSo3PzP7lo_s246,HUSo3PzP7lo,USABLE,USABLE,1,USABLE
card_0032,HUSo3PzP7lo_s402,HUSo3PzP7lo,UNSURE,UNSURE,1,UNSURE
card_0033,HUSo3PzP7lo_s90,HUSo3PzP7lo,NOT_USABLE,NOT_USABLE,1,NOT_USABLE
card_0034,N-eE7ZwTuno_s1308,N-eE7ZwTuno,USABLE,USABLE,1,USABLE
card_0035,N-eE7ZwTuno_s2526,N-eE7ZwTuno,UNSURE,UNSURE,1,UNSURE
card_0036,N-eE7ZwTuno_s3744,N-eE7ZwTuno,USABLE,USABLE,1,USABLE
card_0037,N-eE7ZwTuno_s4962,N-eE7ZwTuno,USABLE,USABLE,1,USABLE
card_0038,N-eE7ZwTuno_s90,N-eE7ZwTuno,USABLE,USABLE,1,USABLE
card_0039,RIrGQJ_jsGQ_s1410,RIrGQJ_jsGQ,USABLE,USABLE,1,USABLE
card_0040,RIrGQJ_jsGQ_s2730,RIrGQJ_jsGQ,USABLE,USABLE,1,USABLE
card_0041,RIrGQJ_jsGQ_s4050,RIrGQJ_jsGQ,USABLE,USABLE,1,USABLE
card_0042,RIrGQJ_jsGQ_s5370,RIrGQJ_jsGQ,UNSURE,UNSURE,1,UNSURE
card_0043,RIrGQJ_jsGQ_s90,RIrGQJ_jsGQ,NOT_USABLE,NOT_USABLE,1,NOT_USABLE
card_0044,XCaGht2GmPg_s1416,XCaGht2GmPg,USABLE,USABLE,1,USABLE
card_0045,XCaGht2GmPg_s2742,XCaGht2GmPg,USABLE,USABLE,1,USABLE
card_0046,XCaGht2GmPg_s4068,XCaGht2GmPg,UNSURE,UNSURE,1,UNSURE
card_0047,XCaGht2GmPg_s5394,XCaGht2GmPg,USABLE,USABLE,1,USABLE
card_0048,XCaGht2GmPg_s90,XCaGht2GmPg,NOT_USABLE,NOT_USABLE,1,NOT_USABLE
card_0049,XzIzQZBrPBY_s244,XzIzQZBrPBY,UNSURE,UNSURE,1,UNSURE
card_0050,XzIzQZBrPBY_s398,XzIzQZBrPBY,USABLE,USABLE,1,USABLE
card_0051,XzIzQZBrPBY_s90,XzIzQZBrPBY,USABLE,USABLE,1,USABLE
card_0052,eaKqXq9dfig_s259,eaKqXq9dfig,USABLE,USABLE,1,USABLE
card_0053,eaKqXq9dfig_s428,eaKqXq9dfig,USABLE,USABLE,1,USABLE
card_0054,eaKqXq9dfig_s90,eaKqXq9dfig,USABLE,USABLE,1,USABLE
card_0055,fXLNra4sjjU_s5830,fXLNra4sjjU,USABLE,USABLE,1,USABLE
card_0056,fXLNra4sjjU_s90,fXLNra4sjjU,USABLE,USABLE,1,USABLE
card_0057,h6j_iLYRx8U_s1424,h6j_iLYRx8U,UNSURE,UNSURE,1,UNSURE
card_0058,h6j_iLYRx8U_s2758,h6j_iLYRx8U,USABLE,USABLE,1,USABLE
card_0059,h6j_iLYRx8U_s4092,h6j_iLYRx8U,USABLE,USABLE,1,USABLE
card_0060,h6j_iLYRx8U_s5426,h6j_iLYRx8U,USABLE,USABLE,1,USABLE
card_0061,h6j_iLYRx8U_s6760,h6j_iLYRx8U,UNSURE,UNSURE,1,UNSURE
card_0062,h6j_iLYRx8U_s90,h6j_iLYRx8U,USABLE,USABLE,1,USABLE
card_0063,wJSOHbeQcg4_s1180,wJSOHbeQcg4,USABLE,USABLE,1,USABLE
card_0064,wJSOHbeQcg4_s2270,wJSOHbeQcg4,USABLE,USABLE,1,USABLE
card_0065,wJSOHbeQcg4_s3360,wJSOHbeQcg4,USABLE,USABLE,1,USABLE
card_0066,wJSOHbeQcg4_s4450,wJSOHbeQcg4,USABLE,USABLE,1,USABLE
card_0067,wJSOHbeQcg4_s5540,wJSOHbeQcg4,UNSURE,UNSURE,1,UNSURE
card_0068,wJSOHbeQcg4_s90,wJSOHbeQcg4,USABLE,USABLE,1,USABLE
