clip_ordinal,clip_id,frame,content,sideline_visible,goal_line_visible,end_line_visible,yard_line_stripes_visible,yard_line_stripe_count,hash_marks_visible,painted_number_visible,legible_yard_number,render
4,football__football_B7znSVfBnM4.mp4,5461,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_04_group_1.jpg
4,football__football_B7znSVfBnM4.mp4,8041,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_04_group_1.jpg
4,football__football_B7znSVfBnM4.mp4,8668,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_04_group_2.jpg
4,football__football_B7znSVfBnM4.mp4,9121,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_04_group_2.jpg
4,football__football_B7znSVfBnM4.mp4,9476,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_04_group_2.jpg
4,football__football_B7znSVfBnM4.mp4,9823,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_04_group_2.jpg
4,football__football_B7znSVfBnM4.mp4,10455,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_04_group_3.jpg
4,football__football_B7znSVfBnM4.mp4,16136,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_04_group_3.jpg
4,football__football_B7znSVfBnM4.mp4,21967,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_04_group_3.jpg
4,football__football_B7znSVfBnM4.mp4,22877,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_04_group_3.jpg
5,football__football_gek9fXGlwas.mp4,2433,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_05_group_1.jpg
5,football__football_gek9fXGlwas.mp4,4170,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_05_group_1.jpg
5,football__football_gek9fXGlwas.mp4,10261,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_05_group_1.jpg
5,football__football_gek9fXGlwas.mp4,13662,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_05_group_1.jpg
5,football__football_gek9fXGlwas.mp4,14228,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_05_group_2.jpg
5,football__football_gek9fXGlwas.mp4,15389,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_05_group_2.jpg
5,football__football_gek9fXGlwas.mp4,17168,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_05_group_2.jpg
5,football__football_gek9fXGlwas.mp4,18119,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_05_group_2.jpg
5,football__football_gek9fXGlwas.mp4,18209,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_05_group_3.jpg
5,football__football_gek9fXGlwas.mp4,20070,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_05_group_3.jpg
5,football__football_gek9fXGlwas.mp4,21344,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_05_group_3.jpg
5,football__football_gek9fXGlwas.mp4,24874,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_05_group_3.jpg
6,football__football_h-_3BmAh9po.mp4,4238,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_06_group_1.jpg
6,football__football_h-_3BmAh9po.mp4,5321,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_06_group_1.jpg
6,football__football_h-_3BmAh9po.mp4,8422,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_06_group_1.jpg
6,football__football_h-_3BmAh9po.mp4,9921,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_06_group_1.jpg
6,football__football_h-_3BmAh9po.mp4,10772,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_06_group_2.jpg
6,football__football_h-_3BmAh9po.mp4,11763,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_06_group_2.jpg
6,football__football_h-_3BmAh9po.mp4,13800,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_06_group_2.jpg
6,football__football_h-_3BmAh9po.mp4,16539,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_06_group_2.jpg
6,football__football_h-_3BmAh9po.mp4,17635,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_06_group_3.jpg
6,football__football_h-_3BmAh9po.mp4,17793,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_06_group_3.jpg
6,football__football_h-_3BmAh9po.mp4,20881,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_06_group_3.jpg
6,football__football_h-_3BmAh9po.mp4,25136,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_06_group_3.jpg
7,football__football_wHZt1eY3A9s.mp4,2850,football,1,0,0,1,4,1,1,40|50,renders/clip_07_group_1.jpg
7,football__football_wHZt1eY3A9s.mp4,3429,football,0,0,0,0,0,0,0,,renders/clip_07_group_1.jpg
7,football__football_wHZt1eY3A9s.mp4,3603,football,0,0,0,0,0,0,0,,renders/clip_07_group_1.jpg
7,football__football_wHZt1eY3A9s.mp4,9120,football,1,0,0,1,4,1,1,20|30|40,renders/clip_07_group_1.jpg
7,football__football_wHZt1eY3A9s.mp4,14477,football,0,0,0,0,0,0,0,,renders/clip_07_group_2.jpg
7,football__football_wHZt1eY3A9s.mp4,18065,football,1,0,0,1,4,1,1,10|20,renders/clip_07_group_2.jpg
7,football__football_wHZt1eY3A9s.mp4,18575,football,0,0,0,0,0,0,0,,renders/clip_07_group_2.jpg
7,football__football_wHZt1eY3A9s.mp4,19594,football,0,0,0,0,0,0,0,,renders/clip_07_group_2.jpg
7,football__football_wHZt1eY3A9s.mp4,19973,football,0,0,0,0,0,0,0,,renders/clip_07_group_3.jpg
7,football__football_wHZt1eY3A9s.mp4,20095,football,1,1,0,1,3,1,1,10|20,renders/clip_07_group_3.jpg
7,football__football_wHZt1eY3A9s.mp4,25934,football,1,1,0,1,3,1,1,10|20,renders/clip_07_group_3.jpg
7,football__football_wHZt1eY3A9s.mp4,26537,football,0,0,0,0,0,0,0,,renders/clip_07_group_3.jpg
8,football__football_wHZt1eY3A9s_1080p.mp4,1103,football,0,0,0,1,2,1,0,,renders/clip_08_group_1.jpg
8,football__football_wHZt1eY3A9s_1080p.mp4,1774,football,0,0,0,1,3,1,1,50,renders/clip_08_group_1.jpg
8,football__football_wHZt1eY3A9s_1080p.mp4,2301,football,0,0,0,0,0,0,0,,renders/clip_08_group_1.jpg
8,football__football_wHZt1eY3A9s_1080p.mp4,3512,football,0,0,0,0,0,0,0,,renders/clip_08_group_1.jpg
8,football__football_wHZt1eY3A9s_1080p.mp4,3559,football,0,0,0,0,0,0,0,,renders/clip_08_group_2.jpg
8,football__football_wHZt1eY3A9s_1080p.mp4,4618,football,1,0,0,1,3,1,0,,renders/clip_08_group_2.jpg
8,football__football_wHZt1eY3A9s_1080p.mp4,4666,football,0,0,0,0,0,0,0,,renders/clip_08_group_2.jpg
8,football__football_wHZt1eY3A9s_1080p.mp4,4914,football,0,0,0,0,0,0,0,,renders/clip_08_group_2.jpg
8,football__football_wHZt1eY3A9s_1080p.mp4,5130,football,1,0,0,1,3,1,0,,renders/clip_08_group_3.jpg
8,football__football_wHZt1eY3A9s_1080p.mp4,5536,football,0,0,0,0,0,0,0,,renders/clip_08_group_3.jpg
8,football__football_wHZt1eY3A9s_1080p.mp4,6136,football,0,0,0,0,0,0,0,,renders/clip_08_group_3.jpg
8,football__football_wHZt1eY3A9s_1080p.mp4,6552,football,0,0,0,1,2,1,0,,renders/clip_08_group_3.jpg
9,football__giants_jets_format96_1080p.mp4,1051,football,0,0,0,0,0,0,0,,renders/clip_09_group_1.jpg
9,football__giants_jets_format96_1080p.mp4,1320,football,1,0,0,1,5,1,1,40|50,renders/clip_09_group_1.jpg
9,football__giants_jets_format96_1080p.mp4,1958,football,0,0,0,0,0,0,0,,renders/clip_09_group_1.jpg
9,football__giants_jets_format96_1080p.mp4,1996,football,0,0,0,0,0,0,0,,renders/clip_09_group_1.jpg
9,football__giants_jets_format96_1080p.mp4,2546,football,1,0,0,1,5,1,1,40|50,renders/clip_09_group_2.jpg
9,football__giants_jets_format96_1080p.mp4,3198,football,0,0,0,0,0,0,0,,renders/clip_09_group_2.jpg
9,football__giants_jets_format96_1080p.mp4,3470,football,0,0,0,0,0,0,0,,renders/clip_09_group_2.jpg
9,football__giants_jets_format96_1080p.mp4,4686,football,0,0,0,0,0,0,0,,renders/clip_09_group_2.jpg
9,football__giants_jets_format96_1080p.mp4,4855,football,1,0,0,1,5,1,1,20|30|40|50,renders/clip_09_group_3.jpg
9,football__giants_jets_format96_1080p.mp4,5759,football,0,0,0,1,3,1,0,,renders/clip_09_group_3.jpg
9,football__giants_jets_format96_1080p.mp4,5852,football,0,0,0,1,3,1,0,,renders/clip_09_group_3.jpg
9,football__giants_jets_format96_1080p.mp4,5911,football,0,0,0,1,3,1,0,,renders/clip_09_group_3.jpg
