source_frame,marker_index,track_id,foot_x_px,foot_y_px,player_id,located_foot_x_px,located_foot_y_px,offset_direction,blind_index,verdict,free_text
23368,6,95,479.25,828.0,p04,530.0,650.0,BELOW,26,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
20440,6,1,697.125,841.5,p02,480.0,627.0,RIGHT,27,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
20938,1,25,1539.0,969.0,p10,1700.0,718.0,BELOW,28,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
22247,3,57,112.5,533.25,p10,100.0,740.0,ABOVE,29,DIFFERENT_PERSON,
21686,1,53,230.4375,729.0,p02,149.0,632.0,BELOW,30,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
20440,10,7,1253.25,763.5,p07,1200.0,470.0,BELOW,31,BARE_COURT_OR_FLOOR,
19879,2,2,888.0,781.5,p05,847.0,593.0,BELOW,32,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
20440,2,31,415.5,590.625,p02,480.0,627.0,LEFT,33,BARE_COURT_OR_FLOOR,
21935,6,56,1293.75,537.0,p05,1496.0,751.0,ABOVE,34,BARE_COURT_OR_FLOOR,
21187,4,40,1092.75,404.25,p08,950.0,478.0,RIGHT,35,BARE_COURT_OR_FLOOR,
21187,2,32,1449.0,660.0,p09,1588.0,710.0,LEFT,36,BARE_COURT_OR_FLOOR,
20440,7,25,707.25,862.5,p02,480.0,627.0,BELOW,37,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
20689,6,20,1279.5,691.125,p07,1302.0,641.0,BELOW,38,BARE_COURT_OR_FLOOR,
20440,9,24,816.0,864.0,p08,969.0,708.0,BELOW,39,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
21935,4,47,1511.25,572.25,p09,1554.0,605.0,LEFT,40,DIFFERENT_PERSON,
19630,7,11,1552.5,623.25,p10,1424.0,563.0,RIGHT,41,BARE_COURT_OR_FLOOR,
23368,7,93,1420.5,825.0,p08,1510.0,560.0,BELOW,42,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
19630,2,7,634.125,867.75,p04,796.0,651.0,BELOW,43,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
19879,5,7,772.3125,577.5,p05,847.0,593.0,LEFT,44,BARE_COURT_OR_FLOOR,
22496,2,45,419.15625,501.75,p01,442.0,508.0,LEFT,45,BARE_COURT_OR_FLOOR,
20440,8,15,969.75,409.5,p06,1030.0,421.0,LEFT,46,DIFFERENT_PERSON,
20440,4,18,347.25,975.0,p01,299.0,672.0,BELOW,47,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
22683,0,63,1473.75,969.0,p10,1400.0,728.0,BELOW,48,BARE_COURT_OR_FLOOR,
19630,0,1,1119.75,865.5,p09,1361.0,562.0,BELOW,49,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
23368,4,83,642.75,296.8125,p01,470.0,338.0,RIGHT,50,BARE_COURT_OR_FLOOR,
22683,3,45,599.90625,164.625,p01,560.0,369.0,ABOVE,51,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
23368,2,90,1194.0,281.25,p05,1150.0,445.0,ABOVE,52,BARE_COURT_OR_FLOOR,
19630,5,4,827.25,555.375,p04,796.0,651.0,ABOVE,53,BARE_COURT_OR_FLOOR,
21499,7,48,653.25,501.0,p03,850.0,417.0,LEFT,54,BARE_COURT_OR_FLOOR,
20938,6,32,1302.75,367.125,p07,1303.0,392.0,ABOVE,55,BARE_COURT_OR_FLOOR,
21686,7,45,428.25,648.0,p03,600.0,545.0,LEFT,56,DIFFERENT_PERSON,
20440,0,34,1374.75,734.25,p07,1200.0,470.0,BELOW,57,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
20190,1,20,1047.0,427.5,p07,1044.0,418.0,BELOW,58,BARE_COURT_OR_FLOOR,
22496,5,47,898.5,339.375,p05,900.0,277.0,BELOW,59,BARE_COURT_OR_FLOOR,
19879,4,4,421.875,975.0,p02,283.0,696.0,BELOW,60,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
19879,1,8,613.5,651.0,p03,629.0,567.0,BELOW,61,BARE_COURT_OR_FLOOR,
19630,1,8,873.0,801.75,p04,796.0,651.0,BELOW,62,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
22496,1,55,924.0,597.0,p04,934.0,553.0,BELOW,63,BARE_COURT_OR_FLOOR,
19630,4,3,1480.5,775.5,p10,1424.0,563.0,BELOW,64,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
20440,3,22,65.625,972.0,p01,299.0,672.0,BELOW,65,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
22683,1,49,1114.5,881.25,p09,1245.0,794.0,LEFT,66,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
20938,7,34,165.65625,576.0,p01,420.0,520.0,LEFT,67,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
22247,2,42,1124.25,582.75,p06,1200.0,596.0,LEFT,68,DIFFERENT_PERSON,
19879,3,15,1297.5,795.0,p10,1252.0,699.0,BELOW,69,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
21686,2,33,1080.0,837.0,p08,998.0,677.0,BELOW,70,BARE_COURT_OR_FLOOR,
21499,0,45,1200.0,618.0,p07,1290.0,392.0,BELOW,71,BARE_COURT_OR_FLOOR,
23368,3,89,990.75,451.5,p05,1150.0,445.0,LEFT,72,BARE_COURT_OR_FLOOR,
22247,0,56,636.375,599.25,p07,670.0,625.0,LEFT,73,BARE_COURT_OR_FLOOR,
21686,9,44,851.25,428.25,p04,868.0,351.0,BELOW,74,BARE_COURT_OR_FLOOR,
23368,1,42,838.5,254.25,p03,815.0,425.0,ABOVE,75,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
21499,1,25,1029.75,604.125,p04,923.0,422.0,BELOW,76,BARE_COURT_OR_FLOOR,
20938,3,2,1794.0,297.0,p09,1576.0,604.0,ABOVE,77,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
21686,10,15,81.5625,596.25,p02,149.0,632.0,LEFT,78,BARE_COURT_OR_FLOOR,
20440,5,2,596.25,862.5,p02,480.0,627.0,BELOW,79,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
