opaque_id,sheet,sheet_sha256,sheet_bytes,width,height,status
G382_019,G382_019.png,a3ee883248938e6277e4185922684a9deae0f36ae4e3d9997fb30594a7c28ab6,3653452,1920,1080,READY
G382_020,,,0,,,ABSENT
G382_021,G382_021.png,b7aac1e6bedd91f04a2f50c0c48f4d0ced718c955b1e0e2d6087032a09330a8d,3780900,1920,1080,READY
G382_022,G382_022.png,f8881f6022c45d5fa630629c216689fb6bba5fa6b0e0112723db6473eb1a1e3c,2373171,1920,1080,READY
G382_023,G382_023.png,afd2dcd015e0474c685d6da9bad4bda94d80ebb402c40910035cc534a943d632,3296641,1920,1080,READY
G382_024,G382_024.png,6e6d3c8bdb88b7b5e1ca99ee9882237c3fb4af354331d8cad65eb2e68f38d711,3491475,1920,1080,READY
G382_025,,,0,,,ABSENT
G382_026,G382_026.png,2eb679e2f1c22970dd6ff8b8c3cd59d65bb78e260a48c2a69dd8afcf27368cc7,3150714,1920,1080,READY
G382_027,G382_027.png,aa02bc0e373db34265fcd635d57343f8bd715637e3223411e3c80d2e41ab3fbe,3211227,1920,1080,READY
G382_028,G382_028.png,a5bc137b2251db375ca11b9df19f4cd17bfec425887bc45366241ecd537803c9,670978,1920,1080,READY
G382_029,G382_029.png,8f2233f963db27d1ecf7d2c232fc66feae42de9dcc6dedb56267d86903257e06,1363819,1920,1080,READY
G382_030,,,0,,,ABSENT
G382_031,G382_031.png,0daedfb478006329e8ec6f123a90b3cc70d854a1f8868bbcfe194d585d461a41,1889598,1920,1080,READY
G382_032,G382_032.png,7e35bcf6442e73d11fd704d7735595f1062e732d0433f4273ac0d357e0200c53,2850750,1920,1080,READY
G382_033,G382_033.png,4ddac90b4bfba226a15686e3d439c3bee7a2bec2e46d89303ded8344bcdfa285,2578090,1920,1080,READY
G382_034,G382_034.png,97f2410d53de4b8d0200dba2aa65e57f6240160a2e50c493d5ea7843912c477d,2725068,1920,1080,READY
G382_035,,,0,,,ABSENT
G382_036,G382_036.png,e5b15bb7499cd46157fdcb995111f39af04e4c5a2df3aa5813440b7ff59f81d2,2191283,1920,1080,READY
G382_037,G382_037.png,e0bb258877e6e289f575e09dd929b93f4c8964739a37635dcae162c69e42085c,2661043,1920,1080,READY
G382_038,G382_038.png,ad1dff8d21b7938cc873136802c3eff77f8f1da7980145e2ec924813766b8620,2230589,1920,1080,READY
G382_039,G382_039.png,ebd304d6148dcf3e72cacb426bfdb631868e8a8939fd77770f94199d7c32c683,2351769,1920,1080,READY
G382_040,,,0,,,ABSENT
G382_041,G382_041.png,dc3c43cf9d081729a169645ddba93527c66c9f8b643c67256fe346e3d62250ec,2799939,1920,1080,READY
G382_042,G382_042.png,6a58317997ed00e14f4e57a93a8a9badacda735c22ff49cb6fb81fb0e33aa083,2507638,1920,1080,READY
G382_043,G382_043.png,169f714f40296bb57094828ee1d2ee52bf2a1925638f73087926adbae7b607b0,2754717,1920,1080,READY
G382_044,G382_044.png,4b306e902f9c631f2a0421e8a9aa37f4d74788d86060e5454440bbd3e9af389e,2404060,1920,1080,READY
G382_045,,,0,,,ABSENT
G382_046,G382_046.png,aef3761a01bdfd8e7ba744bda3d09586f7f0fbeb6ac408bebaf52ca9400ad2e2,2638904,1920,1080,READY
G382_047,G382_047.png,e65d0ddeb7aa32a4289566a4bc21bb24c54afd2de52113cd130662b9c2a23af3,2580288,1920,1080,READY
G382_048,G382_048.png,831a50c8ef9320c277c7f87d894e119c97278ac55e13354b27d9d52394586dd5,2733659,1920,1080,READY
G382_049,G382_049.png,c7e637f9d104330c63c406c5af2bc55566f74950dc5916b805224e1a3a95892b,2591277,1920,1080,READY
G382_050,,,0,,,ABSENT
G382_051,G382_051.png,2a0e26946e9adcd0b4ec121122658827d7808491dd627eaa21cc3cb1b3284b71,3459828,1920,1080,READY
G382_052,G382_052.png,12524f705c2cfc5c79939943756063be4b37e4a83b2a3d1368fea37ba55c7c2a,1201236,1920,1080,READY
G382_053,G382_053.png,d1a155e0d3dd86b042b363a437831d450bedc8e47167842c404c3ea51aa6f045,3383952,1920,1080,READY
G382_054,G382_054.png,0f392ab3e74f2135b219f288f5d0cc9340fa675bb9cb567ebd1d33de4ad4c843,3321912,1920,1080,READY
G382_055,,,0,,,ABSENT
G382_056,G382_056.png,3918968977792de587970de0e15bbbc2fceaac4eee94f58ce65890ad3e1fc734,4346136,1920,1080,READY
G382_057,G382_057.png,1a6649ce49b57800b1675f5947731ca6523580d979b9b804e99a77601487cc3e,2174127,1920,1080,READY
G382_058,G382_058.png,b1540a42587b4382b67295a83054ef80ae61424fd4042cdcb7eb93605fbdc929,4232087,1920,1080,READY
G382_059,G382_059.png,519e523f4fa7e169f13f0b108c38ad9c8b00046bbce3470908962b19ace73606,3638512,1920,1080,READY
G382_060,,,0,,,ABSENT
