frame_key,opaque_id,rater,kind,identifier,n_points,area_px,polygon
9sq-YMlIo9Q_s2346:000040,G382_001,sol,REGION,LED,6,60927,"[[245,176],[1030,184],[1030,270],[438,259],[438,235],[245,229]]"
9sq-YMlIo9Q_s2346:000040,G382_001,sol,REGION,LED,4,79395,"[[1130,270],[1920,279],[1920,395],[1130,353]]"
9sq-YMlIo9Q_s2346:000040,G382_001,sol,REGION,OTHER,5,133871,"[[0,207],[238,207],[238,345],[458,350],[0,780]]"
9sq-YMlIo9Q_s2346:000040,G382_001,sol,REGION,OTHER,4,95498,"[[1292,589],[1920,616],[1920,766],[1288,740]]"
9sq-YMlIo9Q_s2346:000040,G382_001,sol,REGION,SCORE_BUG,4,135594,"[[126,947],[1799,947],[1799,1027],[126,1027]]"
9sq-YMlIo9Q_s2346:001042,G382_002,terra,PAINTED,LANE_LINE_RIGHT_NEAR,4,1707,"[[1049,867],[1057,868],[1054,1056],[1046,1056]]"
9sq-YMlIo9Q_s2346:001042,G382_002,terra,REGION,STANDS,6,922638,"[[0,0],[1920,0],[1920,319],[1252,319],[1252,565],[0,565]]"
9sq-YMlIo9Q_s2346:001042,G382_002,terra,REGION,LED,4,50959,"[[1531,473],[1920,473],[1920,603],[1531,603]]"
9sq-YMlIo9Q_s2346:001042,G382_002,terra,REGION,OTHER,4,288218,"[[0,321],[1210,321],[1210,558],[0,558]]"
9sq-YMlIo9Q_s2346:001042,G382_002,sol,PAINTED,LANE_LINE_RIGHT_NEAR,4,5681,"[[976,1080],[1000,1080],[1078,823],[1063,815]]"
9sq-YMlIo9Q_s2346:001042,G382_002,sol,REGION,STANDS,8,1126115,"[[0,0],[1920,0],[1920,530],[1600,530],[1600,590],[300,590],[300,625],[0,625]]"
9sq-YMlIo9Q_s2346:001042,G382_002,sol,REGION,LED,4,32327,"[[1585,542],[1920,535],[1920,638],[1585,630]]"
9sq-YMlIo9Q_s2346:001042,G382_002,sol,REGION,OTHER,7,314285,"[[0,365],[105,330],[300,350],[420,620],[515,999],[400,1079],[0,1079]]"
9sq-YMlIo9Q_s2346:001042,G382_002,sol,REGION,OTHER,4,118064,"[[1190,395],[1515,390],[1545,748],[1210,748]]"
9sq-YMlIo9Q_s2346:002003,G382_003,terra,REGION,OTHER,4,1395840,"[[0,0],[1920,0],[1920,726],[0,726]]"
9sq-YMlIo9Q_s2346:002003,G382_003,terra,REGION,SCORE_BUG,4,138006,"[[119,947],[1801,947],[1801,1028],[119,1028]]"
9sq-YMlIo9Q_s2346:002003,G382_003,terra,REGION,LED,4,426240,"[[0,726],[1920,726],[1920,947],[0,947]]"
9sq-YMlIo9Q_s2346:002003,G382_003,terra,REGION,OTHER,4,99840,"[[0,1028],[1920,1028],[1920,1080],[0,1080]]"
9sq-YMlIo9Q_s2346:002003,G382_003,sol,REGION,OTHER,4,1818240,"[[0,0],[1920,0],[1920,946],[0,946]]"
9sq-YMlIo9Q_s2346:002003,G382_003,sol,REGION,OTHER,4,99840,"[[0,1028],[1920,1028],[1920,1080],[0,1080]]"
9sq-YMlIo9Q_s2346:002003,G382_003,sol,REGION,OTHER,4,10206,"[[0,947],[125,947],[125,1027],[0,1027]]"
9sq-YMlIo9Q_s2346:002003,G382_003,sol,REGION,OTHER,4,9639,"[[1801,947],[1920,947],[1920,1027],[1801,1027]]"
9sq-YMlIo9Q_s2346:002003,G382_003,sol,REGION,SCORE_BUG,4,135675,"[[126,947],[1800,947],[1800,1027],[126,1027]]"
9sq-YMlIo9Q_s2346:002964,G382_004,terra,REGION,OTHER,4,1820160,"[[0,0],[1920,0],[1920,947],[0,947]]"
9sq-YMlIo9Q_s2346:002964,G382_004,terra,REGION,SCORE_BUG,4,137924,"[[120,947],[1801,947],[1801,1028],[120,1028]]"
9sq-YMlIo9Q_s2346:002964,G382_004,terra,REGION,OTHER,4,99840,"[[0,1028],[1920,1028],[1920,1080],[0,1080]]"
9sq-YMlIo9Q_s2346:002964,G382_004,sol,PAINTED,SIDELINE_FAR,4,9000,"[[1335,357],[1920,602],[1920,616],[1331,370]]"
9sq-YMlIo9Q_s2346:002964,G382_004,sol,PAINTED,CENTRE_LINE,4,8242,"[[1320,799],[1920,715],[1920,727],[1324,812]]"
9sq-YMlIo9Q_s2346:002964,G382_004,sol,REGION,LED,7,609401,"[[0,0],[1920,0],[1920,270],[1370,305],[1260,334],[800,380],[0,245]]"
9sq-YMlIo9Q_s2346:002964,G382_004,sol,REGION,OTHER,6,500876,"[[665,95],[1105,80],[1235,500],[1305,945],[520,945],[665,650]]"
9sq-YMlIo9Q_s2346:002964,G382_004,sol,REGION,OTHER,4,138091,"[[0,690],[580,700],[540,940],[0,940]]"
9sq-YMlIo9Q_s2346:002964,G382_004,sol,REGION,SCORE_BUG,4,135675,"[[126,947],[1800,947],[1800,1027],[126,1027]]"
GtwFiAa1gXI_s3762:000040,G382_006,terra,REGION,LED,4,860160,"[[0,239],[1920,239],[1920,686],[0,686]]"
GtwFiAa1gXI_s3762:000040,G382_006,terra,REGION,OTHER,4,460800,"[[0,0],[1920,0],[1920,239],[0,239]]"
GtwFiAa1gXI_s3762:000040,G382_006,terra,REGION,OTHER,4,503040,"[[0,686],[1920,686],[1920,947],[0,947]]"
GtwFiAa1gXI_s3762:000040,G382_006,terra,REGION,SCORE_BUG,4,138006,"[[119,947],[1801,947],[1801,1028],[119,1028]]"
GtwFiAa1gXI_s3762:000040,G382_006,terra,REGION,OTHER,4,99840,"[[0,1028],[1920,1028],[1920,1080],[0,1080]]"
GtwFiAa1gXI_s3762:000040,G382_006,sol,PAINTED,SIDELINE_FAR,4,7398,"[[0,691],[410,692],[410,709],[0,708]]"
GtwFiAa1gXI_s3762:000040,G382_006,sol,REGION,OTHER,4,211596,"[[0,0],[915,0],[915,230],[0,230]]"
GtwFiAa1gXI_s3762:000040,G382_006,sol,REGION,LED,4,177016,"[[0,245],[405,245],[405,680],[0,680]]"
GtwFiAa1gXI_s3762:000040,G382_006,sol,REGION,SCORE_BUG,4,186690,"[[306,800],[1575,800],[1575,946],[306,946]]"
GtwFiAa1gXI_s3762:000040,G382_006,sol,REGION,SCORE_BUG,4,132404,"[[125,948],[1800,948],[1800,1026],[125,1026]]"
GtwFiAa1gXI_s3762:001049,G382_007,terra,PAINTED,FREE_THROW_LINE_LEFT,4,4264,"[[662,570],[1194,591],[1194,598],[662,577]]"
GtwFiAa1gXI_s3762:001049,G382_007,terra,PAINTED,LANE_LINE_LEFT_NEAR,4,1426,"[[662,570],[669,571],[642,746],[635,746]]"
GtwFiAa1gXI_s3762:001049,G382_007,terra,REGION,STANDS,8,528486,"[[0,0],[1920,0],[1920,216],[1558,216],[1558,252],[752,252],[752,326],[0,326]]"
GtwFiAa1gXI_s3762:001049,G382_007,terra,REGION,LED,4,86670,"[[1110,253],[1920,253],[1920,359],[1110,359]]"
GtwFiAa1gXI_s3762:001049,G382_007,terra,REGION,OTHER,4,148716,"[[0,326],[611,326],[611,568],[0,568]]"
GtwFiAa1gXI_s3762:001049,G382_007,terra,REGION,SCORE_BUG,4,138006,"[[119,947],[1801,947],[1801,1028],[119,1028]]"
GtwFiAa1gXI_s3762:001049,G382_007,terra,REGION,OTHER,4,99840,"[[0,1028],[1920,1028],[1920,1080],[0,1080]]"
GtwFiAa1gXI_s3762:001049,G382_007,sol,PAINTED,BASELINE_LEFT,4,10408,"[[180,943],[735,318],[746,320],[194,948]]"
GtwFiAa1gXI_s3762:001049,G382_007,sol,PAINTED,SIDELINE_FAR,4,13473,"[[748,318],[1918,409],[1918,419],[748,329]]"
GtwFiAa1gXI_s3762:001049,G382_007,sol,PAINTED,LANE_LINE_LEFT_FAR,4,6344,"[[621,564],[1188,596],[1185,606],[618,574]]"
GtwFiAa1gXI_s3762:001049,G382_007,sol,PAINTED,LANE_LINE_LEFT_NEAR,4,9052,"[[405,711],[1146,755],[1142,766],[402,722]]"
GtwFiAa1gXI_s3762:001049,G382_007,sol,PAINTED,FREE_THROW_LINE_LEFT,4,1796,"[[1194,605],[1205,603],[1165,756],[1154,756]]"
GtwFiAa1gXI_s3762:001049,G382_007,sol,REGION,STANDS,8,463687,"[[0,0],[1920,0],[1920,176],[1550,176],[1550,273],[700,273],[700,235],[0,235]]"
GtwFiAa1gXI_s3762:001049,G382_007,sol,REGION,LED,4,62181,"[[700,278],[1545,281],[1545,360],[700,344]]"
GtwFiAa1gXI_s3762:001049,G382_007,sol,REGION,LED,4,36135,"[[1555,278],[1920,279],[1920,392],[1555,361]]"
GtwFiAa1gXI_s3762:001049,G382_007,sol,REGION,OTHER,6,282933,"[[0,236],[690,236],[690,314],[560,314],[180,930],[0,930]]"
GtwFiAa1gXI_s3762:001049,G382_007,sol,REGION,SCORE_BUG,4,134000,"[[126,948],[1800,948],[1800,1027],[126,1027]]"
GtwFiAa1gXI_s3762:002016,G382_008,terra,PAINTED,FREE_THROW_LINE_RIGHT,4,3497,"[[706,464],[1140,447],[1141,454],[707,471]]"
GtwFiAa1gXI_s3762:002016,G382_008,terra,PAINTED,LANE_LINE_RIGHT_NEAR,4,1308,"[[706,464],[713,464],[746,624],[739,625]]"
GtwFiAa1gXI_s3762:002016,G382_008,terra,PAINTED,BASELINE_RIGHT,4,2997,"[[1456,579],[1463,577],[1742,863],[1735,866]]"
GtwFiAa1gXI_s3762:002016,G382_008,terra,REGION,STANDS,4,222720,"[[0,0],[1920,0],[1920,115],[0,115]]"
GtwFiAa1gXI_s3762:002016,G382_008,terra,REGION,LED,4,40836,"[[0,116],[491,116],[491,198],[0,198]]"
GtwFiAa1gXI_s3762:002016,G382_008,terra,REGION,OTHER,4,65280,"[[1750,193],[1920,193],[1920,576],[1750,576]]"
GtwFiAa1gXI_s3762:002016,G382_008,terra,REGION,SCORE_BUG,4,138006,"[[119,947],[1801,947],[1801,1028],[119,1028]]"
GtwFiAa1gXI_s3762:002016,G382_008,terra,REGION,OTHER,4,99840,"[[0,1028],[1920,1028],[1920,1080],[0,1080]]"
GtwFiAa1gXI_s3762:002016,G382_008,sol,PAINTED,BASELINE_RIGHT,4,8598,"[[1213,181],[1223,180],[1738,866],[1728,869]]"
GtwFiAa1gXI_s3762:002016,G382_008,sol,PAINTED,SIDELINE_FAR,4,11267,"[[244,233],[1207,177],[1211,187],[246,244]]"
GtwFiAa1gXI_s3762:002016,G382_008,sol,PAINTED,SIDELINE_NEAR,4,1547,"[[0,1001],[118,989],[118,1001],[0,1013]]"
GtwFiAa1gXI_s3762:002016,G382_008,sol,PAINTED,LANE_LINE_RIGHT_FAR,4,7222,"[[681,462],[1320,414],[1324,424],[684,472]]"
GtwFiAa1gXI_s3762:002016,G382_008,sol,PAINTED,LANE_LINE_RIGHT_NEAR,4,7335,"[[752,620],[1400,577],[1405,587],[756,630]]"
GtwFiAa1gXI_s3762:002016,G382_008,sol,PAINTED,FREE_THROW_LINE_RIGHT,4,1941,"[[676,469],[686,466],[752,620],[742,624]]"
GtwFiAa1gXI_s3762:002016,G382_008,sol,REGION,STANDS,8,255750,"[[0,0],[1920,0],[1920,115],[1500,115],[1500,145],[600,145],[600,125],[0,125]]"
GtwFiAa1gXI_s3762:002016,G382_008,sol,REGION,LED,5,99680,"[[0,126],[1200,126],[1200,175],[240,230],[0,230]]"
GtwFiAa1gXI_s3762:002016,G382_008,sol,REGION,OTHER,5,340670,"[[1230,120],[1920,120],[1920,865],[1745,865],[1230,190]]"
GtwFiAa1gXI_s3762:002016,G382_008,sol,REGION,SCORE_BUG,4,134000,"[[126,948],[1800,948],[1800,1027],[126,1027]]"
GtwFiAa1gXI_s3762:002984,G382_009,terra,PAINTED,CENTRE_LINE,4,4928,"[[363,330],[370,330],[373,945],[366,945]]"
GtwFiAa1gXI_s3762:002984,G382_009,terra,PAINTED,FREE_THROW_LINE_RIGHT,4,3568,"[[1474,507],[1920,505],[1920,512],[1474,514]]"
GtwFiAa1gXI_s3762:002984,G382_009,terra,REGION,STANDS,4,330240,"[[0,0],[1920,0],[1920,171],[0,171]]"
GtwFiAa1gXI_s3762:002984,G382_009,terra,REGION,LED,4,236160,"[[0,171],[1920,171],[1920,293],[0,293]]"
GtwFiAa1gXI_s3762:002984,G382_009,terra,REGION,SCORE_BUG,4,138006,"[[119,947],[1801,947],[1801,1028],[119,1028]]"
GtwFiAa1gXI_s3762:002984,G382_009,terra,REGION,OTHER,4,99840,"[[0,1028],[1920,1028],[1920,1080],[0,1080]]"
GtwFiAa1gXI_s3762:002984,G382_009,sol,PAINTED,CENTRE_LINE,4,8582,"[[390,332],[403,332],[376,944],[363,944]]"
GtwFiAa1gXI_s3762:002984,G382_009,sol,PAINTED,SIDELINE_FAR,4,8057,"[[0,326],[700,316],[700,326],[0,337]]"
GtwFiAa1gXI_s3762:002984,G382_009,sol,PAINTED,LANE_LINE_RIGHT_FAR,4,5757,"[[1440,506],[1920,500],[1920,511],[1441,517]]"
GtwFiAa1gXI_s3762:002984,G382_009,sol,PAINTED,LANE_LINE_RIGHT_NEAR,4,4792,"[[1520,669],[1920,672],[1920,683],[1521,680]]"
GtwFiAa1gXI_s3762:002984,G382_009,sol,PAINTED,FREE_THROW_LINE_RIGHT,4,2120,"[[1434,514],[1445,512],[1520,668],[1509,672]]"
GtwFiAa1gXI_s3762:002984,G382_009,sol,REGION,STANDS,4,328320,"[[0,0],[1920,0],[1920,170],[0,170]]"
GtwFiAa1gXI_s3762:002984,G382_009,sol,REGION,LED,4,238080,"[[0,180],[1920,180],[1920,292],[0,314]]"
GtwFiAa1gXI_s3762:002984,G382_009,sol,REGION,OTHER,4,208495,"[[0,511],[850,511],[850,755],[0,755]]"
GtwFiAa1gXI_s3762:002984,G382_009,sol,REGION,SCORE_BUG,4,134000,"[[126,948],[1800,948],[1800,1027],[126,1027]]"
UCVSlzgun0o_s2298:000039,G382_011,terra,PAINTED,FREE_THROW_LINE_RIGHT,4,4152,"[[613,683],[1131,681],[1131,688],[613,690]]"
UCVSlzgun0o_s2298:000039,G382_011,terra,PAINTED,LANE_LINE_RIGHT_NEAR,4,1208,"[[1124,536],[1131,535],[1147,683],[1140,684]]"
UCVSlzgun0o_s2298:000039,G382_011,terra,REGION,STANDS,4,535680,"[[0,0],[1920,0],[1920,278],[0,278]]"
UCVSlzgun0o_s2298:000039,G382_011,terra,REGION,OTHER,4,213409,"[[1321,279],[1920,279],[1920,880],[1810,880]]"
UCVSlzgun0o_s2298:000039,G382_011,terra,REGION,SCORE_BUG,4,93573,"[[539,908],[1381,908],[1381,1018],[539,1018]]"
UCVSlzgun0o_s2298:000039,G382_011,terra,REGION,OTHER,4,119040,"[[0,1018],[1920,1018],[1920,1080],[0,1080]]"
UCVSlzgun0o_s2298:000039,G382_011,sol,PAINTED,BASELINE_RIGHT,4,15216,"[[965,342],[1918,921],[1912,932],[958,353]]"
UCVSlzgun0o_s2298:000039,G382_011,sol,PAINTED,SIDELINE_FAR,4,11485,"[[0,398],[950,337],[952,348],[0,409]]"
UCVSlzgun0o_s2298:000039,G382_011,sol,PAINTED,LANE_LINE_RIGHT_FAR,4,5270,"[[570,574],[953,385],[960,394],[576,584]]"
UCVSlzgun0o_s2298:000039,G382_011,sol,PAINTED,LANE_LINE_RIGHT_NEAR,4,8754,"[[735,714],[1452,668],[1455,679],[738,725]]"
UCVSlzgun0o_s2298:000039,G382_011,sol,PAINTED,FREE_THROW_LINE_RIGHT,4,2487,"[[565,582],[576,577],[733,713],[724,720]]"
UCVSlzgun0o_s2298:000039,G382_011,sol,REGION,STANDS,6,461155,"[[0,0],[1920,0],[1920,210],[1600,210],[1600,245],[0,245]]"
UCVSlzgun0o_s2298:000039,G382_011,sol,REGION,OTHER,4,109365,"[[0,246],[950,246],[950,330],[0,390]]"
UCVSlzgun0o_s2298:000039,G382_011,sol,REGION,OTHER,5,392650,"[[980,250],[1920,210],[1920,910],[1470,660],[980,380]]"
UCVSlzgun0o_s2298:000039,G382_011,sol,REGION,SCORE_BUG,4,106807,"[[540,906],[1380,906],[1380,1032],[540,1032]]"
UCVSlzgun0o_s2298:001026,G382_012,terra,REGION,OTHER,4,1737600,"[[0,0],[1920,0],[1920,904],[0,904]]"
UCVSlzgun0o_s2298:001026,G382_012,terra,REGION,SCORE_BUG,4,96945,"[[539,904],[1381,904],[1381,1018],[539,1018]]"
UCVSlzgun0o_s2298:001026,G382_012,terra,REGION,OTHER,4,119040,"[[0,1018],[1920,1018],[1920,1080],[0,1080]]"
UCVSlzgun0o_s2298:001026,G382_012,sol,REGION,OTHER,4,1729920,"[[0,0],[1920,0],[1920,900],[0,900]]"
UCVSlzgun0o_s2298:001026,G382_012,sol,REGION,OTHER,4,92160,"[[0,1032],[1920,1032],[1920,1080],[0,1080]]"
UCVSlzgun0o_s2298:001026,G382_012,sol,REGION,OTHER,4,70478,"[[0,901],[537,901],[537,1031],[0,1031]]"
UCVSlzgun0o_s2298:001026,G382_012,sol,REGION,OTHER,4,70609,"[[1381,901],[1920,901],[1920,1031],[1381,1031]]"
UCVSlzgun0o_s2298:001026,G382_012,sol,REGION,SCORE_BUG,4,110433,"[[538,901],[1380,901],[1380,1031],[538,1031]]"
UCVSlzgun0o_s2298:001974,G382_013,terra,PAINTED,FREE_THROW_LINE_LEFT,4,2586,"[[738,712],[1055,754],[1054,761],[737,719]]"
UCVSlzgun0o_s2298:001974,G382_013,terra,REGION,STANDS,8,641277,"[[0,0],[1920,0],[1920,304],[1510,322],[1210,314],[895,309],[600,330],[0,414]]"
UCVSlzgun0o_s2298:001974,G382_013,terra,REGION,SCORE_BUG,4,147350,"[[541,905],[1382,905],[1382,1080],[541,1080]]"
UCVSlzgun0o_s2298:001974,G382_013,sol,PAINTED,BASELINE_LEFT,4,11165,"[[0,897],[735,375],[744,382],[4,909]]"
UCVSlzgun0o_s2298:001974,G382_013,sol,PAINTED,SIDELINE_FAR,4,13902,"[[752,379],[1920,443],[1920,454],[755,390]]"
UCVSlzgun0o_s2298:001974,G382_013,sol,PAINTED,LANE_LINE_LEFT_NEAR,4,8236,"[[319,708],[1088,733],[1084,742],[312,718]]"
UCVSlzgun0o_s2298:001974,G382_013,sol,PAINTED,LANE_LINE_LEFT_FAR,4,5421,"[[624,521],[1188,535],[1190,543],[619,530]]"
UCVSlzgun0o_s2298:001974,G382_013,sol,REGION,STANDS,7,455585,"[[0,0],[1920,0],[1920,271],[1390,264],[940,245],[510,213],[0,175]]"
UCVSlzgun0o_s2298:001974,G382_013,sol,REGION,LED,4,51148,"[[1404,313],[1920,342],[1920,441],[1395,408]]"
UCVSlzgun0o_s2298:001974,G382_013,sol,REGION,OTHER,5,193877,"[[0,184],[214,210],[374,292],[350,630],[0,880]]"
UCVSlzgun0o_s2298:001974,G382_013,sol,REGION,SCORE_BUG,4,109460,"[[540,905],[1381,905],[1381,1034],[540,1034]]"
UCVSlzgun0o_s2298:002922,G382_014,terra,REGION,STANDS,4,857280,"[[0,0],[1920,0],[1920,444],[0,447]]"
UCVSlzgun0o_s2298:002922,G382_014,terra,REGION,UNREADABLE,4,1215360,"[[0,447],[1920,447],[1920,1080],[0,1080]]"
UCVSlzgun0o_s2298:002922,G382_014,sol,PAINTED,BASELINE_LEFT,4,17361,"[[26,1071],[966,410],[975,418],[43,1080]]"
UCVSlzgun0o_s2298:002922,G382_014,sol,PAINTED,SIDELINE_FAR,4,11335,"[[982,410],[1920,477],[1920,488],[980,421]]"
UCVSlzgun0o_s2298:002922,G382_014,sol,PAINTED,LANE_LINE_LEFT_NEAR,4,9657,"[[500,771],[1447,840],[1441,849],[500,780]]"
UCVSlzgun0o_s2298:002922,G382_014,sol,PAINTED,LANE_LINE_LEFT_FAR,4,5254,"[[782,589],[1314,626],[1310,634],[776,598]]"
UCVSlzgun0o_s2298:002922,G382_014,sol,PAINTED,FREE_THROW_LINE_LEFT,4,1203,"[[1448,838],[1518,749],[1525,753],[1457,845]]"
UCVSlzgun0o_s2298:002922,G382_014,sol,REGION,STANDS,7,366420,"[[0,0],[1920,0],[1920,244],[1510,225],[1030,180],[530,155],[0,175]]"
UCVSlzgun0o_s2298:002922,G382_014,sol,REGION,OTHER,6,259581,"[[0,178],[251,185],[384,310],[373,676],[43,1058],[0,1058]]"
UCVSlzgun0o_s2298:002922,G382_014,sol,REGION,SCORE_BUG,4,106092,"[[540,907],[1381,907],[1381,1032],[540,1032]]"
UCVSlzgun0o_s2298:003909,G382_015,terra,REGION,STANDS,4,1270080,"[[0,0],[1920,0],[1920,660],[0,661]]"
UCVSlzgun0o_s2298:003909,G382_015,terra,REGION,SCORE_BUG,4,167076,"[[481,898],[1398,898],[1398,1080],[481,1080]]"
UCVSlzgun0o_s2298:003909,G382_015,sol,REGION,STANDS,4,322560,"[[0,0],[1920,0],[1920,167],[0,167]]"
UCVSlzgun0o_s2298:003909,G382_015,sol,REGION,OTHER,4,389136,"[[0,168],[527,168],[527,904],[0,904]]"
UCVSlzgun0o_s2298:003909,G382_015,sol,REGION,OTHER,4,401120,"[[531,168],[1075,168],[1075,903],[531,903]]"
UCVSlzgun0o_s2298:003909,G382_015,sol,REGION,OTHER,4,618240,"[[1080,168],[1919,168],[1919,903],[1080,903]]"
UCVSlzgun0o_s2298:003909,G382_015,sol,REGION,OTHER,4,94500,"[[0,905],[539,905],[539,1080],[0,1080]]"
UCVSlzgun0o_s2298:003909,G382_015,sol,REGION,OTHER,4,94150,"[[1382,905],[1920,905],[1920,1080],[1382,1080]]"
UCVSlzgun0o_s2298:003909,G382_015,sol,REGION,SCORE_BUG,4,109460,"[[540,905],[1381,905],[1381,1034],[540,1034]]"
UzaYBYy3GZg_s90:000042,G382_016,terra,PAINTED,FREE_THROW_LINE_RIGHT,4,2888,"[[1264,657],[1624,670],[1624,677],[1264,664]]"
UzaYBYy3GZg_s90:000042,G382_016,terra,PAINTED,LANE_LINE_RIGHT_NEAR,4,1080,"[[1264,514],[1271,514],[1271,648],[1264,648]]"
UzaYBYy3GZg_s90:000042,G382_016,terra,PAINTED,LANE_LINE_RIGHT_FAR,4,1690,"[[1631,448],[1638,449],[1628,658],[1621,657]]"
UzaYBYy3GZg_s90:000042,G382_016,terra,REGION,STANDS,9,746589,"[[0,0],[1920,0],[1920,414],[1709,402],[1488,380],[1158,364],[775,376],[405,394],[0,422]]"
UzaYBYy3GZg_s90:000042,G382_016,terra,REGION,LED,4,59428,"[[0,388],[715,370],[715,452],[0,470]]"
UzaYBYy3GZg_s90:000042,G382_016,terra,REGION,LED,4,31484,"[[1479,366],[1920,389],[1920,462],[1480,434]]"
UzaYBYy3GZg_s90:000042,G382_016,terra,REGION,SCORE_BUG,4,326340,"[[128,884],[1792,884],[1792,1080],[128,1080]]"
UzaYBYy3GZg_s90:000042,G382_016,sol,PAINTED,BASELINE_RIGHT,4,9525,"[[1280,307],[1920,703],[1920,716],[1271,316]]"
UzaYBYy3GZg_s90:000042,G382_016,sol,PAINTED,SIDELINE_FAR,4,2224,"[[1034,365],[1267,315],[1272,322],[1038,373]]"
UzaYBYy3GZg_s90:000042,G382_016,sol,PAINTED,FREE_THROW_LINE_RIGHT,4,1604,"[[1063,596],[995,743],[1003,747],[1071,600]]"
UzaYBYy3GZg_s90:000042,G382_016,sol,PAINTED,LANE_LINE_RIGHT_NEAR,4,3862,"[[580,718],[985,740],[984,748],[580,727]]"
UzaYBYy3GZg_s90:000042,G382_016,sol,PAINTED,LANE_LINE_RIGHT_FAR,4,4814,"[[973,539],[1509,480],[1512,488],[979,546]]"
UzaYBYy3GZg_s90:000042,G382_016,sol,PAINTED,CENTRE_LINE,4,2697,"[[32,812],[56,1080],[65,1080],[41,811]]"
UzaYBYy3GZg_s90:000042,G382_016,sol,REGION,STANDS,7,362182,"[[0,0],[1920,0],[1920,184],[1510,157],[1060,179],[570,203],[0,222]]"
UzaYBYy3GZg_s90:000042,G382_016,sol,REGION,LED,4,74910,"[[0,279],[680,260],[680,359],[0,398]]"
UzaYBYy3GZg_s90:000042,G382_016,sol,REGION,OTHER,4,120581,"[[0,582],[548,579],[568,785],[0,805]]"
UzaYBYy3GZg_s90:000042,G382_016,sol,REGION,SCORE_BUG,4,232686,"[[126,889],[1799,889],[1799,1027],[126,1027]]"
UzaYBYy3GZg_s90:001090,G382_017,terra,PAINTED,FREE_THROW_LINE_LEFT,4,2795,"[[510,677],[858,690],[857,697],[510,684]]"
UzaYBYy3GZg_s90:001090,G382_017,terra,PAINTED,LANE_LINE_LEFT_NEAR,4,1512,"[[501,480],[508,480],[510,668],[503,668]]"
UzaYBYy3GZg_s90:001090,G382_017,terra,PAINTED,LANE_LINE_LEFT_FAR,4,1816,"[[860,455],[867,456],[859,681],[852,680]]"
UzaYBYy3GZg_s90:001090,G382_017,terra,PAINTED,BASELINE_LEFT,4,5361,"[[0,949],[6,956],[444,580],[439,574]]"
UzaYBYy3GZg_s90:001090,G382_017,terra,REGION,STANDS,9,747225,"[[0,0],[1920,0],[1920,395],[1690,377],[1350,370],[980,364],[635,387],[304,411],[0,458]]"
UzaYBYy3GZg_s90:001090,G382_017,terra,REGION,LED,4,60363,"[[0,401],[705,376],[705,460],[0,486]]"
UzaYBYy3GZg_s90:001090,G382_017,terra,REGION,LED,4,51750,"[[1230,361],[1920,374],[1920,449],[1230,434]]"
UzaYBYy3GZg_s90:001090,G382_017,terra,REGION,SCORE_BUG,4,327320,"[[126,884],[1795,884],[1795,1080],[126,1080]]"
UzaYBYy3GZg_s90:001090,G382_017,sol,PAINTED,BASELINE_LEFT,4,12069,"[[0,963],[581,371],[590,378],[9,977]]"
UzaYBYy3GZg_s90:001090,G382_017,sol,PAINTED,SIDELINE_FAR,4,14642,"[[594,376],[1920,421],[1920,431],[592,386]]"
