clip,frame_index,g76_label
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,12672,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,13248,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,17088,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,20160,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,21120,NOT_PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,PAINT_SOLVABLE
wnba__wnba_01,3072,NOT_PAINT_SOLVABLE
wnba__wnba_01,6528,PAINT_SOLVABLE
wnba__wnba_01,8448,PAINT_SOLVABLE
wnba__wnba_01,8832,NOT_PAINT_SOLVABLE
wnba__wnba_01,11712,NOT_PAINT_SOLVABLE
wnba__wnba_01,11904,PAINT_SOLVABLE
wnba__wnba_01,13632,PAINT_SOLVABLE
wnba__wnba_01,16128,PAINT_SOLVABLE
wnba__wnba_01,17664,PAINT_SOLVABLE
wnba__wnba_01,23232,NOT_PAINT_SOLVABLE
wnba__wnba_01,23424,NOT_PAINT_SOLVABLE
wnba__wnba_01_1080p,360,PAINT_SOLVABLE
wnba__wnba_01_1080p,2640,PAINT_SOLVABLE
wnba__wnba_01_1080p,3360,NOT_PAINT_SOLVABLE
wnba__wnba_01_1080p,4080,PAINT_SOLVABLE
wnba__wnba_01_1080p,9600,PAINT_SOLVABLE
wnba__wnba_01_1080p,10560,NOT_PAINT_SOLVABLE
wnba__wnba_01_1080p,10920,NOT_PAINT_SOLVABLE
wnba__wnba_01_1080p,11640,PAINT_SOLVABLE
wnba__wnba_01_1080p,12720,PAINT_SOLVABLE
wnba__wnba_01_1080p,15360,NOT_PAINT_SOLVABLE
wnba__wnba_01_1080p,17280,PAINT_SOLVABLE
wnba__wnba_02,1152,NOT_PAINT_SOLVABLE
wnba__wnba_02,4416,PAINT_SOLVABLE
wnba__wnba_02,6336,PAINT_SOLVABLE
wnba__wnba_02,6912,NOT_PAINT_SOLVABLE
wnba__wnba_02,10176,NOT_PAINT_SOLVABLE
wnba__wnba_02,10752,PAINT_SOLVABLE
wnba__wnba_02,11520,PAINT_SOLVABLE
wnba__wnba_02,13824,NOT_PAINT_SOLVABLE
wnba__wnba_02,18624,PAINT_SOLVABLE
wnba__wnba_02,20736,PAINT_SOLVABLE
wnba__wnba_02,23616,NOT_PAINT_SOLVABLE
wnba__wnba_04,1920,PAINT_SOLVABLE
wnba__wnba_04,3648,PAINT_SOLVABLE
wnba__wnba_04,7680,NOT_PAINT_SOLVABLE
wnba__wnba_04,8064,NOT_PAINT_SOLVABLE
wnba__wnba_04,15168,PAINT_SOLVABLE
wnba__wnba_04,15360,PAINT_SOLVABLE
wnba__wnba_04,21696,NOT_PAINT_SOLVABLE
wnba__wnba_04,22464,NOT_PAINT_SOLVABLE
wnba__wnba_04,23424,PAINT_SOLVABLE
wnba__wnba_04,23616,NOT_PAINT_SOLVABLE
wnba__wnba_04,24768,PAINT_SOLVABLE
wnba__wnba_05,2304,PAINT_SOLVABLE
wnba__wnba_05,3648,NOT_PAINT_SOLVABLE
wnba__wnba_05,6912,PAINT_SOLVABLE
wnba__wnba_05,8640,NOT_PAINT_SOLVABLE
wnba__wnba_05,9024,PAINT_SOLVABLE
wnba__wnba_05,13056,NOT_PAINT_SOLVABLE
wnba__wnba_05,16128,NOT_PAINT_SOLVABLE
wnba__wnba_05,17280,PAINT_SOLVABLE
wnba__wnba_05,18816,NOT_PAINT_SOLVABLE
wnba__wnba_05,23424,PAINT_SOLVABLE
wnba__wnba_05,28608,PAINT_SOLVABLE
