control_id,control_set,seed,source_context,tile_index,offset_x,offset_y,background_tile,background_sha256,angle_degrees,x1,y1,x2,y2,length_px,image,image_sha256
G392_QUALIFICATION_019,qualification,392,G387_019,2,640,0,G387_019_tile2.png,240c30b754958dde4ac5c7d2fb330f213a1614fea65c27592261a6e1cbd0478d,30.0,676.807,207.810,884.653,327.810,240.000,G392_QUALIFICATION_019.png,fbca4b31b051de9dac80db8a146b9f81055152b3d1e6e929f42e9885df8817dd
G392_QUALIFICATION_020,qualification,392,G387_020,3,1280,0,G387_020_tile3.png,7165f1e49ce0d2c710626c760c0a65832b30b63df15e7856b7d0e2a17894c41a,60.0,1773.777,197.659,1893.777,405.505,240.000,G392_QUALIFICATION_020.png,d9433f8173333ca6c98c8935d8da8b19679818dc856d874025cd50e7972c6b55
G392_QUALIFICATION_021,qualification,392,G387_021,4,0,540,G387_021_tile4.png,7cd19675ea62f858aba9a3abff720349efe2f5abf214bab65c77356e54da7e3f,0.0,296.231,760.025,536.231,760.025,240.000,G392_QUALIFICATION_021.png,660ab8b1d02884e0eeeabdf0fed460859835ed9c7d7fe6972921d12540fbb36f
G392_QUALIFICATION_022,qualification,392,G387_022,5,640,540,G387_022_tile5.png,e14f7d2d52ee4977af341905e90da6abf5297328909b6a98a552c05e00479805,30.0,763.108,644.630,970.954,764.630,240.000,G392_QUALIFICATION_022.png,309ffa0c07aef1a9d36bfabd49647242d5ee825ba35d25a37de63e78588d631b
G392_QUALIFICATION_023,qualification,392,G387_023,6,1280,540,G387_023_tile6.png,d881d6d8de72fe5fe1e83b58172a9daf0eee59780e6041e68f7df41fe1fdc785,60.0,1606.780,712.817,1726.780,920.663,240.000,G392_QUALIFICATION_023.png,273b21b96323a19f748de36e54526d3e511d82785d244d3be4eb1c0edd6f313b
G392_QUALIFICATION_024,qualification,392,G387_024,1,0,0,G387_024_tile1.png,88a14496d83615de27e5bbfd2633cc0b0b27add31d1e04064db20c5517e0e30f,0.0,384.097,201.224,624.097,201.224,240.000,G392_QUALIFICATION_024.png,53290ef2c5660d85ff53a65a57c222131af722b83b8b11886434337b409ba41c
G392_QUALIFICATION_025,qualification,392,G387_025,2,640,0,G387_025_tile2.png,70d140781be9f9f2c7f49d2ac4965247b51631ae19822176d383735a444841d4,30.0,911.434,59.096,1119.280,179.096,240.000,G392_QUALIFICATION_025.png,4ba27f78ef164620c266faf628aba6a8b7293ace041ffbec2db509871a1f5ec3
G392_QUALIFICATION_026,qualification,392,G387_026,3,1280,0,G387_026_tile3.png,408028494348c8fb083b2b57337cf733e686a5a5819b654b1534f593a0721d34,60.0,1675.320,83.146,1795.320,290.992,240.000,G392_QUALIFICATION_026.png,7aee45709e7915bef2fd3af30b047ae7854a5472d7c441df92cac2efe454f169
G392_QUALIFICATION_027,qualification,392,G387_027,4,0,540,G387_027_tile4.png,aeba33d2f87b72d911f6d3c421f406fc0808432d88b31c81fa1c492eada9652f,0.0,339.226,673.860,579.226,673.860,240.000,G392_QUALIFICATION_027.png,360fe03e122f9de884fc239bdf6dbfecdfa3207d94aebab3aef231fa80ab219c
G392_QUALIFICATION_028,qualification,392,G387_028,5,640,540,G387_028_tile5.png,496df89aff0d3d4f40f990b1c15c4267ad53d2bdc40edfd196eb8a1d79f1f0c2,30.0,950.816,906.007,1158.662,1026.007,240.000,G392_QUALIFICATION_028.png,5f70b4446a4688d9477179bc8d54efc9560521861aab2cf01b5fd2e74691f679
G392_QUALIFICATION_029,qualification,392,G387_029,6,1280,540,G387_029_tile6.png,7a3c896f47b80296bf98fe5d1c36f9c29def67d72bec4d52764426910221d5f5,60.0,1492.137,659.771,1612.137,867.617,240.000,G392_QUALIFICATION_029.png,f12432962292a2813573795925c975cd1e97349ebabb5e06295e0d3c501dbbeb
G392_QUALIFICATION_030,qualification,392,G387_030,1,0,0,G387_030_tile1.png,101c6bf89931cf3afec18e431cdc00cb5010a2c5df013741e073d1466efb749f,0.0,45.312,251.550,285.312,251.550,240.000,G392_QUALIFICATION_030.png,b7878972ab8036c55f6dceee064cd05d870451a0e3edce05777276405437a514
