clip,slot,source_frame,render,visible_count,visible_landmarks_or_family,basis
soccer__soccer_cKXZysISV4w.mp4,3,3323,renders/soccer__soccer_cKXZysISV4w_f003323.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_cKXZysISV4w.mp4,4,4690,renders/soccer__soccer_cKXZysISV4w_f004690.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_cKXZysISV4w.mp4,5,6455,renders/soccer__soccer_cKXZysISV4w_f006455.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_cKXZysISV4w.mp4,6,8565,renders/soccer__soccer_cKXZysISV4w_f008565.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_cKXZysISV4w.mp4,7,9655,renders/soccer__soccer_cKXZysISV4w_f009655.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_cKXZysISV4w.mp4,8,11150,renders/soccer__soccer_cKXZysISV4w_f011150.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_cKXZysISV4w.mp4,9,12517,renders/soccer__soccer_cKXZysISV4w_f012517.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_cKXZysISV4w.mp4,10,13364,renders/soccer__soccer_cKXZysISV4w_f013364.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_cKXZysISV4w.mp4,11,15084,renders/soccer__soccer_cKXZysISV4w_f015084.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_cKXZysISV4w.mp4,12,16439,renders/soccer__soccer_cKXZysISV4w_f016439.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_cKXZysISV4w.mp4,13,18632,renders/soccer__soccer_cKXZysISV4w_f018632.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_cKXZysISV4w.mp4,14,19204,renders/soccer__soccer_cKXZysISV4w_f019204.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_cKXZysISV4w.mp4,15,21559,renders/soccer__soccer_cKXZysISV4w_f021559.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_cKXZysISV4w.mp4,16,21876,renders/soccer__soccer_cKXZysISV4w_f021876.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_cKXZysISV4w.mp4,17,24230,renders/soccer__soccer_cKXZysISV4w_f024230.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_cKXZysISV4w.mp4,18,24977,renders/soccer__soccer_cKXZysISV4w_f024977.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_cKXZysISV4w.mp4,19,27500,renders/soccer__soccer_cKXZysISV4w_f027500.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_cKXZysISV4w.mp4,20,28814,renders/soccer__soccer_cKXZysISV4w_f028814.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_DdnvC6-PGYY.mp4,1,390,renders/soccer__soccer_DdnvC6-PGYY_f000390.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_DdnvC6-PGYY.mp4,2,1801,renders/soccer__soccer_DdnvC6-PGYY_f001801.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_DdnvC6-PGYY.mp4,3,3909,renders/soccer__soccer_DdnvC6-PGYY_f003909.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_DdnvC6-PGYY.mp4,4,5212,renders/soccer__soccer_DdnvC6-PGYY_f005212.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_DdnvC6-PGYY.mp4,5,6954,renders/soccer__soccer_DdnvC6-PGYY_f006954.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_DdnvC6-PGYY.mp4,6,8521,renders/soccer__soccer_DdnvC6-PGYY_f008521.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_DdnvC6-PGYY.mp4,7,9162,renders/soccer__soccer_DdnvC6-PGYY_f009162.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_DdnvC6-PGYY.mp4,8,10233,renders/soccer__soccer_DdnvC6-PGYY_f010233.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_DdnvC6-PGYY.mp4,9,12931,renders/soccer__soccer_DdnvC6-PGYY_f012931.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_DdnvC6-PGYY.mp4,10,13616,renders/soccer__soccer_DdnvC6-PGYY_f013616.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_DdnvC6-PGYY.mp4,11,15668,renders/soccer__soccer_DdnvC6-PGYY_f015668.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_DdnvC6-PGYY.mp4,12,16923,renders/soccer__soccer_DdnvC6-PGYY_f016923.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_DdnvC6-PGYY.mp4,13,17843,renders/soccer__soccer_DdnvC6-PGYY_f017843.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_DdnvC6-PGYY.mp4,14,19179,renders/soccer__soccer_DdnvC6-PGYY_f019179.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_DdnvC6-PGYY.mp4,15,20345,renders/soccer__soccer_DdnvC6-PGYY_f020345.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_DdnvC6-PGYY.mp4,16,21794,renders/soccer__soccer_DdnvC6-PGYY_f021794.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_DdnvC6-PGYY.mp4,17,24157,renders/soccer__soccer_DdnvC6-PGYY_f024157.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_DdnvC6-PGYY.mp4,18,25469,renders/soccer__soccer_DdnvC6-PGYY_f025469.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_DdnvC6-PGYY.mp4,19,26313,renders/soccer__soccer_DdnvC6-PGYY_f026313.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_DdnvC6-PGYY.mp4,20,27821,renders/soccer__soccer_DdnvC6-PGYY_f027821.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_EKhrdU9bVZA.mp4,1,1065,renders/soccer__soccer_EKhrdU9bVZA_f001065.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_EKhrdU9bVZA.mp4,2,2165,renders/soccer__soccer_EKhrdU9bVZA_f002165.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_EKhrdU9bVZA.mp4,3,3107,renders/soccer__soccer_EKhrdU9bVZA_f003107.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_EKhrdU9bVZA.mp4,4,5154,renders/soccer__soccer_EKhrdU9bVZA_f005154.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_EKhrdU9bVZA.mp4,5,6084,renders/soccer__soccer_EKhrdU9bVZA_f006084.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_EKhrdU9bVZA.mp4,6,7319,renders/soccer__soccer_EKhrdU9bVZA_f007319.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_EKhrdU9bVZA.mp4,7,8804,renders/soccer__soccer_EKhrdU9bVZA_f008804.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_EKhrdU9bVZA.mp4,8,10131,renders/soccer__soccer_EKhrdU9bVZA_f010131.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_EKhrdU9bVZA.mp4,9,11568,renders/soccer__soccer_EKhrdU9bVZA_f011568.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_EKhrdU9bVZA.mp4,10,13143,renders/soccer__soccer_EKhrdU9bVZA_f013143.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_EKhrdU9bVZA.mp4,11,15698,renders/soccer__soccer_EKhrdU9bVZA_f015698.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_EKhrdU9bVZA.mp4,12,16410,renders/soccer__soccer_EKhrdU9bVZA_f016410.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_EKhrdU9bVZA.mp4,13,18171,renders/soccer__soccer_EKhrdU9bVZA_f018171.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_EKhrdU9bVZA.mp4,14,19919,renders/soccer__soccer_EKhrdU9bVZA_f019919.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_EKhrdU9bVZA.mp4,15,21183,renders/soccer__soccer_EKhrdU9bVZA_f021183.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_EKhrdU9bVZA.mp4,16,22918,renders/soccer__soccer_EKhrdU9bVZA_f022918.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_EKhrdU9bVZA.mp4,17,23567,renders/soccer__soccer_EKhrdU9bVZA_f023567.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_EKhrdU9bVZA.mp4,18,25181,renders/soccer__soccer_EKhrdU9bVZA_f025181.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_EKhrdU9bVZA.mp4,19,26789,renders/soccer__soccer_EKhrdU9bVZA_f026789.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_EKhrdU9bVZA.mp4,20,28400,renders/soccer__soccer_EKhrdU9bVZA_f028400.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,1,197,renders/soccer__soccer_kSgNjoaqCpI_1080p_f000197.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,2,1725,renders/soccer__soccer_kSgNjoaqCpI_1080p_f001725.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,3,2457,renders/soccer__soccer_kSgNjoaqCpI_1080p_f002457.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,4,2911,renders/soccer__soccer_kSgNjoaqCpI_1080p_f002911.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,5,4084,renders/soccer__soccer_kSgNjoaqCpI_1080p_f004084.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,6,4600,renders/soccer__soccer_kSgNjoaqCpI_1080p_f004600.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,7,6095,renders/soccer__soccer_kSgNjoaqCpI_1080p_f006095.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,8,7095,renders/soccer__soccer_kSgNjoaqCpI_1080p_f007095.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,9,7425,renders/soccer__soccer_kSgNjoaqCpI_1080p_f007425.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,10,8477,renders/soccer__soccer_kSgNjoaqCpI_1080p_f008477.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,11,9485,renders/soccer__soccer_kSgNjoaqCpI_1080p_f009485.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,12,10419,renders/soccer__soccer_kSgNjoaqCpI_1080p_f010419.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,13,11135,renders/soccer__soccer_kSgNjoaqCpI_1080p_f011135.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,14,12540,renders/soccer__soccer_kSgNjoaqCpI_1080p_f012540.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,15,13114,renders/soccer__soccer_kSgNjoaqCpI_1080p_f013114.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,16,14432,renders/soccer__soccer_kSgNjoaqCpI_1080p_f014432.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,17,15377,renders/soccer__soccer_kSgNjoaqCpI_1080p_f015377.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,18,15780,renders/soccer__soccer_kSgNjoaqCpI_1080p_f015780.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,19,17174,renders/soccer__soccer_kSgNjoaqCpI_1080p_f017174.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_kSgNjoaqCpI_1080p.mp4,20,17263,renders/soccer__soccer_kSgNjoaqCpI_1080p_f017263.jpg,0,,fewer than three canonical landmarks visibly discernible
