frame_key,section,game,cache,call,reference,terra,sol,adjudicator,left_mass,right_mass,outcome
1bc50baa19d06bb6b47af908d7f41edbfd0c05f5cf4091bd34c51a6e46096619,ncaa_basketball__wJSOHbeQcg4_s4515,ncaa_basketball__wJSOHbeQcg4,1bc50baa19d06bb6.jpg,RIGHT,left,left,left,,1250.8843,11649.7014,wrong
1cdb5a09a5ac17108dc201017f12f235b6f8af82da5aca62de2c217cd82d50cb,ncaa_basketball__EqseleqhpTk_s5375,ncaa_basketball__EqseleqhpTk,1cdb5a09a5ac1710.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
1e15bc4afd06e5348c8ee7577d90ea779b70fd542dcbb1e518c5f6ac0657b374,basketball__fiba--x4DRmtYn4Q_s7035,basketball__fiba--x4DRmtYn4Q,1e15bc4afd06e534.jpg,UNKNOWN,unknown,unknown,unknown,,0,1761.9115,reference_unknown
1e5d0b65c981b79a0a4a1df7041d32f2237ca2c83e9de8b0211a010f850078e9,ncaa_basketball__QXFM3hlaDAk_s2725,ncaa_basketball__QXFM3hlaDAk,1e5d0b65c981b79a.jpg,LEFT,right,right,right,,28636.9732,4332.0311,wrong
1f50368ad0497fa3b66eff39a27ecceca38bd382c3fb2e7ca02e979bfa53ed6f,ncaa_basketball__WeheQidCPXI_s155,ncaa_basketball__WeheQidCPXI,1f50368ad0497fa3.jpg,LEFT,left,left,right,left,31693.5018,14751.9133,correct
219fd356ef25ac47d7b7f2b4a87ee6589c91cdc92d004bbcf67437ca541033eb,ncaa_basketball__WeheQidCPXI_s155,ncaa_basketball__WeheQidCPXI,219fd356ef25ac47.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
23415e2824a34685adedc7f4f39655fbcd1ef6daea0ca6cb0106ce7f0cf241fa,basketball__fiba--x4DRmtYn4Q_s1531,basketball__fiba--x4DRmtYn4Q,23415e2824a34685.jpg,LEFT,left,left,left,,34347.4597,19264.8513,correct
23bc70e86c6d01bd12e4f54d5731f1814e57680e20a740115f4bfd1548a8559d,wnba__G8bPOW37Sp0_s615,wnba__G8bPOW37Sp0,23bc70e86c6d01bd.jpg,LEFT,unknown,unknown,unknown,,19506.5095,0,reference_unknown
23e0f679a19da4d164f428b08794b92eb9c94d3716f005a8c7209b1a1f150f15,ncaa_basketball__UzaYBYy3GZg_s5307,ncaa_basketball__UzaYBYy3GZg,23e0f679a19da4d1.jpg,RIGHT,right,right,right,,769.9307,7581.5493,correct
250d0967d41779f6cbc4c8cb056bec6ffbf28c633a59610a1b4b20fe03cf1480,ncaa_basketball__0KIBu1jQBL8_s155,ncaa_basketball__0KIBu1jQBL8,250d0967d41779f6.jpg,UNKNOWN,right,right,right,,0.0,0.0,cue_unknown
25e9d51f70607451fa68ec0a6c8d6bb94aa35455572f23a86a16c0bbc91d755a,ncaa_basketball__WeheQidCPXI_s155,ncaa_basketball__WeheQidCPXI,25e9d51f70607451.jpg,RIGHT,right,right,right,,0,7428.8729,correct
2695924522181e27eeb8cf849470d1187baa9a5ed760d1a21542b6ef6083739c,wnba__G8bPOW37Sp0_s615,wnba__G8bPOW37Sp0,2695924522181e27.jpg,LEFT,unknown,unknown,unknown,,18633.9065,1040.3142,reference_unknown
26b3985a3bc7683158b4cd64415fbec0f0d94eed0320af46f5b9d2c06ad7d808,wnba__1E5Rw89keTg_s377,wnba__1E5Rw89keTg,26b3985a3bc76831.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
27bb68df500d951c016f194c86ed50fc75f65c254efaac5aca58d4a7fab662db,nba__RIrGQJ_jsGQ_s155,nba__RIrGQJ_jsGQ,27bb68df500d951c.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
28a758f465b395d70454ae431560c3f5825d3c295230899df96077596ba6c6f2,ncaa_basketball__WeheQidCPXI_s155,ncaa_basketball__WeheQidCPXI,28a758f465b395d7.jpg,UNKNOWN,unknown,unknown,unknown,,0,1378.7673,reference_unknown
292902b351eeada4d430bb7a7c21c445fa413d8828a7341bfde3611504b415c2,nba__XCaGht2GmPg_s2807,nba__XCaGht2GmPg,292902b351eeada4.jpg,RIGHT,unknown,unknown,unknown,,0,2023.2456,reference_unknown
292ced497d88a7ba93d5be7e12a22f4d37bfb82a35fe3135307d667aa308f878,nba__RIrGQJ_jsGQ_s155,nba__RIrGQJ_jsGQ,292ced497d88a7ba.jpg,LEFT,unknown,unknown,unknown,,52100.2354,39581.8871,reference_unknown
2cee81369b0bad35694f23b3ad0637347de1cbf277309fee4c2bf3bf57e1471c,basketball__fiba-Y1cgaIWW8gk_s1502,basketball__fiba-Y1cgaIWW8gk,2cee81369b0bad35.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
2db343164c2f852ef938796103a48561e3a2836c277460aba03fc89c116b6c10,basketball__fiba--x4DRmtYn4Q_s7035,basketball__fiba--x4DRmtYn4Q,2db343164c2f852e.jpg,UNKNOWN,unknown,right,unknown,unknown,0.0,0.0,reference_unknown
2e869692fc3f6820b75ee9a9f7f8fb712ded796f133d64a68c35d98af55d6a65,ncaa_basketball__GNjSxoeDT-E_s1232,ncaa_basketball__GNjSxoeDT-E,2e869692fc3f6820.jpg,RIGHT,left,left,left,,1858.442,4465.0237,wrong
2eecc05c7b90ab756f885764efe0188e7bf50abbc27857ccb2e141b0863d758b,ncaa_basketball__UzaYBYy3GZg_s5307,ncaa_basketball__UzaYBYy3GZg,2eecc05c7b90ab75.jpg,RIGHT,unknown,unknown,unknown,,0,4188.0414,reference_unknown
2f60d3752c396ac4ef8dec8b3a4c842d66ae155a694c86f1e2c0fd83da7504cc,ncaa_basketball__wJSOHbeQcg4_s4515,ncaa_basketball__wJSOHbeQcg4,2f60d3752c396ac4.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
3251f21fbf37767db8413ece85e574d377443d6c44d233ddb7f9f031f719442f,ncaa_basketball__WeheQidCPXI_s155,ncaa_basketball__WeheQidCPXI,3251f21fbf37767d.jpg,LEFT,left,left,left,,8298.7837,4651.7072,correct
3268adcd17fe9f0d5820a61ed6441b96b34a8f3721e21231b681ef738a542093,ncaa_basketball__QXFM3hlaDAk_s2725,ncaa_basketball__QXFM3hlaDAk,3268adcd17fe9f0d.jpg,RIGHT,unknown,unknown,unknown,,51482.94,72718.767,reference_unknown
3283c064e054df0e452bcaaf3f0310528b13a414cedd50b62a8b406f8e442ee5,basketball__fiba-Y1cgaIWW8gk_s1502,basketball__fiba-Y1cgaIWW8gk,3283c064e054df0e.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
336332efc4059aa7a6545e31c6d86954313c9233d397dde819492632ed91384c,wnba__1E5Rw89keTg_s377,wnba__1E5Rw89keTg,336332efc4059aa7.jpg,RIGHT,right,unknown,right,right,2806.8461,3386.268,correct
34b4c9207586d28609f3187de26a0171d4e46b7a67519d66c590971bd4b73a36,wnba__1E5Rw89keTg_s377,wnba__1E5Rw89keTg,34b4c9207586d286.jpg,LEFT,unknown,unknown,unknown,,42633.2288,7352.3161,reference_unknown
34c9b2210829de2cfb369be3ea2292ac5729ae7a0961980c1fc36b2970e1d419,ncaa_basketball__GNjSxoeDT-E_s1232,ncaa_basketball__GNjSxoeDT-E,34c9b2210829de2c.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
34ebe101198d0b4bfa1b73e180aa073ea2484d1fde2a4b01967b9c44c302baad,ncaa_basketball__GNjSxoeDT-E_s1232,ncaa_basketball__GNjSxoeDT-E,34ebe101198d0b4b.jpg,LEFT,left,left,left,,14380.0027,0,correct
35519ecfc3d25ab53dfba3fb54a887c1d6750e94a43186a6c31fcb6292cc1045,wnba__1E5Rw89keTg_s377,wnba__1E5Rw89keTg,35519ecfc3d25ab5.jpg,LEFT,unknown,unknown,unknown,,26737.517,7067.4418,reference_unknown
35c1c885387f6f1e105d0f083102397f571b53a4e378a476b8866f5af08f858a,basketball__fiba-Byk8aH-n_U4_s1491,basketball__fiba-Byk8aH-n_U4,35c1c885387f6f1e.jpg,RIGHT,right,right,right,,6685.2838,13004.2586,correct
3654490efe7f9956bdb73d8ed31e25c43db0930544c67efa56d17eff5422c3e3,ncaa_basketball__EqseleqhpTk_s5375,ncaa_basketball__EqseleqhpTk,3654490efe7f9956.jpg,UNKNOWN,left,left,left,,0.0,0.0,cue_unknown
39ce14f29fbb3de96058289c5eaf991ea8570ad13584c8b66c20f46c6bc6052b,ncaa_basketball__QXFM3hlaDAk_s2725,ncaa_basketball__QXFM3hlaDAk,39ce14f29fbb3de9.jpg,RIGHT,right,left,right,right,0,10633.9694,correct
3c991c919e932762eb6ae9b907dd7591674f3e36a1c20ba80fdf2035f2c90beb,ncaa_basketball__wJSOHbeQcg4_s4515,ncaa_basketball__wJSOHbeQcg4,3c991c919e932762.jpg,RIGHT,right,right,right,,0,65268.0746,correct
3cef6498efb83fec96d4c702f9a56fbb0a59f15404465676b0c2466c343da438,ncaa_basketball__WeheQidCPXI_s5351,ncaa_basketball__WeheQidCPXI,3cef6498efb83fec.jpg,LEFT,left,left,right,left,14763.0951,0,correct
3e11ba54e690cfa55867020b38e341eb566aa7979ce49c1f5a357a2e05cb1cc8,basketball__fiba--x4DRmtYn4Q_s1531,basketball__fiba--x4DRmtYn4Q,3e11ba54e690cfa5.jpg,LEFT,unknown,unknown,unknown,,176682.395,2700.0931,reference_unknown
3f25dd238deb74008d3ca83e3765f5f48fa2b5fc17631880434c54648579b0f4,ncaa_basketball__EqseleqhpTk_s5375,ncaa_basketball__EqseleqhpTk,3f25dd238deb7400.jpg,UNKNOWN,unknown,unknown,unknown,,0,761.0534,reference_unknown
41bfca0782983877730beff671ceabf096c91d165a79b2944f4614503c114513,ncaa_basketball__UzaYBYy3GZg_s2731,ncaa_basketball__UzaYBYy3GZg,41bfca0782983877.jpg,RIGHT,left,left,left,,4431.7151,8833.5968,wrong
4259a2a43fdb2b1b9f593a7664be8a4fbdcc26df050d86ff490cdbfbd5a8981f,basketball__fiba-Byk8aH-n_U4_s1491,basketball__fiba-Byk8aH-n_U4,4259a2a43fdb2b1b.jpg,RIGHT,left,left,left,,2917.5582,7698.5101,wrong
426b0605043806482f806e81ca6c26aa4403ba878dc7a0cd5fcb21a12aa6c310,basketball__fiba-Y1cgaIWW8gk_s1502,basketball__fiba-Y1cgaIWW8gk,426b060504380648.jpg,RIGHT,right,right,right,,8456.1765,71130.8752,correct
482842b0ff8e878b1e3add3a4c836853d4f50f97f1a7ed47de3f3d2171c308c8,nba__XCaGht2GmPg_s2807,nba__XCaGht2GmPg,482842b0ff8e878b.jpg,RIGHT,right,right,right,,0,51960.6033,correct
48507334822e40e38a852e32b24413453ff9000eaa8eab2854d75c453878f99b,basketball__fiba-Y1cgaIWW8gk_s5543,basketball__fiba-Y1cgaIWW8gk,48507334822e40e3.jpg,LEFT,right,right,left,right,31635.5534,2947.931,wrong
4943432963937783bba92b2b199c28dd86e7b7224b837af65a529fa8458d089e,wnba__1E5Rw89keTg_s377,wnba__1E5Rw89keTg,4943432963937783.jpg,RIGHT,right,right,right,,0,38744.8674,correct
49ad6470b1dbcd966322a575041061d7123cf7145bc0929b31c5bb02416e3bda,ncaa_basketball__EqseleqhpTk_s5375,ncaa_basketball__EqseleqhpTk,49ad6470b1dbcd96.jpg,RIGHT,left,left,left,,4314.9739,9664.9107,wrong
49bec729173b9209520e834cc6fcc385cbacc36b87e703b9e60da5cfe2cab594,basketball__fiba--x4DRmtYn4Q_s1531,basketball__fiba--x4DRmtYn4Q,49bec729173b9209.jpg,RIGHT,unknown,unknown,unknown,,0,26039.941,reference_unknown
4cc9c65260a6f0228c548f9b65f229e955e8b4eea2ddd79350704d778bd2b827,basketball__fiba--x4DRmtYn4Q_s7035,basketball__fiba--x4DRmtYn4Q,4cc9c65260a6f022.jpg,RIGHT,right,right,right,,0,3274.2688,correct
4d734a16a3dfaf135ac444726bdf1b9d9af0541c69928e7a69cefbde37f6e325,nba__XCaGht2GmPg_s2807,nba__XCaGht2GmPg,4d734a16a3dfaf13.jpg,LEFT,right,right,left,right,5421.7253,4659.9075,wrong
4d93dc2e26c421f204c870a97c087a3a63c31314ae4175908ca616f85012c389,basketball__fiba--x4DRmtYn4Q_s1531,basketball__fiba--x4DRmtYn4Q,4d93dc2e26c421f2.jpg,UNKNOWN,right,right,right,,21369.5105,19647.1749,cue_unknown
500c70368c011e5b89e452a476876bb943a8e8007b5987ce242902cb9be2d474,ncaa_basketball__WeheQidCPXI_s5351,ncaa_basketball__WeheQidCPXI,500c70368c011e5b.jpg,RIGHT,unknown,unknown,unknown,,0,2537.7059,reference_unknown
51e56d20dc5f87140b0342812f1aa3cbfd634824d05612503c10bc86642c1454,basketball__fiba-Y1cgaIWW8gk_s5543,basketball__fiba-Y1cgaIWW8gk,51e56d20dc5f8714.jpg,UNKNOWN,unknown,unknown,unknown,,21877.9274,23900.8596,reference_unknown
532c51e1616b3c5b390bc792cebef34c52a40cc9fcc413a0b49c718711db7f6c,ncaa_basketball__UzaYBYy3GZg_s5307,ncaa_basketball__UzaYBYy3GZg,532c51e1616b3c5b.jpg,RIGHT,unknown,unknown,unknown,,0,6412.191,reference_unknown
54c9093e5e3098efd6f00754f5f3d3cb936705d690e8eeaf06a7bd0cf5187e52,ncaa_basketball__UzaYBYy3GZg_s2731,ncaa_basketball__UzaYBYy3GZg,54c9093e5e3098ef.jpg,UNKNOWN,right,right,right,,13695.0214,15567.1599,cue_unknown
556b9b9ee653a607c14ec4480d68f895a9302d7912f15885060c364c0971469a,ncaa_basketball__WeheQidCPXI_s5351,ncaa_basketball__WeheQidCPXI,556b9b9ee653a607.jpg,LEFT,right,right,right,,47599.3213,35623.8517,wrong
5855770e7876172157c1b409d5a449dd12fb936ccc6f599def06b7ef624e12c8,basketball__fiba--x4DRmtYn4Q_s1531,basketball__fiba--x4DRmtYn4Q,5855770e78761721.jpg,UNKNOWN,right,right,right,,0.0,0.0,cue_unknown
5968ab1b7461244c46e6f2f8a4cefb915de7b419e81cf72464c8093305d87747,ncaa_basketball__WeheQidCPXI_s5351,ncaa_basketball__WeheQidCPXI,5968ab1b7461244c.jpg,RIGHT,right,right,right,,0,3749.2445,correct
59add1c65929ea4bde538703ff5fe054e29a2ec28cf0d461b29a89ebe9a3a95a,ncaa_basketball__WeheQidCPXI_s5351,ncaa_basketball__WeheQidCPXI,59add1c65929ea4b.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
59d1eff9c68fcb2bb7432c9a5e1b69e944e72429dbc9c2b560e70770189c1495,basketball__fiba--x4DRmtYn4Q_s1531,basketball__fiba--x4DRmtYn4Q,59d1eff9c68fcb2b.jpg,RIGHT,right,right,right,,6462.8031,17597.9827,correct
5c3a4c9d658aeffd5d70490400320b99bbd7fbdb6984bef2c43434b7c933f06d,wnba__1E5Rw89keTg_s377,wnba__1E5Rw89keTg,5c3a4c9d658aeffd.jpg,RIGHT,right,left,right,right,3220.9573,12643.349,correct
5d30c7e1b35b7914bdcddb0ad8fc037cc1d705d2a33afec799f9fc36694163ed,ncaa_basketball__0KIBu1jQBL8_s155,ncaa_basketball__0KIBu1jQBL8,5d30c7e1b35b7914.jpg,RIGHT,unknown,unknown,unknown,,0,15687.0165,reference_unknown
5db5e7b1ef06bb7eee6caac1fe51b3d73c0cebcae64b3a065d59e58a3dfecb45,ncaa_basketball__wJSOHbeQcg4_s4515,ncaa_basketball__wJSOHbeQcg4,5db5e7b1ef06bb7e.jpg,RIGHT,right,right,right,,549.3519,6272.9945,correct
5f788500555e1cecdd11274036094744f6c4c9feb8e55746deff235856488d5c,ncaa_basketball__wJSOHbeQcg4_s4515,ncaa_basketball__wJSOHbeQcg4,5f788500555e1cec.jpg,LEFT,right,right,right,,8649.6116,5053.2051,wrong
5f846e13af1a01ed6222b5d4b945ffb741d02994116f959e0c774688b89ff560,nba__XCaGht2GmPg_s2807,nba__XCaGht2GmPg,5f846e13af1a01ed.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
609d9b5c2da5fb25ff316f226a823c2ac23d1b7f1fa71ae503f7daad1b8f2539,basketball__fiba-Y1cgaIWW8gk_s5543,basketball__fiba-Y1cgaIWW8gk,609d9b5c2da5fb25.jpg,RIGHT,left,left,left,,30032.774,79324.7897,wrong
616b80f598b9a6438d4fe92ecdac609677bd42460c224e9eee8ff050b90ae22c,nba__RIrGQJ_jsGQ_s155,nba__RIrGQJ_jsGQ,616b80f598b9a643.jpg,RIGHT,unknown,unknown,unknown,,62226.3519,133971.0827,reference_unknown
62510fb9a533c421f75de2f05d02135461645a4420cea4585c9b9f2bb830eb24,ncaa_basketball__EqseleqhpTk_s5375,ncaa_basketball__EqseleqhpTk,62510fb9a533c421.jpg,UNKNOWN,unknown,unknown,unknown,,0,470.4304,reference_unknown
6454223952c894490d97f4606af34cc4659e79ec4f38dd72db040813a56ff16f,ncaa_basketball__WeheQidCPXI_s155,ncaa_basketball__WeheQidCPXI,6454223952c89449.jpg,UNKNOWN,right,right,right,,0,625.4746,cue_unknown
6485516f90f3b0d90ec831c44ecfbc326432c116e61e9482e990c549572c85f1,basketball__fiba-7HQqWMaKxpA_s155,basketball__fiba-7HQqWMaKxpA,6485516f90f3b0d9.jpg,RIGHT,left,unknown,left,left,11549.3373,21176.8597,wrong
6506c5870a879650bb88c9d21532ca919bf8f5daea0acf41a4f56840c6ff0894,wnba__G8bPOW37Sp0_s615,wnba__G8bPOW37Sp0,6506c5870a879650.jpg,UNKNOWN,unknown,unknown,unknown,,0,1369.371,reference_unknown
652ea6fefe09583c2c4f5ab6059fa5be60a97fc6d96e7ba5ff38c89fdda0d6fb,ncaa_basketball__WeheQidCPXI_s5351,ncaa_basketball__WeheQidCPXI,652ea6fefe09583c.jpg,UNKNOWN,unknown,unknown,unknown,,0.0,0.0,reference_unknown
65ef97e6c6977a2c3d8b775bbca7019c40f027661d6fbcd701b3d7efe8a25ad3,ncaa_basketball__EqseleqhpTk_s5375,ncaa_basketball__EqseleqhpTk,65ef97e6c6977a2c.jpg,UNKNOWN,left,left,left,,0,1694.9327,cue_unknown
67a3ac37fc44af12ccf123390494227b16a0876d67a16bfb36a24b38c4a6284b,ncaa_basketball__WeheQidCPXI_s155,ncaa_basketball__WeheQidCPXI,67a3ac37fc44af12.jpg,LEFT,unknown,unknown,unknown,,7992.6329,5774.7381,reference_unknown
684e54a291f330a32d2ea2340f97dba95e5ff3d40c66811a56c22d48997e1982,basketball__fiba--x4DRmtYn4Q_s1531,basketball__fiba--x4DRmtYn4Q,684e54a291f330a3.jpg,LEFT,right,right,right,,13886.1378,8914.1928,wrong
69b981f2be3460c4ed8f760cc259c683e45c0c2fb03cddf35c9e7e88a5dbdd72,ncaa_basketball__UzaYBYy3GZg_s2731,ncaa_basketball__UzaYBYy3GZg,69b981f2be3460c4.jpg,LEFT,left,left,left,,7328.1291,4490.3392,correct
6c6574f653811561589847d1c713379e223cf4ba438f0b3f2b8a2cd6866862fc,basketball__fiba-Y1cgaIWW8gk_s1502,basketball__fiba-Y1cgaIWW8gk,6c6574f653811561.jpg,UNKNOWN,left,right,left,left,1781.774,0,cue_unknown
6c7b7ca80d8adbd9cbd912b4d33c1f0644646a44941f8d13d73f01405d6aa84d,nba__RIrGQJ_jsGQ_s155,nba__RIrGQJ_jsGQ,6c7b7ca80d8adbd9.jpg,LEFT,unknown,unknown,unknown,,17993.7986,0,reference_unknown
6e76532a9c804ef1fa4882efed38e9ad84468b2b9b4a4c19895c1a163e25cef3,basketball__fiba-Y1cgaIWW8gk_s1502,basketball__fiba-Y1cgaIWW8gk,6e76532a9c804ef1.jpg,UNKNOWN,right,right,right,,0.0,0.0,cue_unknown
6e963beef9471f2c04571b8c5f94daca555de1f0c82d3d34619bed884df118fe,ncaa_basketball__WeheQidCPXI_s5351,ncaa_basketball__WeheQidCPXI,6e963beef9471f2c.jpg,LEFT,unknown,unknown,left,unknown,12724.695,1202.4464,reference_unknown
