source_name,sha256,bytes,game_id,video
nba__3MBv6PIsCBg_s1293.mp4,e9e465930d69ce04389f86cf0a035f3452ad7cdb85d0a6f678ce571599846263,95626450,3MBv6PIsCBg_s1293,3MBv6PIsCBg
nba__3MBv6PIsCBg_s3699.mp4,7a36f3c87e54364419455575451c59d5b488aede3286924ad2d3be9f288fcb69,79356189,3MBv6PIsCBg_s3699,3MBv6PIsCBg
nba__IeaneIKx1Ig_s11025.mp4,c7c8a04407a475d102de8f0c8839734f9d1bf97d50a7cd17b46249d8b6ac9d99,82139114,IeaneIKx1Ig_s11025,IeaneIKx1Ig
nba__IeaneIKx1Ig_s4464.mp4,15380ad68bda3fa2537884177fffe9e629693a0578c2ec9fc54bb2f490eb1094,79162595,IeaneIKx1Ig_s4464,IeaneIKx1Ig
nba__IeaneIKx1Ig_s6651.mp4,4627150caa8a36571244fe3c2cca35196ee011a104db580005dc1b2cf96b23ce,87853287,IeaneIKx1Ig_s6651,IeaneIKx1Ig
nba__IeaneIKx1Ig_s90.mp4,0f27b9e4e0ec7ed78c556bddac0f793dc61f270b9ca67ada293e301c1a88c1c5,81165805,IeaneIKx1Ig_s90,IeaneIKx1Ig
ncaa_basketball__-n4iviRLtsU_s2704.mp4,11c496a80066d4c99fffc7e7019337790967eec1030fe2c22c88fc8a2c32f173,94112289,-n4iviRLtsU_s2704,-n4iviRLtsU
ncaa_basketball__-n4iviRLtsU_s4011.mp4,34c05bfa51e31112cc8f965b623c1f619d7b2bbc0ec3d18bdd457bb8f474e49c,97966113,-n4iviRLtsU_s4011,-n4iviRLtsU
ncaa_basketball__-n4iviRLtsU_s90.mp4,b7ded22b98bf846065348c21ee03388f68a4ca879cc6cff076a4276a8bf4f87d,95236044,-n4iviRLtsU_s90,-n4iviRLtsU
ncaa_basketball__RtiZgPwcwNA_s2720.mp4,0853a624062dc1cbb4a97947e1dc2843b54156d88860a2997bcf864cc6652a26,62835904,RtiZgPwcwNA_s2720,RtiZgPwcwNA
ncaa_basketball__iDogCL8td5Q_s2282.mp4,c254700c60ba9898c64be0abcfb8a29f608d046865b0e0c698e768c6dfa603f1,85233486,iDogCL8td5Q_s2282,iDogCL8td5Q
qrWmO434a0k_s1447.mp4,db5854c4f6dca5b82c1a3ca87fff42861fff4bb5093e651a54078c601864f513,72031233,qrWmO434a0k_s1447,qrWmO434a0k
tFnl0NVn6FA_s90.mp4,f7b6d933bc6f93b65843014bfc0a230c678f645b31cb8995d4616f86e1209e5b,65212592,tFnl0NVn6FA_s90,tFnl0NVn6FA
tZeqmc_-_sA_s1332.mp4,6ed357a28fae8afd9964cc61981220f335c247337ff9ba23e1d9406f33366710,72183029,tZeqmc_-_sA_s1332,tZeqmc_-
tZeqmc_-_sA_s2574.mp4,fa1af41f9feec5521f0115083f0ae6150d9679e320030b1b5cd332a5d801f90b,75846958,tZeqmc_-_sA_s2574,tZeqmc_-
wHs1OssEcAw_s2276.mp4,af9bf71d5fa732f6c6e5cb1b0b056b35f2cd4f8498e3b7d9f55ffee47d1878ed,100578787,wHs1OssEcAw_s2276,wHs1OssEcAw
wnba__A0aHQ2A38IY_s2860.mp4,7b2febbe60a232b5dcd4882cdf1b0189c1126946f0dcdb4ce130c673719bcd43,68429941,A0aHQ2A38IY_s2860,A0aHQ2A38IY
wnba__A0aHQ2A38IY_s90.mp4,398175385cc5fcb51b2797bef39b00dc33e05858eefe513384b3db2c6f2fe470,68061448,A0aHQ2A38IY_s90,A0aHQ2A38IY
