ordinal,frame_key,split,source,why,status,in_manifest,settled_reference,settled_adjudication,primary_raters,allocation,allocation_g384
56,132df7d1940203dc725c171bce5209ac2ccfb10e45e2c5568aa45e70f6bf7e8d,heldout,sealed,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
57,1e63d1a8e8ddc1a2af1e39236a50aebb69dd25aa2209cbd68db06324a550ad45,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
58,1574171a0438267ad6899c56745773b4dc6b78e79bc455a83bfb15774fc9f7d9,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
59,1fafec2c985200986e1739e650e91ad59aa773f9fd0ea50d95327df09a4ddc39,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
60,1623782c2aebfa8ca01815dc8824efd1bc748dec80580a27181bb14350d87767,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
61,20c7cbb969b611d2cc3c321ea90034970a6a170e3b191feddb03f41dc572bb45,development,extra,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
62,16c583e45b3936aa65d2dce0135ff0a6bd95f0fb9cd5725e34c56abbfae258b7,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
63,20ea26903294e40b4c13c060e70bc0d662f403b4cc854b61116d71acc8f86ef7,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
64,18f3d180b4854a548ba4cd699bd2cd3452fb4d7882658dced319d09ae2037998,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
65,211fa10e2341460440db8ae4572be85ef1ad51365304cb18458cf4ddb8572c25,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
66,1b52ab7e5d34a109084c217412ed79683aa3bfaaa85bb7936bcd28ae13f333c4,heldout,sealed,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
67,2196e69d0c916df286e836ee1448f6a5c22d8a855786e3497cc489d13aa1b850,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
68,1bf643c2eec3b066c6c9ef5bf4972ec773b2be2c1c1bb4dc728159a46d1efac5,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
69,22c28f55c3efe6b0f206f20d8aa2336d8ea3506057151d8a344dcba758005f36,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
70,1de680a0b8185f7ae4ecfe73680f91b1c91ab01a84a4db246805c0829c70a689,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
71,22e98406f7f0f899d6465019599dd6680c6a8736673ddfe06e251525ad697f69,development,extra,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
72,20ea1070cef466b895f7eef7c87325e152af9358bd76ef5c722eb2e08133a5af,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
73,2309e67fdc71bfdddf3d319748817c69c0bdcdf18d962791500928e731a3dc9a,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
74,21ad836779ea367c0d211410934d94bc61d8343faa66103b0839eeb7e52bf042,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
75,26c27cbb31f84f96a5da3482aa015dd0e9f8d48597ff7a0c27467f74ab25bba9,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
76,237d19193aeede4824f524531944087848308ef4fe92f97b28b4e45c9bdf166d,heldout,sealed,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
77,28c45077ccf499e1a5228bc129a9ee25c1b7fe2ee89e3ee786eb20c9783d92a5,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
78,24896f416885b7cc499029d081e869ebc69559396cb60cdfa62d03bc7007657c,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
79,2907518c14b187e352f9ecd8c7e8724c263e2df27e9cae75731b594f31ef1d5b,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
80,24fd0a97b8dd48fb65390c75b3bc5f69734e729687e17adde219149614006ef4,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
81,290c6cea365404bae102a2f78e22a9b4d107c09e87493de858c7ba03b45c4480,development,extra,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
82,26eb9cee0a07399b0c7a82b50d4af683e63d03f766083601ace7c0007bcf3699,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
83,290f7b67972e672fe1a0a0b2cc4f6ab788add9e028e3a949aee479a66bca4dee,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
84,2910362aaca2fd21ed16ef886f80acd40b51ecb66fe487b1d0972bdc56112d26,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
85,2b6e49e2f950178f74349cb185aaf579c151d5a3d640232cdba6ec8a872be2d4,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
86,29396a12ecc8abc4e34ee6c08b698ea1b464d1df679a2019eaab5d52e5a453ad,heldout,sealed,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
87,2e0b72280994946d59aa37cb37eef81a89e3ead8e763fa672bdb82177d6e7810,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
88,296bcac9920829e44e07e65abc78d00136d9c7a02ac7c408fd07f86a6ab69571,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
89,2ea774f6f5552f26ea8f6f959b28362e546e7efe8c6fe3b370680c44919ae654,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
90,299468af20c51dbf3e2090310433847fecdb8dbc1138dae74f3314da344bebf7,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
91,2f016c06f20894d50f6bf44eb17b2a86b28c2072faaba6a0a3cb7e74d300fa49,development,sealed,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
92,2bbe984f4a74b18664c665c3420d3ce26fbf10d4597350334bca69f149859531,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
93,2f24e5cd62fabfd2ed1e1c05d0a6336ae09f0f80086bc670f87759a165a87d9d,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
94,2c91e135e4269b4dc9cfd74019f56a035f34266a9e6d0eb77d095291ff9d0df6,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
95,30154a7e31103db64f8bbe2024a6f240d6327313267156aba1a723009f6a356d,development,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
96,2ce019929197f1f70f73d69b7ebee54395e3d9230d2112fa7b0479a8f0cd5e8c,heldout,sealed,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
97,303ac8d28eeb70d76f501c2db26c060116a2737673e2e628fe09f29d9abc4764,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
98,2d61858c542071d4f2f868987ebbb8806cd8a10168b82dd63928c38d90b9f03d,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
99,3165e55916cea74c57ac4c0a9bdc9bd708c8f0f7fa25e8a193ca6faa9db76de6,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
100,2faa7ff03a5c92ab1171b9db598ac35dec447153b5d8b2ddf224c55ae60ec7d7,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
101,3254de6fde5024f61e8505fb0a185b0fb526b5b6c80568ffdb6aa07e9c809164,development,extra,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
102,30356bf13742170128ef8fcec769eca428171917548ad839851350ae93776098,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
103,32a9b704493fbb795fb761f37bef3fdce018f9bee88a4ec8ec651ab518983bac,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
104,311dcabd8fc06df051cac04a20433cddd8ae920a34ee3f2540859fad02969855,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
105,33dbd104f0a73329c1c73af8b184788d76676b73fef93b514d545b18bc2d7741,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
106,3130cfa098e54f28258c10bf925e8b4e8c0c0f33b36a0afd2aeb3c4ff383c93a,heldout,sealed,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
107,33dc23e5492f0b49d19cb87f93aeff6e83e1fa811076128357352f6835141c6e,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
108,313bff52e59385f621946dc5a1184395813ac6d11ff8969370b15855d18d01e6,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
109,33eb0e7de74f3a78beb15afce8026676fc78705cead13fc362192b505e8db36b,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
110,32d80de87a3b4734d676565e434a26c5367c5dc832319936f1ab373124f096c0,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
111,34766854d990d4a26907caad5d2686f9434d7c284421a529b278b7fa31cbd08f,development,sealed,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
112,33525f98eccfbcfe08bd471bb58e98acfa141df0fbaecbf1f08e08d1e88dcd18,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
113,36532f71366e5a2dc0f1a1c065a989f8baf353045b2b8ae885c374fec1e9c8e7,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
114,33b657bad2c022d318d4f3142032e547d2796ab3df86293418c04ffc26cda55a,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
115,37ee688042c8248578268f968f4d5d8d1caa2730366d4551c0307d93254079d0,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
116,3427c8976d82fa8ad83e5576b91d3e5733d1fbf89c6b8c1e199dac4877e6d29c,heldout,sealed,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
117,383b142a1be68bb5e8312a29b9c99fb1cdb479809b6acfeb03726e622afec6da,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
118,3460c10d21ee16eaa06c2ae873e279e4fbba155b259be0c12f2494d06576eee1,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
119,3896f57a5bd1667fcc6c93327347c3d0b9f7f1366c471362499853464b2d44a7,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
120,34a68e7844f33d03dc91bf0ac111d896bb6f340377dbf2be9dc62f1ee5c3fcc7,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
121,394f46686bc97ad1945fefa8ec8f48f74ce24cbc08bc18cf7e3bf02c9b65475c,development,extra,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
122,350458ba9feec4e39bf5581d4b4537cff555839a192050d9322d8bf57de03859,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
123,39b13d9316e05aa162168010bc88eea8d6a9318faf9416821db1b579950b6c5f,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
124,36b7d96fbb5b5ae81d39193fef2a27b129ec5af36ac9b5e11350a135efeb6279,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
125,39c210c1f166a373abb750fe5d06199a4782e395b68b3a57a65441b1a7c54a5c,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
126,3706b27ac29699d598acf43c919dc3ccc2f72451f9797aaf9f209651c43c1bcf,heldout,sealed,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
127,3a31d8836b19581181d5ea0bf18e89a0fc42b01f7df725eeb8903baac1c22d0e,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
128,395923ab30bd9f5175dd813fbe027bc57a05bb928cd7c2f6cfc5c341a645a33d,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
129,3ae0fff0a317153afef93c383efcc1b40c3b37f53b32a6fef0ca3954cc687fbb,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
130,3a0a3add537a99d8a33af4c485aaebe4c0c8711637fa6b301af109f67ab70b0d,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
131,3ba99903fb7cae0ff0489953252e89d6c609ffaf3c610876c0abf2204a1263ad,development,extra,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
132,3a1086cbf8943b8233eb6e9c621c8750283d5b0d2e11a30e99bd73cea799f3ab,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
133,3be793e57b63e9c348c3f5568c40b12da5f0ab670a9b501d50f99e9e2686b053,development,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
