frame,team,momentum
951,white,0.2574
954,green,0.255
954,white,0.2565
957,green,0.2534
957,white,0.2554
960,green,0.2537
960,white,0.2541
963,green,0.2537
963,white,0.2528
966,green,0.2542
966,white,0.2514
969,green,0.2538
969,white,0.2499
972,green,0.2556
972,white,0.2476
975,white,0.2476
978,white,0.2476
981,green,0.2555
981,white,0.2476
984,green,0.2554
984,white,0.2476
987,green,0.2553
987,white,0.2477
990,green,0.2549
990,white,0.2479
993,green,0.2551
993,white,0.248
996,green,0.2548
996,white,0.2474
999,green,0.2539
999,white,0.25
1000,green,0.2538
1002,green,0.2536
1002,white,0.2498
1003,green,0.2521
1005,green,0.2518
1005,white,0.2497
1006,green,0.2516
1008,green,0.25
1008,white,0.2505
1009,green,0.248
1011,green,0.2466
1011,white,0.2521
1012,green,0.2463
1012,white,0.2537
1014,green,0.2462
1014,white,0.2539
1015,green,0.2477
1015,white,0.2542
1017,green,0.2492
1017,white,0.2542
1018,green,0.253
1018,white,0.2546
1020,green,0.2547
1020,white,0.2544
1021,green,0.2566
1021,white,0.2524
1023,green,0.2593
1023,white,0.2526
1024,green,0.2612
1024,white,0.2526
1026,green,0.2627
1026,white,0.252
1027,green,0.2643
1027,white,0.2517
1029,green,0.2658
1029,white,0.2518
1030,green,0.2675
1030,white,0.2519
1032,green,0.2675
1032,white,0.2519
1033,green,0.2666
1033,white,0.2519
1035,green,0.2665
1035,white,0.2521
1036,green,0.2666
1036,white,0.253
1038,green,0.2666
1038,white,0.2513
1039,green,0.2668
1039,white,0.2497
1041,green,0.2671
1041,white,0.2477
1042,green,0.2665
1042,white,0.2461
1044,green,0.2672
1044,white,0.2445
1045,green,0.2672
1045,white,0.2426
1047,green,0.2633
1047,white,0.2431
1048,green,0.2633
1048,white,0.242
1050,green,0.2644
1050,white,0.2395
1051,green,0.2644
1051,white,0.2394
1053,green,0.2655
1053,white,0.2364
1054,green,0.2656
1054,white,0.2339
1056,green,0.2663
1056,white,0.2317
1057,green,0.2663
1057,white,0.2301
1059,green,0.2656
1059,white,0.2291
1060,green,0.2639
1060,white,0.2275
1062,green,0.2622
1062,white,0.2259
1063,green,0.2604
1063,white,0.2242
1065,green,0.2585
1065,white,0.2229
1066,green,0.2566
1066,white,0.2212
1068,white,0.2197
1069,green,0.2548
1069,white,0.2181
1071,white,0.2162
1072,green,0.2532
1072,white,0.2144
1074,white,0.2128
1075,green,0.2518
1075,white,0.2111
1077,white,0.2096
1078,green,0.2501
1078,white,0.208
1080,white,0.2063
1081,green,0.2485
1081,white,0.2047
1083,white,0.2049
1084,green,0.2468
1084,white,0.2049
1086,white,0.2053
1087,green,0.2467
1087,white,0.2057
1089,white,0.2059
1090,green,0.2452
1090,white,0.2075
1092,white,0.207
1093,green,0.2467
1093,white,0.2074
1095,white,0.2089
1096,green,0.2479
1096,white,0.2096
1098,white,0.2113
1099,green,0.2474
1099,white,0.2139
1101,white,0.2147
1102,green,0.2471
1102,white,0.2167
1104,white,0.2177
1105,green,0.2458
1105,white,0.2205
1107,white,0.2221
1108,green,0.246
1108,white,0.2236
1110,white,0.2253
1111,green,0.2458
1111,white,0.2273
1113,white,0.229
1114,green,0.2459
1114,white,0.2306
1116,white,0.2323
1117,green,0.2485
1117,white,0.2337
1119,white,0.2353
1120,green,0.2483
1120,white,0.2373
1122,white,0.239
1123,green,0.2475
1123,white,0.2418
1125,white,0.2434
1126,green,0.2476
1126,white,0.2453
1128,white,0.2468
1129,green,0.2472
1129,white,0.2494
1131,white,0.2508
1132,green,0.2473
1132,white,0.2525
1134,white,0.2538
1135,green,0.247
1135,white,0.2552
1137,white,0.2552
1138,green,0.245
1138,white,0.2585
1140,white,0.2586
1141,green,0.2442
1141,white,0.2613
1143,white,0.2614
1144,green,0.2426
1144,white,0.2622
1146,white,0.2623
1147,green,0.2406
1147,white,0.2642
1149,white,0.264
1150,green,0.2394
1150,white,0.2642
1152,white,0.2642
1153,green,0.2392
1153,white,0.2648
1155,white,0.2648
1156,green,0.2399
1156,white,0.2639
1158,white,0.2639
1159,green,0.2402
1159,white,0.2638
1161,white,0.2638
1162,green,0.24
1162,white,0.2643
1164,white,0.2643
1165,green,0.2403
1165,white,0.2636
1167,white,0.2637
1168,green,0.2409
1168,white,0.2619
1171,green,0.2419
1171,white,0.261
1174,green,0.2429
1174,white,0.26
1177,green,0.244
1177,white,0.2595
1180,green,0.247
1180,white,0.2573
1183,green,0.2479
1183,white,0.2557
1186,green,0.2482
1186,white,0.2547
1189,green,0.2492
1189,white,0.2552
1192,green,0.25
1192,white,0.2543
1195,green,0.2525
1195,white,0.2539
1198,green,0.2536
1198,white,0.2519
1201,green,0.2552
1201,white,0.2519
1204,green,0.2575
1204,white,0.2493
1207,green,0.2579
1207,white,0.2501
1210,green,0.2602
1210,white,0.248
1213,green,0.263
1213,white,0.2479
1216,green,0.2627
1216,white,0.2469
1219,green,0.2643
1219,white,0.2466
1222,green,0.2654
1222,white,0.245
1225,green,0.2691
1225,white,0.2422
1228,green,0.2722
1228,white,0.2405
1231,green,0.2749
1231,white,0.2395
1234,green,0.2752
1234,white,0.2396
1237,green,0.2755
1237,white,0.2397
1240,green,0.2746
1240,white,0.2402
1243,green,0.2729
1243,white,0.2403
1246,green,0.271
1246,white,0.2397
1249,green,0.2689
1249,white,0.2396
1252,green,0.2675
1252,white,0.2398
1255,green,0.266
1255,white,0.2392
1258,green,0.2638
1258,white,0.2397
1260,white,0.2407
1261,green,0.2611
1261,white,0.2414
1263,white,0.2419
1264,green,0.2584
1266,white,0.2432
1267,green,0.2557
1269,white,0.2449
1270,green,0.2492
1270,white,0.2488
1272,white,0.2485
1273,green,0.245
1273,white,0.2482
1275,white,0.2471
1276,green,0.2419
1276,white,0.2454
1278,white,0.244
1279,green,0.2399
1279,white,0.243
1281,white,0.2408
1282,green,0.2377
1282,white,0.2395
1284,white,0.2383
1285,green,0.2346
1285,white,0.2354
1287,white,0.2344
1288,green,0.2316
1288,white,0.233
1290,white,0.2347
1291,green,0.2286
1291,white,0.2342
1293,white,0.2342
1294,green,0.2246
1296,white,0.2335
1297,green,0.2222
1299,white,0.2324
1300,green,0.2184
1302,white,0.2312
1303,green,0.2149
1305,white,0.2301
1306,green,0.2134
1308,green,0.2111
1308,white,0.2291
1309,green,0.208
1311,green,0.2053
1311,white,0.2266
1312,green,0.2025
1314,green,0.2012
1314,white,0.2246
1315,green,0.2009
1317,green,0.2032
1317,white,0.2223
1318,green,0.2035
1320,green,0.2057
1320,white,0.2197
1321,green,0.2053
1323,green,0.2045
1323,white,0.22
1324,green,0.2043
1326,green,0.2063
1326,white,0.2171
1327,green,0.2063
1329,green,0.2092
1329,white,0.2143
1330,green,0.2109
1332,green,0.2123
1332,white,0.2131
1333,green,0.2172
1335,green,0.2225
1335,white,0.208
1336,green,0.2242
1338,green,0.2272
1338,white,0.2017
1339,green,0.2289
1341,green,0.2299
1341,white,0.2006
1342,green,0.2316
1344,green,0.2333
1344,white,0.1989
1345,green,0.235
1347,green,0.2366
1347,white,0.1991
1348,green,0.2382
1350,green,0.2405
1350,white,0.1989
1351,green,0.2421
1353,green,0.2446
1353,white,0.1976
1354,green,0.2462
1356,green,0.2457
1356,white,0.1986
1357,green,0.2474
1359,green,0.2474
1359,white,0.199
1360,green,0.2491
1362,green,0.2515
1362,white,0.1962
1363,green,0.2532
1365,green,0.2548
1365,white,0.194
1366,green,0.2564
1368,green,0.2595
1368,white,0.1935
1369,green,0.2612
1371,green,0.2624
1371,white,0.1911
1372,green,0.2641
1374,green,0.2645
1374,white,0.1896
1375,green,0.2645
1377,green,0.2658
1377,white,0.1882
1378,green,0.2658
1380,green,0.263
1380,white,0.188
1381,green,0.263
1383,green,0.2616
1383,white,0.1877
1384,green,0.2616
1386,green,0.2624
1386,white,0.1868
1387,green,0.2624
1389,green,0.2629
1389,white,0.1856
1390,green,0.2629
1392,green,0.2644
1392,white,0.1837
1393,green,0.2646
1395,green,0.2652
1395,white,0.1822
1396,green,0.2655
1398,green,0.2646
1398,white,0.1821
1399,green,0.265
1401,green,0.2655
1401,white,0.1829
1402,green,0.2655
1404,green,0.265
1404,white,0.1842
1405,green,0.2651
1407,green,0.2636
1407,white,0.1838
1408,green,0.2637
1410,green,0.263
1410,white,0.1836
1411,green,0.2631
1413,green,0.2623
1413,white,0.1818
1414,green,0.2599
1414,white,0.1855
1416,green,0.2559
1416,white,0.1887
1417,green,0.2558
1417,white,0.1883
1419,green,0.2548
1419,white,0.1911
1420,green,0.2549
1420,white,0.1924
1422,green,0.2563
1422,white,0.1894
1423,green,0.2563
1423,white,0.1892
1425,green,0.257
1425,white,0.1877
1426,green,0.257
1426,white,0.1879
1428,green,0.2575
1428,white,0.1887
1429,green,0.2575
1429,white,0.1877
1431,green,0.2592
1431,white,0.1854
1432,green,0.2592
1432,white,0.1882
1434,green,0.2584
1434,white,0.1907
1435,green,0.2592
1435,white,0.1903
1437,green,0.2571
1437,white,0.1934
1438,green,0.258
1438,white,0.1939
1440,green,0.2559
1440,white,0.1958
1441,green,0.2556
1443,green,0.2523
1443,white,0.1989
1444,green,0.2519
1444,white,0.1986
1446,green,0.2492
1446,white,0.2016
1447,green,0.2493
1447,white,0.2021
1449,green,0.2481
1449,white,0.2052
1452,green,0.2493
1452,white,0.2048
1455,green,0.2462
1455,white,0.2079
1458,green,0.2451
1458,white,0.2107
1461,green,0.2427
1461,white,0.2129
1464,green,0.2416
1464,white,0.2173
1467,green,0.2407
1467,white,0.2212
1470,green,0.2431
1470,white,0.2228
1473,green,0.2441
1473,white,0.2229
1476,green,0.2457
1476,white,0.2212
1479,green,0.2435
1479,white,0.2226
1482,green,0.2432
1482,white,0.2236
1485,green,0.2406
1485,white,0.224
1488,green,0.2388
1488,white,0.2283
1491,green,0.2373
1491,white,0.2284
1494,green,0.2364
1494,white,0.2304
1497,green,0.2325
1497,white,0.2342
1500,green,0.2309
1500,white,0.2359
1503,green,0.2302
1503,white,0.2347
1506,green,0.2284
1506,white,0.2381
1509,green,0.2277
1509,white,0.2395
1512,green,0.2252
1512,white,0.2407
1515,green,0.2259
1515,white,0.2418
1518,green,0.2234
1518,white,0.242
1521,green,0.225
1521,white,0.2425
1524,green,0.2247
1524,white,0.2417
1527,green,0.2264
1527,white,0.2401
1530,green,0.2264
1530,white,0.2402
1533,green,0.2287
1533,white,0.238
1536,green,0.2272
1536,white,0.2396
1539,green,0.2287
1539,white,0.2384
1540,green,0.2264
1540,white,0.2406
1542,green,0.2295
1542,white,0.2358
1543,green,0.2291
1543,white,0.2345
1545,green,0.2306
1545,white,0.2312
1546,green,0.2301
1546,white,0.2298
1548,white,0.2289
1549,green,0.2296
1549,white,0.2287
1551,green,0.2274
1551,white,0.2284
1552,green,0.2269
1552,white,0.2297
1554,green,0.224
1554,white,0.2299
1555,green,0.224
1555,white,0.231
1557,green,0.2227
1557,white,0.2322
1558,green,0.2214
1558,white,0.2318
1560,green,0.2226
1560,white,0.2324
1561,green,0.2211
1561,white,0.2331
1563,green,0.2218
1563,white,0.2296
1564,green,0.2237
1566,green,0.2247
1566,white,0.2288
1567,green,0.2221
1569,green,0.2219
1569,white,0.2322
1570,green,0.2213
1572,green,0.2225
1572,white,0.2312
1573,green,0.2209
1575,green,0.2222
1575,white,0.2306
1576,green,0.22
1578,green,0.2202
1578,white,0.2288
1579,green,0.2196
1581,green,0.2175
1581,white,0.2306
1582,green,0.2162
1584,green,0.2149
1584,white,0.2318
1585,green,0.2138
1587,green,0.2133
1587,white,0.234
1588,green,0.2101
1590,green,0.2098
1590,white,0.2356
1591,green,0.2078
1593,green,0.2072
1593,white,0.2366
1594,green,0.2057
1594,white,0.2396
1596,green,0.2094
1596,white,0.2377
1597,green,0.2094
1597,white,0.2377
1599,green,0.2082
1599,white,0.2399
1600,green,0.2084
1600,white,0.2422
1602,green,0.209
1602,white,0.2467
1603,green,0.2095
1603,white,0.2488
1605,green,0.2088
1605,white,0.2524
1606,green,0.2094
1606,white,0.2546
1608,green,0.2084
1608,white,0.2558
1609,green,0.209
1609,white,0.2579
1611,green,0.2091
1611,white,0.2576
1612,green,0.2073
1612,white,0.2622
1614,green,0.2093
1614,white,0.2621
1615,green,0.21
1615,white,0.2633
1617,green,0.205
1617,white,0.2687
1618,green,0.2048
1618,white,0.2706
1620,green,0.2023
1620,white,0.2743
1621,green,0.2022
1621,white,0.2763
1623,green,0.2006
1623,white,0.2793
1624,green,0.202
1624,white,0.2808
1626,green,0.2009
1626,white,0.2834
1627,white,0.2863
1629,green,0.2009
1629,white,0.2887
1632,green,0.2034
1632,white,0.2904
1635,green,0.2041
1635,white,0.291
1638,green,0.2041
1638,white,0.2915
1641,green,0.2042
1641,white,0.2931
1644,green,0.2045
1644,white,0.2945
1647,green,0.2077
1647,white,0.2924
1650,green,0.2111
1650,white,0.2897
1653,green,0.2135
1653,white,0.2936
1656,green,0.2115
1656,white,0.2946
1659,green,0.2121
1659,white,0.2942
1662,green,0.2139
1662,white,0.2934
1665,green,0.2139
1665,white,0.2916
1668,green,0.2137
1668,white,0.2891
1671,green,0.2141
1671,white,0.2866
1674,green,0.2152
1674,white,0.2828
1677,green,0.2157
1677,white,0.2804
1680,green,0.2153
1683,green,0.2146
1686,green,0.2156
1686,white,0.2761
1689,green,0.2191
1689,white,0.2737
1692,green,0.2172
1692,white,0.2694
1695,green,0.218
1695,white,0.2679
1698,green,0.2193
1698,white,0.2693
1701,green,0.2201
1701,white,0.2633
1704,green,0.2227
1704,white,0.2601
1707,green,0.2262
1707,white,0.2547
1710,white,0.2528
1713,white,0.2511
1716,green,0.2257
1716,white,0.251
1719,white,0.248
1720,green,0.224
1720,white,0.2469
1722,green,0.2265
1722,white,0.2442
1723,green,0.2262
1723,white,0.245
1725,green,0.2248
1725,white,0.2439
1726,green,0.2221
1726,white,0.2452
1728,green,0.2215
1728,white,0.2439
1729,green,0.2214
1731,green,0.2224
1731,white,0.2413
1732,green,0.2191
1734,green,0.2146
1734,white,0.2445
1735,green,0.2136
1737,green,0.2113
1737,white,0.2469
1738,green,0.2104
1740,green,0.2099
1740,white,0.2458
1741,green,0.2093
1743,green,0.2089
1743,white,0.2447
1744,green,0.208
1746,green,0.2088
1746,white,0.2415
1747,green,0.2077
1749,green,0.2077
1749,white,0.2404
1750,green,0.2077
1752,green,0.2054
1752,white,0.241
1753,green,0.2035
1755,green,0.2046
1755,white,0.2405
1756,green,0.2031
1758,green,0.2066
1758,white,0.2403
1759,green,0.2061
1761,green,0.2057
1761,white,0.2407
1762,green,0.2023
1764,green,0.2021
1764,white,0.2424
1765,green,0.2024
1767,green,0.201
1767,white,0.2451
1768,green,0.2013
1770,green,0.2011
1770,white,0.247
1771,green,0.2032
1773,green,0.2039
1773,white,0.2464
1774,green,0.2039
1776,green,0.2034
1776,white,0.2474
1777,green,0.2035
1779,green,0.2068
1779,white,0.2434
1780,green,0.2069
1782,green,0.2088
1782,white,0.2434
1783,green,0.2088
1785,green,0.2087
1785,white,0.2447
1786,green,0.2087
1788,green,0.209
1788,white,0.2471
1789,green,0.209
1791,green,0.2074
1791,white,0.2463
1792,green,0.2075
1794,green,0.2082
1794,white,0.2455
1795,green,0.2084
1797,green,0.2087
1797,white,0.2448
1798,green,0.2089
1800,green,0.2059
1800,white,0.2469
1801,green,0.2079
1803,green,0.2084
1804,green,0.2104
1806,green,0.2108
1806,white,0.246
1807,green,0.2128
1809,green,0.2128
1809,white,0.2493
1812,green,0.2153
1812,white,0.2476
1815,green,0.219
1815,white,0.2461
1818,green,0.2214
1818,white,0.2425
1821,green,0.2243
1821,white,0.241
1824,green,0.2272
1824,white,0.2408
1827,green,0.2298
1827,white,0.2378
1830,green,0.2321
1830,white,0.2361
1833,green,0.2332
1833,white,0.2362
1836,green,0.2348
1836,white,0.2363
1839,green,0.2365
1839,white,0.2371
1842,green,0.2383
1842,white,0.2351
1845,green,0.236
1845,white,0.2368
1848,green,0.2352
1848,white,0.2385
1851,green,0.2352
1851,white,0.2396
1854,green,0.2378
1854,white,0.2389
1857,green,0.2391
1860,green,0.2407
1863,green,0.2396
1863,white,0.2385
1866,green,0.2413
1866,white,0.2363
1869,green,0.2422
1869,white,0.2346
1872,green,0.2437
1875,green,0.2467
1875,white,0.2317
1878,green,0.2482
1881,green,0.2519
1881,white,0.2305
1884,green,0.2516
1887,green,0.2516
1890,green,0.2513
1890,white,0.2305
1893,green,0.2506
1893,white,0.2301
1896,green,0.2506
1896,white,0.2285
1899,green,0.2531
1899,white,0.2275
1902,green,0.2513
1902,white,0.2277
1905,green,0.2493
1905,white,0.2272
1908,green,0.2483
1908,white,0.226
1911,green,0.2468
1911,white,0.2226
1914,green,0.2448
1914,white,0.2217
1917,green,0.2431
1917,white,0.218
1920,green,0.242
1920,white,0.2178
1923,green,0.242
1923,white,0.2177
1926,green,0.2409
1926,white,0.218
1929,green,0.2387
1929,white,0.2199
1932,green,0.2385
1932,white,0.221
1935,green,0.2408
1935,white,0.2235
1938,green,0.2435
1938,white,0.2239
1941,green,0.2452
1941,white,0.2241
1944,green,0.2446
1944,white,0.2242
1947,green,0.2444
1947,white,0.2264
1950,green,0.2438
1950,white,0.2295
1953,green,0.2462
1953,white,0.2277
1956,green,0.2467
1956,white,0.2269
1959,green,0.2459
1959,white,0.2282
1962,green,0.2456
1962,white,0.2313
1965,green,0.2442
1965,white,0.2314
1968,green,0.2454
1968,white,0.2328
1971,green,0.2459
1971,white,0.2341
1974,green,0.2473
1974,white,0.2359
1977,green,0.2485
1977,white,0.2364
1980,green,0.2485
1980,white,0.2381
1983,green,0.2494
1983,white,0.2388
1986,green,0.2499
1986,white,0.2403
1989,green,0.2498
1989,white,0.2416
1992,green,0.2501
1992,white,0.243
1995,green,0.2507
1995,white,0.244
1998,green,0.2512
1998,white,0.2451
2001,green,0.2514
2001,white,0.2466
2004,green,0.2514
2004,white,0.2483
2007,green,0.2517
2007,white,0.2496
2010,green,0.2527
2010,white,0.2504
2013,green,0.2519
2013,white,0.2528
2016,green,0.2526
2016,white,0.2539
2019,green,0.2533
2019,white,0.2533
2022,green,0.2535
2022,white,0.2532
2025,green,0.2542
2025,white,0.2527
2028,green,0.2531
2028,white,0.254
2031,green,0.253
2031,white,0.2542
2034,green,0.2531
2034,white,0.2543
2037,green,0.2546
2037,white,0.253
2040,green,0.2564
2040,white,0.2508
2043,green,0.2563
2043,white,0.2506
2046,green,0.2558
2046,white,0.2508
2049,green,0.2556
2049,white,0.2508
2052,green,0.257
2052,white,0.249
2055,green,0.2567
2055,white,0.2488
2058,green,0.2546
2058,white,0.2505
2061,green,0.2535
2061,white,0.252
2064,green,0.2505
2064,white,0.2539
2067,green,0.2467
2067,white,0.2565
2070,green,0.2452
2070,white,0.2569
2073,green,0.2438
2073,white,0.2573
2076,green,0.2417
2076,white,0.2576
2079,green,0.2404
2079,white,0.2579
2082,green,0.2404
2082,white,0.2571
2085,green,0.2395
2085,white,0.2572
2088,green,0.2384
2088,white,0.2576
2091,green,0.2374
2091,white,0.2579
2094,green,0.2343
2094,white,0.2604
2097,green,0.2334
2097,white,0.2607
2100,green,0.2326
2100,white,0.261
2103,green,0.2361
2103,white,0.257
2106,green,0.2363
2106,white,0.2564
2109,green,0.2358
2109,white,0.2563
2112,green,0.2351
2112,white,0.2565
2115,green,0.2369
2115,white,0.2542
2118,green,0.2376
2118,white,0.253
2121,green,0.2376
2121,white,0.2525
2124,green,0.2373
2124,white,0.2523
2127,green,0.2365
2127,white,0.2526
2130,green,0.2355
2130,white,0.2536
2133,green,0.2353
2133,white,0.2539
2136,green,0.2354
2136,white,0.2538
2139,green,0.2355
2139,white,0.2536
2142,green,0.2345
2142,white,0.2546
2145,green,0.2364
2145,white,0.2545
2148,green,0.2394
2148,white,0.2533
2151,green,0.2384
2151,white,0.2539
2154,green,0.2399
2154,white,0.2537
2157,green,0.2436
2157,white,0.2513
2160,green,0.2451
2160,white,0.251
2163,green,0.2461
2163,white,0.251
2166,green,0.2473
2166,white,0.2509
2169,green,0.2485
2169,white,0.2507
2172,green,0.2493
2172,white,0.2509
2175,green,0.2501
2175,white,0.251
2178,green,0.251
2178,white,0.2511
2181,green,0.2522
2181,white,0.2508
2184,green,0.2564
2184,white,0.2476
2187,green,0.2576
2187,white,0.2474
2190,green,0.2579
2190,white,0.2475
2193,green,0.255
2193,white,0.2509
2196,green,0.2556
2196,white,0.2507
2199,green,0.2562
2199,white,0.2488
2202,green,0.2563
2202,white,0.2473
2205,green,0.2567
2205,white,0.2454
2208,green,0.258
2208,white,0.2426
2211,green,0.2599
2211,white,0.2391
2214,green,0.2602
2214,white,0.2373
2217,green,0.2599
2217,white,0.236
2220,green,0.2599
2220,white,0.2344
2223,green,0.26
2223,white,0.2327
2226,green,0.26
2226,white,0.2311
2229,green,0.2608
2229,white,0.2284
2232,green,0.2607
2232,white,0.2265
2235,green,0.2594
2235,white,0.2241
2238,green,0.254
2238,white,0.2258
2241,green,0.2551
2241,white,0.2229
2244,green,0.2551
2244,white,0.2212
2247,green,0.254
2247,white,0.2204
2250,green,0.2531
2250,white,0.2196
2253,green,0.2532
2253,white,0.2177
2256,green,0.2541
2256,white,0.2155
2259,green,0.2552
2259,white,0.213
2262,green,0.2553
2262,white,0.2116
2265,green,0.2584
2265,white,0.2072
2268,green,0.2579
2268,white,0.208
2271,green,0.2572
2271,white,0.2091
2274,green,0.2568
2274,white,0.2092
2277,green,0.2551
2277,white,0.2104
2280,green,0.2542
2280,white,0.2113
2283,green,0.2548
2283,white,0.2107
2286,green,0.2535
2286,white,0.212
2289,green,0.2538
2289,white,0.2134
2292,green,0.2529
2292,white,0.2159
2295,green,0.2522
2295,white,0.2183
2298,green,0.2512
2298,white,0.2211
2301,green,0.2489
2301,white,0.2252
2304,green,0.2483
2304,white,0.2274
2307,green,0.2491
2307,white,0.2281
2310,green,0.2498
2310,white,0.2289
2313,green,0.2507
2313,white,0.2294
2316,green,0.2505
2316,white,0.231
2319,green,0.2521
2319,white,0.2311
2322,green,0.2522
2322,white,0.2327
2325,green,0.2515
2325,white,0.235
2328,green,0.2558
2328,white,0.2324
2331,green,0.2565
2331,white,0.2335
2334,green,0.2569
2334,white,0.2347
2337,green,0.2569
2340,green,0.2577
2343,green,0.2577
2346,green,0.2569
2349,green,0.2558
2352,green,0.2557
2355,green,0.2524
2358,green,0.2528
2361,green,0.2533
2364,green,0.2535
2367,green,0.2547
2370,green,0.2558
2373,green,0.2553
2376,green,0.2563
2379,green,0.2544
2379,white,0.2378
2382,green,0.2554
2382,white,0.2387
2385,green,0.2543
2385,white,0.2403
2388,green,0.2545
2388,white,0.242
2391,green,0.2551
2391,white,0.2442
2394,green,0.2548
2394,white,0.2462
2397,green,0.2534
2397,white,0.251
2400,green,0.2514
2400,white,0.2511
2403,green,0.25
2403,white,0.2504
2406,green,0.25
2406,white,0.2502
2409,green,0.2484
2409,white,0.249
2412,green,0.2483
2412,white,0.2481
2415,green,0.2483
2415,white,0.2473
2418,green,0.2459
2418,white,0.2461
2421,green,0.2456
2421,white,0.2449
2424,green,0.2438
2424,white,0.2438
2427,green,0.2406
2427,white,0.2465
2430,green,0.2391
2430,white,0.2468
2433,green,0.2368
2433,white,0.2473
2436,green,0.2344
2436,white,0.2477
2439,green,0.2326
2439,white,0.249
2442,green,0.2312
2442,white,0.2498
2445,green,0.2318
2445,white,0.2505
2448,green,0.2319
2448,white,0.2508
2451,green,0.2317
2451,white,0.2525
2454,green,0.2316
2454,white,0.2528
2457,green,0.2314
2457,white,0.253
2460,green,0.2309
2460,white,0.2545
2463,green,0.2292
2463,white,0.2563
2466,green,0.2295
2466,white,0.2563
2469,green,0.2309
2469,white,0.2549
2472,green,0.2309
2475,green,0.2309
2475,white,0.2549
2478,green,0.2304
2478,white,0.2549
2481,green,0.2319
2481,white,0.2537
2484,green,0.2325
2484,white,0.2539
2487,green,0.2339
2487,white,0.2523
2490,green,0.235
2490,white,0.2518
2493,green,0.2354
2493,white,0.2506
2496,green,0.2368
2496,white,0.2488
2499,green,0.2382
2499,white,0.2474
2502,green,0.2391
2502,white,0.2463
2505,green,0.2394
2505,white,0.2458
2508,green,0.2412
2508,white,0.247
2511,green,0.24
2511,white,0.2484
2514,green,0.2417
2514,white,0.2499
2517,green,0.2452
2517,white,0.2497
2520,green,0.2471
2520,white,0.2478
2523,green,0.2496
2523,white,0.2475
2526,green,0.2527
2526,white,0.2458
2529,green,0.2543
2529,white,0.2452
2532,green,0.2558
2532,white,0.2449
2535,green,0.2552
2535,white,0.2451
2538,green,0.2546
2538,white,0.246
2541,green,0.2557
2541,white,0.245
2544,green,0.2558
2544,white,0.2448
2547,green,0.256
2547,white,0.2447
2550,green,0.2564
2550,white,0.2448
2553,green,0.2579
2553,white,0.2445
2556,green,0.2569
2556,white,0.2439
2559,green,0.2569
2559,white,0.2442
2562,green,0.2561
2562,white,0.2451
