packet_id,frame_key,game,section,frame_index,call_cx,call_cy,crop_sha256
G394-016-b65ebb1b598f9466,b57d818efdfde800bdbbb5eca6e83debfb63cdcf32234408547cb9d6dfd91bac,GNjSxoeDT-E,GNjSxoeDT-E_s2244,1802,1640.0,18.5,43bc4204075907c71c5c707944b171c6534c03f7125d8840ed0207b7644a5333
G394-017-396e285b22addc54,c61c2c62ab376ee4b57ae79e3331b908468103c5161c91b5cfd95ed389fce22e,GNjSxoeDT-E,GNjSxoeDT-E_s2244,1870,1738.0,1057.5,adfc77eeaca211a2d4974a6060d4b17d2cb01990adeba5d9087e7d4c3154a019
G394-018-4c16cc9738339ecc,67f48fec58a70f3d0fbb3416de6e606e2ffc4de18dd30c4bbbca1e723e0573b8,QXFM3hlaDAk,QXFM3hlaDAk_s5230,90,504.0,282.0,da23fd691c13a9f36eace9b6589cc602a819640284a748bbbad7834de28dfbca
G394-019-6807c7c515e08a9c,0e33060e2a2dc248c1d161dd627929a7ede989b82ce9b387a7b3f50a68f4bf55,QXFM3hlaDAk,QXFM3hlaDAk_s5230,423,127.125,11.727,311c53a0ae269356bd82c803056c42e41c52979db4a0a8f6b7842367c773d543
G394-020-0cc7d4f5851228c0,ed005cbfedb01cdfe905a888cdc21ca3cf7044888e9e763bca3a52a5adb165d0,QXFM3hlaDAk,QXFM3hlaDAk_s5230,1422,1298.0,17.156,7d1edcea659d1a30f0ede1c2c2043f260f106734f8765b38a758fb0fc943021c
G394-021-65ac90c22275c229,f2d1b5c0bd14d7b8d71339d751c7d1ba8f6b1258a25d88170bde089ca8af64da,QXFM3hlaDAk,QXFM3hlaDAk_s5230,2088,1128.0,11.625,13536abcb75be14283026a35a34dd90b264f9496a33af420cbad5a07858316bf
G394-022-90df43aa233aae6f,4a66870b97d6f459546a8e225f48301e920d8f36a191f29921910408edaf1b54,QXFM3hlaDAk,QXFM3hlaDAk_s5230,2421,162.25,636.5,f5a7c91898c30a322cf24b6b49c30f1c332ef2098fa65496294a41c48f683b2f
G394-023-8177f8c0a482ae0d,f031544fe2de2ff3ef9b6330d031be2c3c4fc9a3e8947b0b99a7c7ff879fd74b,QXFM3hlaDAk,QXFM3hlaDAk_s5230,3268,198.5,658.0,f8c87c7d534858c632c5d5301889a336da6f5454c44a326f11669e28626825dd
G394-024-00e8cb1d2da46d1a,78f2f0e4d8b4c85836cb54847f864d4e4be282ea7c4e63709ea1e2c3ae3aaa8a,X5w3V6rh26s,X5w3V6rh26s_s5234,214,202.125,19.031,b41d7b7fdabec7c423131a02ec08c1ec43be0784575df2bd741057d4ad9e8d60
G394-025-ec1e60391d6ac749,bfe99622258e7f15d81f925af8633467878eec36bde2aa72864f0bd8fa1f6cea,X5w3V6rh26s,X5w3V6rh26s_s5234,753,102.938,30.344,2091188d735bda97fa3b6a6f2b50c7a4d3a874fd097d6a0bd035971f575a11b2
G394-026-0f11379d56743515,83e72190fee7868032aec58483542217af2d8085669ef7abde677199b44f795f,X5w3V6rh26s,X5w3V6rh26s_s5234,1641,851.0,27.5,a97af41fdcea6ed15ce003582246a5f5521d4754288521e231d6b58ae166398c
G394-027-f9023114fe45c890,50dce783ae7ae345214a010555d5d9d0b30790d484a84d0595c999a45c11eb09,X5w3V6rh26s,X5w3V6rh26s_s5234,2529,1846.0,18.25,6a01aec7f65213bbabae7523977c59270985dc160349462e88c33ddaf141978a
G394-028-1a6fc28618e1425a,c319a3aa5fdb627dc5ed758fe5ae2ad22c610247deccb9cb5df43e42a8296c29,X5w3V6rh26s,X5w3V6rh26s_s5234,3417,43.938,18.219,693cdab591a42a4bd91bcf17f61183ac0caf45cfe42e0835b268979ea45e612c
G394-030-0c6b60be205872f8,7ad5d791eb1ccce5f79f61ac6aa954fe2ae983ac741ece22b6f227007a89058b,XCaGht2GmPg,XCaGht2GmPg_s4068,3411,1556.0,23.828,5fd570ae5607a831bb0820382edd82ee8f23d4bb2f5744369e1c4d8bb3363b9c
G394-031-d979c6ac6f6203a6,bf39621876ffaf212dbdc1956cce4b0796494ccfec693096ad723eacc72b056e,XCaGht2GmPg,XCaGht2GmPg_s4068,3989,1243.0,32.938,8626f1e2bd0e3daaf11ab97a4f2f812f1fe9c088424dc2c55fd0103a622a0704
G394-032-70df191939fee37e,0089acbec576065c10e019dff359c6607d7cf54a09560cfc42de9fa8a53b1cf6,XCaGht2GmPg,XCaGht2GmPg_s4068,5055,1860.0,15.25,47d027f907044d05fced4e6e554693ad02a3bafc511d5f40a69e258c6bd4a366
G394-033-865ace608193c53f,3ff2c2140c264bc6a70a18d23564d6b9a101fc9a87ee698d3c27a57683f6dd73,XCaGht2GmPg,XCaGht2GmPg_s4068,5145,451.5,16.859,ea26bf9c5dda42e9995c23740a1c16cb07e6a31069ac4dd6dd42d416c2dd8ff7
G394-034-edb416ab944b4173,8d706f43a663969585a3927fb3aa54ab1b397f5128d0fd147c095ad5fca280c7,XCaGht2GmPg,XCaGht2GmPg_s4068,5434,1316.0,31.25,3c4a274f7ac9a245ce28527d421532b97a6c967c6cd0e742f4383fa411eb0a02
G394-035-31e65565a80d5aec,7d2ca3793b10f5ca3fb222f63eb90d2b5f188e5f3396aa66d8d42ec05bc821f5,bt3NwN7k8bY,bt3NwN7k8bY_s90,16,881.0,979.0,b114df3fa5cfd111bdeddbf223c08b054f11c253f65f90bdbb88cfc3c8679e5d
G394-036-b816b7170fec8b61,becfa0b9bdff7d9fe8835390d9d755dc5f9286a743ef5b58e8daf0a5eb14bbae,bt3NwN7k8bY,bt3NwN7k8bY_s90,996,918.0,675.5,40fc26ea4bcd4d75f126a695fa3eb5f505e64d207e909e847f0f2f7dae55ea16
G394-037-6837ff414b33dce7,bd3d3a2e1cb4fffec028928c8842ee7ed8a6e5bbbdad2de231c3f6e7fbbac1ca,bt3NwN7k8bY,bt3NwN7k8bY_s90,5168,246.875,15.844,84ab163e604a482dc2968d3ec4a9aef0f8477d0144f5db65fa0353f794254ee5
G394-038-74c1d42626900a45,6f6d7c2df9aefa1e8084ea92d6055f567678cc19f3be21b4389e91e409088151,h5pTl8fOM2U,h5pTl8fOM2U_s3399,909,1346.0,45.875,85d71181c2aa46aa29af62eafc204935c50d4353fe8b67b5e6d5564a4ee9444d
G394-040-8a8c0b6548953cfa,2a9a710a92da095192e9795585a50a80d61c7f3471f09b3269df86592db3d0ba,h5pTl8fOM2U,h5pTl8fOM2U_s3399,2559,111.062,35.75,b69dd08e752cccfa26b4da73dfee0ec9af271e8826d7dfa61a170581ee20fd9b
G394-042-4bda996e06822aa9,22fde2ad8dae19fe11bd842cdc77fa0f4dbe70df814483f6ccd4bf1d3d0aec7a,hLv8cwl0asQ,hLv8cwl0asQ_s3705,2674,1835.0,16.031,0ede1c69f1f7b3db888ccee94869d72dc30390e174ad7c6f9f9f9d69d0afda8e
G394-043-e4fcec365b40c0a0,b642c14dbf473cab6d186983a3cf8fc4a9302ee55d56aee5e142301121b44624,hLv8cwl0asQ,hLv8cwl0asQ_s3705,3689,409.5,15.875,72babc216ffff84fbd33f7f560b9793f1030d4616725cc60099198325ad28dd7
G394-044-d3948163fa612e37,a67b4b75a3a0917c9b7a603effe91b7704f56ed26a85e84042eee57700bbfbdd,ql7kzzTRo4M,ql7kzzTRo4M_s5610,2057,1431.0,10.492,4bc3d3180d9d782f884ddfdacd0f42c852c7eafed91d5c39498693e3d8fdfcb5
G394-045-60cb43dc223f0851,839db258cd89c74955aa838f19d61d0de1412c5caacde5aa827f688bdb6c70ff,ql7kzzTRo4M,ql7kzzTRo4M_s5610,3217,636.0,784.0,d3c21c53e8a926620d7a4be0fea135249c1223fc3a0ddecb1d92a878932fd81f
G394-046-a44cc34f8308278b,b3b02cc6ab153415109561e931892baf576f74fcaba037359835106e2dbfd9db,ql7kzzTRo4M,ql7kzzTRo4M_s5610,4304,1094.0,1057.5,90e79aab0900ed98e2eaf544d2beac6660e47fdc3d449114d4e23bdecf2e8b58
G394-047-c8bcefbd85ef55d2,5e861f32c88b4ef18afcc5f4341dd1e351f1e711cb451d539739aa938b22b4dd,ql7kzzTRo4M,ql7kzzTRo4M_s5610,4377,1098.0,1059.5,cbb57d9cd87fff9928297c8eb18a0ea78cc95a7a18e4a27f95154e1cf96851b5
G394-049-a1d2a8f2cb3c7042,f79866f6cbfc5d7d4eb1e95248ca83154af4c2ffe30f1c7ac5e7ef39e23772e6,wJSOHbeQcg4,wJSOHbeQcg4_s5540,2315,1655.0,52.469,89c080b3fa602418dff8aa2e1a14e6a4171636d3c61428ea93c526719e51d20f
G394-050-44fa61adc1e71071,e892aa96b996be147b3c28800f4a39f5c123d4a280ba876b818e8ea3b534af32,wJSOHbeQcg4,wJSOHbeQcg4_s5540,2611,1814.0,1066.0,8e959a930b9604d73d190e608b58f7c46e10bc8f18368504908b2b55ff01eb53
G394-051-21492e3ae25939f1,d4e485dcc3506263ab151e8b77511b84a844c47a5c7904c710056285bcf15f7c,wJSOHbeQcg4,wJSOHbeQcg4_s5540,2759,1802.0,1061.5,9b0527b587a98b66ae8766d52a897c3c4a8c8ccc002f797124dd836e60460256
G394-052-afdfc7de671ae64c,726d4d1ef621e20d2a29a9a488f4bd2f2aa3085830b278babd33d5e243fdecfa,wJSOHbeQcg4,wJSOHbeQcg4_s5540,3055,791.0,262.0,f3db2d8eedf59b9d508b7cb6e1c5fb028b105973b8fd7ad1bd305306a1cd9f27
G394-053-48ae81e428203f41,303ac8d28eeb70d76f501c2db26c060116a2737673e2e628fe09f29d9abc4764,wptZj4SuFtE,wptZj4SuFtE_s2598,1134,1621.0,19.234,210658d724f05d00d912d281fcb7a9aecb7251f5f164aea260deba521e3e7763
