event_id,event_date,y,p_base,p_recalibrated_s05,standin_loss,loss_base,loss_recalibrated,paired_loss_differential,p1_id,p2_id,p1_id
20150104-atp-2015-339-103819-105683-27,2015-01-04,1.0,0.5,0.5,0.25,0.25,0.25,0.0,103819,105683,103819
20150105-atp-2015-451-104925-105583-1,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104925,105583,104925
20150105-atp-2015-451-104660-106325-2,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104660,106325,104660
20150105-atp-2015-451-104022-105932-3,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104022,105932,104022
20150105-atp-2015-451-103333-104586-4,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,103333,104586,103333
20150105-atp-2015-451-103970-105217-5,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,103970,105217,103970
20150105-atp-2015-451-104269-104559-6,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104269,104559,104269
20150105-atp-2015-451-103893-104460-7,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,103893,104460,103893
20150105-atp-2015-451-104259-105526-8,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104259,105526,104259
20150105-atp-2015-451-104665-104755-9,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104665,104755,104665
20150105-atp-2015-451-103794-104620-10,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,103794,104620,103794
20150105-atp-2015-451-104338-104882-11,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104338,104882,104338
20150105-atp-2015-451-104607-104797-12,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104607,104797,104607
20150105-atp-2015-451-104312-104919-13,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104312,104919,104312
20150105-atp-2015-451-104291-105154-14,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104291,105154,104291
20150105-atp-2015-451-104471-105633-15,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104471,105633,104471
20150105-atp-2015-451-103582-104745-16,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,103582,104745,103582
20150105-atp-2015-451-104660-104925-17,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104660,104925,104660
20150105-atp-2015-451-103333-105932-18,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,103333,105932,103333
20150105-atp-2015-451-103970-104269-19,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,103970,104269,103970
20150105-atp-2015-451-104460-105526-20,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104460,105526,104460
20150105-atp-2015-451-104620-104755-21,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104620,104755,104620
20150105-atp-2015-451-104607-104882-22,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104607,104882,104607
20150105-atp-2015-451-104312-105154-23,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104312,105154,104312
20150105-atp-2015-451-103582-104471-24,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,103582,104471,103582
20150105-atp-2015-451-103333-104925-25,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,103333,104925,103333
20150105-atp-2015-451-103970-104460-26,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,103970,104460,103970
20150105-atp-2015-451-104607-104755-27,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104607,104755,104607
20150105-atp-2015-451-104312-104471-28,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104312,104471,104312
20150105-atp-2015-451-103333-103970-29,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,103333,103970,103333
20150105-atp-2015-451-104312-104607-30,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104312,104607,104312
20150105-atp-2015-451-103970-104607-31,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,103970,104607,103970
20150105-atp-2015-891-104898-106432-1,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104898,106432,104898
20150105-atp-2015-891-104997-111200-2,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104997,111200,104997
20150105-atp-2015-891-104180-104273-3,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104180,104273,104180
20150105-atp-2015-891-104563-105575-4,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104563,105575,104563
20150105-atp-2015-891-104822-106210-5,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104822,106210,104822
20150105-atp-2015-891-104719-104890-6,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104719,104890,104719
20150105-atp-2015-891-104229-104500-7,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104229,104500,104229
20150105-atp-2015-891-105292-105807-8,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,105292,105807,105292
20150105-atp-2015-891-104268-105376-9,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104268,105376,104268
20150105-atp-2015-891-104198-105539-10,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104198,105539,104198
20150105-atp-2015-891-105147-106368-11,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,105147,106368,105147
20150105-atp-2015-891-105041-105379-12,2015-01-05,0.0,0.5,0.5,0.25,0.25,0.25,0.0,105041,105379,105041
20150105-atp-2015-891-104527-106432-13,2015-01-05,1.0,0.4066123223156663,0.4066123223156663,0.3521089360276066,0.3521089360276066,0.3521089360276066,0.0,104527,106432,104527
20150105-atp-2015-891-104180-111200-14,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104180,111200,104180
20150105-atp-2015-891-105575-105676-15,2015-01-05,0.0,0.5933876776843338,0.5933876776843338,0.3521089360276068,0.3521089360276068,0.3521089360276068,0.0,105575,105676,105575
20150105-atp-2015-891-104890-106210-16,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104890,106210,104890
20150105-atp-2015-891-104229-105807-17,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104229,105807,104229
20150105-atp-2015-891-105138-105376-18,2015-01-05,1.0,0.4066123223156663,0.4066123223156663,0.3521089360276066,0.3521089360276066,0.3521089360276066,0.0,105138,105376,105138
20150105-atp-2015-891-104198-105147-19,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104198,105147,104198
20150105-atp-2015-891-103852-105379-20,2015-01-05,0.0,0.4066123223156663,0.4066123223156663,0.1653335806589393,0.1653335806589393,0.1653335806589393,0.0,103852,105379,103852
20150105-atp-2015-891-104180-104527-21,2015-01-05,0.0,0.5697433243059083,0.5697433243059083,0.32460745559114745,0.32460745559114745,0.32460745559114745,0.0,104180,104527,104180
20150105-atp-2015-891-104890-105676-22,2015-01-05,0.0,0.5697433243059083,0.5697433243059083,0.32460745559114745,0.32460745559114745,0.32460745559114745,0.0,104890,105676,104890
20150105-atp-2015-891-104229-105138-23,2015-01-05,0.0,0.5697433243059083,0.5697433243059083,0.32460745559114745,0.32460745559114745,0.32460745559114745,0.0,104229,105138,104229
20150105-atp-2015-891-104198-105379-24,2015-01-05,0.0,0.5164024577257212,0.5164024577257212,0.2666714983451653,0.2666714983451653,0.2666714983451653,0.0,104198,105379,104198
20150105-atp-2015-891-104527-105676-25,2015-01-05,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104527,105676,104527
20150105-atp-2015-891-105138-105379-26,2015-01-05,0.0,0.46108388742594547,0.46108388742594547,0.21259835124382195,0.21259835124382195,0.21259835124382195,0.0,105138,105379,105138
20150105-atp-2015-891-104527-105379-27,2015-01-05,1.0,0.47142654711782706,0.47142654711782706,0.2793898950917827,0.2793898950917827,0.2793898950917827,0.0,104527,105379,104527
20150111-atp-2015-338-104660-105223-1,2015-01-11,0.0,0.5066458439774438,0.5066458439774438,0.2566900112196164,0.2566900112196164,0.2566900112196164,0.0,104660,105223,104660
20150111-atp-2015-338-104797-105062-2,2015-01-11,0.0,0.41606715788436965,0.41606715788436965,0.17311187986997698,0.17311187986997698,0.17311187986997698,0.0,104797,105062,104797
20150111-atp-2015-338-104597-104655-3,2015-01-11,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104597,104655,104597
20150111-atp-2015-338-104312-105577-4,2015-01-11,0.0,0.6784318385824575,0.6784318385824575,0.46026975960237365,0.46026975960237365,0.46026975960237365,0.0,104312,105577,104312
20150111-atp-2015-338-105668-106401-5,2015-01-11,1.0,0.5,0.5,0.25,0.25,0.25,0.0,105668,106401,105668
20150111-atp-2015-338-103794-104919-6,2015-01-11,0.0,0.5,0.5,0.25,0.25,0.25,0.0,103794,104919,103794
20150111-atp-2015-338-104871-105023-7,2015-01-11,1.0,0.5839328421156303,0.5839328421156303,0.17311187986997698,0.17311187986997698,0.17311187986997698,0.0,104871,105023,104871
20150111-atp-2015-338-104180-105032-8,2015-01-11,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104180,105032,104180
20150111-atp-2015-338-104997-106071-9,2015-01-11,0.0,0.3249964660816103,0.3249964660816103,0.10562270296553529,0.10562270296553529,0.10562270296553529,0.0,104997,106071,104997
20150111-atp-2015-338-104678-105373-10,2015-01-11,1.0,0.41267550632028205,0.41267550632028205,0.34495006087613705,0.34495006087613705,0.34495006087613705,0.0,104678,105373,104678
20150111-atp-2015-338-103813-104665-11,2015-01-11,0.0,0.5997857974582617,0.5997857974582617,0.3597430028326429,0.3597430028326429,0.3597430028326429,0.0,103813,104665,103813
20150111-atp-2015-338-104594-104620-12,2015-01-11,0.0,0.40021420254173823,0.40021420254173823,0.16017140791611947,0.16017140791611947,0.16017140791611947,0.0,104594,104620,104594
20150111-atp-2015-338-104926-105223-13,2015-01-11,0.0,0.4054006860229867,0.4054006860229867,0.16434971622790823,0.16434971622790823,0.16434971622790823,0.0,104926,105223,104926
20150111-atp-2015-338-104655-105062-14,2015-01-11,0.0,0.5354672260055299,0.5354672260055299,0.2867251501260572,0.2867251501260572,0.2867251501260572,0.0,104655,105062,104655
20150111-atp-2015-338-103898-105577-15,2015-01-11,1.0,0.29093123764374884,0.29093123764374884,0.5027785097494257,0.5027785097494257,0.5027785097494257,0.0,103898,105577,103898
20150111-atp-2015-338-104919-105668-16,2015-01-11,1.0,0.40021420254173823,0.40021420254173823,0.359743002832643,0.359743002832643,0.359743002832643,0.0,104919,105668,104919
20150111-atp-2015-338-104180-104871-17,2015-01-11,1.0,0.6059313255526679,0.6059313255526679,0.1552901201806774,0.1552901201806774,0.1552901201806774,0.0,104180,104871,104180
20150111-atp-2015-338-104259-106071-18,2015-01-11,0.0,0.2820156641686375,0.2820156641686375,0.07953283483647773,0.07953283483647773,0.07953283483647773,0.0,104259,106071,104259
20150111-atp-2015-338-104665-104678-19,2015-01-11,0.0,0.4012023447678796,0.4012023447678796,0.1609633214472445,0.1609633214472445,0.1609633214472445,0.0,104665,104678,104665
20150111-atp-2015-338-104620-105676-20,2015-01-11,1.0,0.4433499418003814,0.4433499418003814,0.3098592872936387,0.3098592872936387,0.3098592872936387,0.0,104620,105676,104620
20150111-atp-2015-338-105062-105223-21,2015-01-11,1.0,0.47586209912441174,0.47586209912441174,0.2747205391342679,0.2747205391342679,0.2747205391342679,0.0,105062,105223,105062
20150111-atp-2015-338-103898-104919-22,2015-01-11,0.0,0.437973301943253,0.437973301943253,0.19182061321507587,0.19182061321507587,0.19182061321507587,0.0,103898,104919,103898
20150111-atp-2015-338-104180-106071-23,2015-01-11,1.0,0.5440319584760026,0.5440319584760026,0.20790685489122981,0.20790685489122981,0.20790685489122981,0.0,104180,106071,104180
20150111-atp-2015-338-104620-104678-24,2015-01-11,0.0,0.47845336935295935,0.47845336935295935,0.22891762664519932,0.22891762664519932,0.22891762664519932,0.0,104620,104678,104620
20150111-atp-2015-338-104919-105062-25,2015-01-11,0.0,0.44018123418262195,0.44018123418262195,0.19375951892653626,0.19375951892653626,0.19375951892653626,0.0,104919,105062,104919
20150111-atp-2015-338-104180-104678-26,2015-01-11,0.0,0.5301440436467885,0.5301440436467885,0.28105270701416796,0.28105270701416796,0.28105270701416796,0.0,104180,104678,104180
20150111-atp-2015-338-104678-105062-27,2015-01-11,1.0,0.5590979035889577,0.5590979035889577,0.19439465861965202,0.19439465861965202,0.19439465861965202,0.0,104678,105062,104678
20150112-atp-2015-301-105030-105292-1,2015-01-12,1.0,0.5933876776843338,0.5933876776843338,0.16533358065893924,0.16533358065893924,0.16533358065893924,0.0,105030,105292,105030
20150112-atp-2015-301-103893-105077-2,2015-01-12,0.0,0.4066123223156663,0.4066123223156663,0.1653335806589393,0.1653335806589393,0.1653335806589393,0.0,103893,105077,103893
20150112-atp-2015-301-104229-104338-3,2015-01-12,1.0,0.6750035339183896,0.6750035339183896,0.10562270296553532,0.10562270296553532,0.10562270296553532,0.0,104229,104338,104229
20150112-atp-2015-301-105173-105643-4,2015-01-12,1.0,0.5,0.5,0.25,0.25,0.25,0.0,105173,105643,105173
20150112-atp-2015-301-104268-104907-5,2015-01-12,1.0,0.4066123223156663,0.4066123223156663,0.3521089360276066,0.3521089360276066,0.3521089360276066,0.0,104268,104907,104268
20150112-atp-2015-301-104932-105053-6,2015-01-12,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104932,105053,104932
20150112-atp-2015-301-105311-105449-7,2015-01-12,0.0,0.5097608698066894,0.5097608698066894,0.2598561443860726,0.2598561443860726,0.2598561443860726,0.0,105311,105449,105311
20150112-atp-2015-301-105807-106432-8,2015-01-12,1.0,0.5164024577257212,0.5164024577257212,0.23386658289372284,0.23386658289372284,0.23386658289372284,0.0,105807,106432,105807
20150112-atp-2015-301-105526-106233-9,2015-01-12,1.0,0.5066458439774438,0.5066458439774438,0.24339832326472868,0.24339832326472868,0.24339832326472868,0.0,105526,106233,105526
20150112-atp-2015-301-104198-106043-10,2015-01-12,0.0,0.5958402629635359,0.5958402629635359,0.3550256189684556,0.3550256189684556,0.3550256189684556,0.0,104198,106043,104198
20150112-atp-2015-301-104424-105385-11,2015-01-12,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104424,105385,104424
20150112-atp-2015-301-105064-106210-12,2015-01-12,0.0,0.49335415602255617,0.49335415602255617,0.24339832326472868,0.24339832326472868,0.24339832326472868,0.0,105064,106210,105064
20150112-atp-2015-301-105030-106298-13,2015-01-12,0.0,0.5762478038632177,0.5762478038632177,0.3320615314571814,0.3320615314571814,0.3320615314571814,0.0,105030,106298,105030
20150112-atp-2015-301-104229-105077-14,2015-01-12,0.0,0.5619570500758397,0.5619570500758397,0.31579572612993984,0.31579572612993984,0.31579572612993984,0.0,104229,105077,104229
20150112-atp-2015-301-105138-105173-15,2015-01-12,0.0,0.5414900887604503,0.5414900887604503,0.2932115162258004,0.2932115162258004,0.2932115162258004,0.0,105138,105173,105138
20150112-atp-2015-301-104268-104932-16,2015-01-12,1.0,0.41606715788436965,0.41606715788436965,0.3409775641012377,0.3409775641012377,0.3409775641012377,0.0,104268,104932,104268
20150112-atp-2015-301-105449-105807-17,2015-01-12,1.0,0.4879160550004021,0.4879160550004021,0.2622299667263513,0.2622299667263513,0.2622299667263513,0.0,105449,105807,105449
20150112-atp-2015-301-104731-105526-18,2015-01-12,1.0,0.3250694518624443,0.3250694518624443,0.4555312448092614,0.4555312448092614,0.4555312448092614,0.0,104731,105526,104731
20150112-atp-2015-301-105385-106043-19,2015-01-12,1.0,0.48189469751744246,0.48189469751744246,0.26843310446054236,0.26843310446054236,0.26843310446054236,0.0,105385,106043,105385
20150112-atp-2015-301-105208-106210-20,2015-01-12,0.0,0.41275614208531963,0.41275614208531963,0.17036763282915657,0.17036763282915657,0.17036763282915657,0.0,105208,106210,105208
20150112-atp-2015-301-105077-106298-21,2015-01-12,0.0,0.566284126436374,0.566284126436374,0.3206777118538073,0.3206777118538073,0.3206777118538073,0.0,105077,106298,105077
20150112-atp-2015-301-104268-105173-22,2015-01-12,0.0,0.4173526013121533,0.4173526013121533,0.1741831938220212,0.1741831938220212,0.1741831938220212,0.0,104268,105173,104268
20150112-atp-2015-301-104731-105449-23,2015-01-12,1.0,0.37233582300540924,0.37233582300540924,0.39396231908229695,0.39396231908229695,0.39396231908229695,0.0,104731,105449,104731
20150112-atp-2015-301-105385-106210-24,2015-01-12,0.0,0.5326974321821732,0.5326974321821732,0.2837665542534811,0.2837665542534811,0.2837665542534811,0.0,105385,106210,105385
20150112-atp-2015-301-105173-106298-25,2015-01-12,1.0,0.5500100101253835,0.5500100101253835,0.20249099098735743,0.20249099098735743,0.20249099098735743,0.0,105173,106298,105173
20150112-atp-2015-301-104731-106210-26,2015-01-12,0.0,0.39690808547458084,0.39690808547458084,0.15753602831509717,0.15753602831509717,0.15753602831509717,0.0,104731,106210,104731
20150112-atp-2015-301-105173-106210-27,2015-01-12,0.0,0.5397508691152538,0.5397508691152538,0.29133100071067186,0.29133100071067186,0.29133100071067186,0.0,105173,106210,105173
20150119-atp-2015-580-104925-105379-1,2015-01-19,1.0,0.35917519915759294,0.35917519915759294,0.41065642537471075,0.41065642537471075,0.41065642537471075,0.0,104925,105379,104925
20150119-atp-2015-580-105077-105723-2,2015-01-19,0.0,0.5813083517763215,0.5813083517763215,0.3379193998449035,0.3379193998449035,0.3379193998449035,0.0,105077,105723,105077
20150119-atp-2015-580-104424-111200-3,2015-01-19,1.0,0.40021420254173823,0.40021420254173823,0.359743002832643,0.359743002832643,0.359743002832643,0.0,104424,111200,104424
20150119-atp-2015-580-104269-104868-4,2015-01-19,1.0,0.5066458439774438,0.5066458439774438,0.24339832326472868,0.24339832326472868,0.24339832326472868,0.0,104269,104868,104269
20150119-atp-2015-580-104499-104545-5,2015-01-19,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104499,104545,104499
20150119-atp-2015-580-104890-106362-6,2015-01-19,1.0,0.587324493679718,0.587324493679718,0.17030107351670115,0.17030107351670115,0.17030107351670115,0.0,104890,106362,104890
20150119-atp-2015-580-104180-105807-7,2015-01-19,1.0,0.6995412085917242,0.6995412085917242,0.09027548533452179,0.09027548533452179,0.09027548533452179,0.0,104180,105807,104180
20150119-atp-2015-580-105138-106233-8,2015-01-19,1.0,0.6406297817281378,0.6406297817281378,0.1291469537807659,0.1291469537807659,0.1291469537807659,0.0,105138,106233,105138
20150119-atp-2015-580-103852-106045-9,2015-01-19,1.0,0.517642371272887,0.517642371272887,0.23266888199124336,0.23266888199124336,0.23266888199124336,0.0,103852,106045,103852
20150119-atp-2015-580-105173-105641-10,2015-01-19,1.0,0.7298103527843127,0.7298103527843127,0.07300244546253755,0.07300244546253755,0.07300244546253755,0.0,105173,105641,105173
20150119-atp-2015-580-105655-105668-11,2015-01-19,0.0,0.5108845487613162,0.5108845487613162,0.26100302216305366,0.26100302216305366,0.26100302216305366,0.0,105655,105668,105655
20150119-atp-2015-580-104792-106298-12,2015-01-19,1.0,0.36905506277586514,0.36905506277586514,0.39809151380876756,0.39809151380876756,0.39809151380876756,0.0,104792,106298,104792
20150119-atp-2015-580-103794-103898-13,2015-01-19,1.0,0.3634695920656046,0.3634695920656046,0.40517096022512783,0.40517096022512783,0.40517096022512783,0.0,103794,103898,103794
20150119-atp-2015-580-103720-105585-14,2015-01-19,1.0,0.4066123223156663,0.4066123223156663,0.3521089360276066,0.3521089360276066,0.3521089360276066,0.0,103720,105585,103720
20150119-atp-2015-580-105047-105385-15,2015-01-19,0.0,0.40368852134772387,0.40368852134772387,0.16296442226791172,0.16296442226791172,0.16296442226791172,0.0,105047,105385,105047
20150119-atp-2015-580-105011-105683-16,2015-01-19,0.0,0.29604785278076323,0.29604785278076323,0.08764433113610046,0.08764433113610046,0.08764433113610046,0.0,105011,105683,105011
20150119-atp-2015-580-104527-104947-17,2015-01-19,1.0,0.8191352206891653,0.8191352206891653,0.032712068395156925,0.032712068395156925,0.032712068395156925,0.0,104527,104947,104527
20150119-atp-2015-580-104665-105657-18,2015-01-19,0.0,0.5390270941990244,0.5390270941990244,0.29055020828064393,0.29055020828064393,0.29055020828064393,0.0,104665,105657,104665
20150119-atp-2015-580-103813-104979-19,2015-01-19,1.0,0.5020616339417147,0.5020616339417147,0.24794261639279497,0.24794261639279497,0.24794261639279497,0.0,103813,104979,103813
20150119-atp-2015-580-104655-104897-20,2015-01-19,0.0,0.5004145941387536,0.5004145941387536,0.2504147660270534,0.2504147660270534,0.2504147660270534,0.0,104655,104897,104655
20150119-atp-2015-580-103893-105238-21,2015-01-19,1.0,0.33395697808554153,0.33395697808554153,0.4436133070409437,0.4436133070409437,0.4436133070409437,0.0,103893,105238,103893
20150119-atp-2015-580-105023-105577-22,2015-01-19,0.0,0.3351591044647366,0.3351591044647366,0.11233162530560424,0.11233162530560424,0.11233162530560424,0.0,105023,105577,105023
20150119-atp-2015-580-104198-105376-23,2015-01-19,1.0,0.5134891470001719,0.5134891470001719,0.23669281008662035,0.23669281008662035,0.23669281008662035,0.0,104198,105376,104198
20150119-atp-2015-580-104926-105292-24,2015-01-19,0.0,0.588382850364551,0.588382850364551,0.3461943786031136,0.3461943786031136,0.3461943786031136,0.0,104926,105292,104926
20150119-atp-2015-580-103970-105064-25,2015-01-19,1.0,0.8854151901533661,0.8854151901533661,0.013129678647589245,0.013129678647589245,0.013129678647589245,0.0,103970,105064,103970
20150119-atp-2015-580-104660-105583-26,2015-01-19,1.0,0.5174408073488295,0.5174408073488295,0.23286337441214952,0.23286337441214952,0.23286337441214952,0.0,104660,105583,104660
20150119-atp-2015-580-103565-104719-27,2015-01-19,0.0,0.5933876776843338,0.5933876776843338,0.3521089360276068,0.3521089360276068,0.3521089360276068,0.0,103565,104719,103565
20150119-atp-2015-580-104468-104898-28,2015-01-19,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104468,104898,104468
20150119-atp-2015-580-103401-105053-29,2015-01-19,0.0,0.5933876776843338,0.5933876776843338,0.3521089360276068,0.3521089360276068,0.3521089360276068,0.0,103401,105053,103401
20150119-atp-2015-580-105449-106378-30,2015-01-19,1.0,0.5605721590327646,0.5605721590327646,0.19309682741712594,0.19309682741712594,0.19309682741712594,0.0,105449,106378,105449
20150119-atp-2015-580-104471-105154-31,2015-01-19,1.0,0.5920426138582855,0.5920426138582855,0.16642922890757997,0.16642922890757997,0.16642922890757997,0.0,104471,105154,104471
20150119-atp-2015-580-104597-105453-32,2015-01-19,0.0,0.2897490076133919,0.2897490076133919,0.08395448741294544,0.08395448741294544,0.08395448741294544,0.0,104597,105453,104597
20150119-atp-2015-580-104268-104607-33,2015-01-19,0.0,0.28685060681863267,0.28685060681863267,0.0822832706322178,0.0822832706322178,0.0822832706322178,0.0,104268,104607,104268
20150119-atp-2015-580-103607-103781-34,2015-01-19,0.0,0.5933876776843338,0.5933876776843338,0.3521089360276068,0.3521089360276068,0.3521089360276068,0.0,103607,103781,103607
20150119-atp-2015-580-104678-106210-35,2015-01-19,1.0,0.5456602980374338,0.5456602980374338,0.20642456477943352,0.20642456477943352,0.20642456477943352,0.0,104678,106210,104678
20150119-atp-2015-580-104919-105357-36,2015-01-19,1.0,0.6035062200127987,0.6035062200127987,0.15720731756853915,0.15720731756853915,0.15720731756853915,0.0,104919,105357,104919
20150119-atp-2015-580-103908-104259-37,2015-01-19,0.0,0.6401902366291757,0.6401902366291757,0.40984353907532,0.40984353907532,0.40984353907532,0.0,103908,104259,103908
20150119-atp-2015-580-104735-106071-38,2015-01-19,0.0,0.38608685522723285,0.38608685522723285,0.14906305977925427,0.14906305977925427,0.14906305977925427,0.0,104735,106071,104735
