presentation_index,crop_id,category,free_text
53,blind_072.jpg,BARE COURT OR FLOOR,Cross is on gray court below the nearby player's shoe.
54,blind_042.jpg,PLAYER'S BODY not feet,Cross is on the upper torso/shoulder area of the player in the black jersey.
55,blind_035.jpg,PERSON not a player in play,Cross is on the head/hair of a seated courtside person above the promo graphic.
56,blind_010.jpg,BARE COURT OR FLOOR,Cross is on gray court below the player's purple shoes.
57,blind_068.jpg,PLAYER'S BODY not feet,Cross is on the upper arm/shoulder of the foreground player.
58,blind_026.jpg,PLAYER'S FEET,Cross overlaps the purple shoe of the player standing in the paint.
59,blind_051.jpg,PLAYER'S FEET,Cross overlaps the purple shoe of the player in blue leggings.
60,blind_040.jpg,BARE COURT OR FLOOR,Cross is on the midcourt stripe below the running player's feet.
61,blind_066.jpg,PLAYER'S FEET,Cross overlaps the purple shoe/foot of the player in blue leggings.
62,blind_034.jpg,BARE COURT OR FLOOR,Cross is on the black painted lane between moving players.
63,blind_039.jpg,PLAYER'S FEET,Cross overlaps the cluster of players' shoes on the black painted court.
64,blind_012.jpg,PERSON not a player in play,Cross is on the head of a seated courtside person below the official.
65,blind_002.jpg,PLAYER'S FEET,Cross is on the dark shoe of the defending player at the paint boundary.
66,blind_069.jpg,BROADCAST GRAPHIC OR SCORE TICKER,Cross is on the top edge of the black sports ticker.
67,blind_048.jpg,PLAYER'S FEET,Cross overlaps the white shoe of the player crossing the centre-court logo.
68,blind_062.jpg,BARE COURT OR FLOOR,Cross is on open gray court between the defender's feet.
69,blind_053.jpg,PERSON not a player in play,Cross is on the lower leg of the sideline official.
70,blind_057.jpg,PLAYER'S FEET,Cross is on the dark shoe of the player running across the top of the paint.
71,blind_041.jpg,PLAYER'S FEET,Cross overlaps the red shoes of the player in white.
72,blind_011.jpg,BARE COURT OR FLOOR,Cross is on the black painted court/arc below the nearby defender.
