clip,source_frame,blind_label,blind_reason,render
tennis_10,4223,uncertain,not_identifiable_in_2x_render,renders/tennis_10_f4223.jpg
tennis_10,4098,uncertain,not_identifiable_in_2x_render,renders/tennis_10_f4098.jpg
tennis_10,4218,uncertain,not_identifiable_in_2x_render,renders/tennis_10_f4218.jpg
tennis_10,4263,uncertain,not_identifiable_in_2x_render,renders/tennis_10_f4263.jpg
tennis_10,4243,uncertain,not_identifiable_in_2x_render,renders/tennis_10_f4243.jpg
tennis_10,4183,uncertain,not_identifiable_in_2x_render,renders/tennis_10_f4183.jpg
tennis_10,4163,uncertain,not_identifiable_in_2x_render,renders/tennis_10_f4163.jpg
tennis_10,4193,uncertain,not_identifiable_in_2x_render,renders/tennis_10_f4193.jpg
tennis_10,4253,ball_visible,identifiable_ball_in_2x_render,renders/tennis_10_f4253.jpg
tennis_10,4228,uncertain,not_identifiable_in_2x_render,renders/tennis_10_f4228.jpg
tennis_10,4093,ball_visible,identifiable_ball_in_2x_render,renders/tennis_10_f4093.jpg
tennis_10,4123,uncertain,not_identifiable_in_2x_render,renders/tennis_10_f4123.jpg
tennis_10,4173,ball_visible,identifiable_ball_in_2x_render,renders/tennis_10_f4173.jpg
tennis_10,4083,uncertain,not_identifiable_in_2x_render,renders/tennis_10_f4083.jpg
tennis_10,4203,uncertain,not_identifiable_in_2x_render,renders/tennis_10_f4203.jpg
tennis_10,4208,ball_visible,identifiable_ball_in_2x_render,renders/tennis_10_f4208.jpg
tennis_10,4188,uncertain,not_identifiable_in_2x_render,renders/tennis_10_f4188.jpg
tennis_10,4213,ball_visible,identifiable_ball_in_2x_render,renders/tennis_10_f4213.jpg
nyYk_720p,34109,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34109.jpg
nyYk_720p,34103,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34103.jpg
nyYk_720p,34085,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34085.jpg
nyYk_720p,33977,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f33977.jpg
nyYk_720p,34133,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34133.jpg
nyYk_720p,34025,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34025.jpg
nyYk_720p,33995,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f33995.jpg
nyYk_720p,34121,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34121.jpg
nyYk_720p,34061,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34061.jpg
nyYk_720p,34043,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34043.jpg
nyYk_720p,34037,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34037.jpg
nyYk_720p,34049,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34049.jpg
nyYk_720p,34079,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34079.jpg
nyYk_720p,34091,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34091.jpg
nyYk_720p,34013,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34013.jpg
nyYk_720p,33983,uncertain,not_identifiable_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f33983.jpg
nyYk_720p,34127,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34127.jpg
nyYk_720p,34001,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34001.jpg
nyYk_720p,34151,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34151.jpg
nyYk_720p,34073,ball_visible,identifiable_ball_in_2x_render,renders/tennis_nyYk2nPZAwY_720p_f34073.jpg
