frame_key,why,gap_native_px
22c28f55c3efe6b0f206f20d8aa2336d8ea3506057151d8a344dcba758005f36,LABEL-DISAGREEMENT,
22e98406f7f0f899d6465019599dd6680c6a8736673ddfe06e251525ad697f69,LABEL-DISAGREEMENT,
2309e67fdc71bfdddf3d319748817c69c0bdcdf18d962791500928e731a3dc9a,CENTRE-GAP,19.04
26c27cbb31f84f96a5da3482aa015dd0e9f8d48597ff7a0c27467f74ab25bba9,LABEL-DISAGREEMENT,
2907518c14b187e352f9ecd8c7e8724c263e2df27e9cae75731b594f31ef1d5b,LABEL-DISAGREEMENT,
290c6cea365404bae102a2f78e22a9b4d107c09e87493de858c7ba03b45c4480,CENTRE-GAP,67.54
290f7b67972e672fe1a0a0b2cc4f6ab788add9e028e3a949aee479a66bca4dee,CENTRE-GAP,234.21
2b6e49e2f950178f74349cb185aaf579c151d5a3d640232cdba6ec8a872be2d4,CENTRE-GAP,28.78
2e0b72280994946d59aa37cb37eef81a89e3ead8e763fa672bdb82177d6e7810,LABEL-DISAGREEMENT,
2ea774f6f5552f26ea8f6f959b28362e546e7efe8c6fe3b370680c44919ae654,CENTRE-GAP,44.29
2f24e5cd62fabfd2ed1e1c05d0a6336ae09f0f80086bc670f87759a165a87d9d,LABEL-DISAGREEMENT,
3165e55916cea74c57ac4c0a9bdc9bd708c8f0f7fa25e8a193ca6faa9db76de6,CENTRE-GAP,54.34
3254de6fde5024f61e8505fb0a185b0fb526b5b6c80568ffdb6aa07e9c809164,CENTRE-GAP,46.17
33dbd104f0a73329c1c73af8b184788d76676b73fef93b514d545b18bc2d7741,CENTRE-GAP,29.65
33dc23e5492f0b49d19cb87f93aeff6e83e1fa811076128357352f6835141c6e,LABEL-DISAGREEMENT,
33eb0e7de74f3a78beb15afce8026676fc78705cead13fc362192b505e8db36b,LABEL-DISAGREEMENT,
36532f71366e5a2dc0f1a1c065a989f8baf353045b2b8ae885c374fec1e9c8e7,CENTRE-GAP,21.93
37ee688042c8248578268f968f4d5d8d1caa2730366d4551c0307d93254079d0,CENTRE-GAP,43.55
383b142a1be68bb5e8312a29b9c99fb1cdb479809b6acfeb03726e622afec6da,CENTRE-GAP,712.01
3896f57a5bd1667fcc6c93327347c3d0b9f7f1366c471362499853464b2d44a7,LABEL-DISAGREEMENT,
394f46686bc97ad1945fefa8ec8f48f74ce24cbc08bc18cf7e3bf02c9b65475c,CENTRE-GAP,34.5
39b13d9316e05aa162168010bc88eea8d6a9318faf9416821db1b579950b6c5f,CENTRE-GAP,23.51
39c210c1f166a373abb750fe5d06199a4782e395b68b3a57a65441b1a7c54a5c,CENTRE-GAP,726.84
3a31d8836b19581181d5ea0bf18e89a0fc42b01f7df725eeb8903baac1c22d0e,LABEL-DISAGREEMENT,
3ae0fff0a317153afef93c383efcc1b40c3b37f53b32a6fef0ca3954cc687fbb,CENTRE-GAP,543.29
3ba99903fb7cae0ff0489953252e89d6c609ffaf3c610876c0abf2204a1263ad,CENTRE-GAP,31.58
3c8c0a44838309207cf22158cbb7e9914cc67e24114ec6a0f28a9dda882fcdfd,CENTRE-GAP,17.03
3d4891ca3f32702ffa095d3de82a1d88937a97847eeceaf8df020f9493b687d6,CENTRE-GAP,84.39
3d5318d0d17c46655c5510847dddb32433691623b4f59c53f79a3e9ded650d95,CENTRE-GAP,81.25
3eb2c9bd0862a6d1db8476adf4a1b3d4cc36a4281c1be2dae96a4c6769454461,CENTRE-GAP,51.74
408efc38c7d543ce0eeade31cf43247c2562e14d5f184813bf56acef94f91e1a,LABEL-DISAGREEMENT,
41b459271db851cf2c861263ac11e2e52bbeeb648a592f1ea404c58cbb6536e5,CENTRE-GAP,26.67
424211bdf26aa550870d00f7bb1e8cfcd06c21dab0354f1db14e382cb9541bf7,CENTRE-GAP,198.03
441473eea62061e77f4daca047f9f757aaad339078fa2f73b3faa5300b7b1040,LABEL-DISAGREEMENT,
4433c39d5da92ee7786f63058d6b00c2a3e84671fae8797514e15e39e9d1b8c3,LABEL-DISAGREEMENT,
445e5f195edf4007ddcfb0ab6b008e2bf83fe6fc22c56f21f45000cbf27b557c,LABEL-DISAGREEMENT,
4473aedf8e96a8cbf91702640ea4d9ee124fb8c1750c503e1b627cb211dbde09,LABEL-DISAGREEMENT,
44bf0619ae02ca31c3364d9dd7395594714817101afb7e07b5030a30af24b984,LABEL-DISAGREEMENT,
44c5afc97e5bc535fedb3ffcf6371ebae4f670bac4b6e250e40dc5d2f4dc97e5,CENTRE-GAP,216.32
453686d20144ab5ca65bdeffdd9f95ae2cde4e1cb321bfdfad4837b65885c927,CENTRE-GAP,127.08
4611c69c32f611af37909a8fb2aacbfd5c58d331e9877c62b69024298b5b8c80,LABEL-DISAGREEMENT,
46dde8e433b5c3028ebeef71d2669bbfb6425dc6de9dc6ac2eb0622d418dc48a,LABEL-DISAGREEMENT,
4744fa7555650701b590b615e3f20ef303d8455f51fb43e22b0f4a64ab771d28,LABEL-DISAGREEMENT,
49341414e11fe056a26aeb57fd4e2b23f0fcfa2e6782e7140ee89adda72ec608,LABEL-DISAGREEMENT,
496b17f368a9e490d9a203531fb0a5239d30c2f863d7b5a0c8755e88d9f19c17,LABEL-DISAGREEMENT,
4a560b4a53ad369904dea201e1072393c307935cf894fdf4fd91c1d0de62aed5,CENTRE-GAP,64.78
4d0ca1a50dcaddd48d69b4d55d1f2ad5083270177e76bd2b9e5964df7546dc48,LABEL-DISAGREEMENT,
4de1c405885f132d8c5747f9b392d626708dfe6306316130cb3da21aada3db45,LABEL-DISAGREEMENT,
4fa015dcb42c41266b334822735652e11af194fd48e56d6fec58dabd6161ebe9,CENTRE-GAP,32.19
50e1249eaad66208d52c08d96dafeef6efb0778b4b91a9977a18d722b1ca3c14,CENTRE-GAP,64.81
529d9ff7571fca0545c7df164117c1f45a8b6c6f56fdb196798707877639a686,LABEL-DISAGREEMENT,
52bf5ee4997d267f0dda861eb1a58401d5b87ee8fd6bcd27e6d15624377469c8,LABEL-DISAGREEMENT,
53dbf0f11ab23f4b2433ec13e1e720236f1c1360d356f75d66f209b5b11d5129,LABEL-DISAGREEMENT,
544535309fc9c57266af20adddfeeb74dcbcbf61f17e17037e3e4537e3d7bc6e,CENTRE-GAP,514.4
55390fa05f2076b45fd19050207232f8a5313a587f9c21111e3d61cb4a1fc7df,LABEL-DISAGREEMENT,
57203e476711e545033caf6a188710e92015c86527866b5d777ac08ae6dd3889,LABEL-DISAGREEMENT,
574d6547a63a7841295dedbe3076a6e217b5d63306a6168379ba17db4699b20f,LABEL-DISAGREEMENT,
581caeef18eba2a2e9479409135d2d047de4c69d0566bea5e34f478e06ed1c2c,LABEL-DISAGREEMENT,
582edf9bf2107782543d4f8a5885620f78d829e419ae726379d51ca14a16326c,LABEL-DISAGREEMENT,
5a7a00430493c186a8dd1495e8f8b39a1005cbbf6f4c49b30fc673938dd2d4e6,LABEL-DISAGREEMENT,
5bb6f4b7699ccadfd90897ca8fb1fd8f352e95e37f54e9d58a8304be2b19aa9f,LABEL-DISAGREEMENT,
5d03fad32d3076a2ba9e2c6080fef49b8126f67e979226a114dc87a8d38827bc,CENTRE-GAP,645.2
5df1a11c1e666bc1ef3dcbb12daf787b895593d5140c5326467ba70b2d7f46d5,LABEL-DISAGREEMENT,
5dfdfdc86a2754f8a7b74c5b3ea4a0d4169ba9000b020970f8a230df0cb347c6,CENTRE-GAP,266.68
612ef2ab8c55cd0ceff5b761bdbf93aa4b247dab9a0affb1ff6be137dd0d36a8,LABEL-DISAGREEMENT,
61662c717603cef63dd7ea6482f664f85f39481d2117678293b94c7b53f3de4b,CENTRE-GAP,87.02
620c2af62306f9ede417022d461d7318eb9e91044cf6d6b8616831328cccf9d2,LABEL-DISAGREEMENT,
62b2d7ae5e4b00b044ce2cd0e85b4ad22e3deff4c5d8c226ec46b2bc5b073d3f,CENTRE-GAP,34.53
6355816e103ceb0c623b2695971caa778054b7edbb94c71388543d442b42eb9e,CENTRE-GAP,46.23
6613b7a9b76fcff763047af30180973b833959066fd5434cf9fa049d998d602f,CENTRE-GAP,120.5
6679856f073c073940a82b5df8553a3643f59368fc595e9330263a7bd2540048,CENTRE-GAP,20.06
68db51861b834a46b3eca24c56614a3d977ac2ff1be4802df89a218682a03346,LABEL-DISAGREEMENT,
690a03e2b14efb66b1d688d53241fec2b948ab1cb19ac9c3fdea18887a86d4bb,CENTRE-GAP,45.88
69c8d65657470a90320bf75ef1a4354f5d8ea2de7cd2eeb18ce94deaf36c6e7e,CENTRE-GAP,24.42
6a1479e9e4e22332cda67c6a0e64e28445aaf00db3863d131c2558b1a5ba3d45,LABEL-DISAGREEMENT,
6a6248beb18152cb5364ae41b3cebfdf880dfcba5a1e0102e534c49edc23ab96,CENTRE-GAP,39.39
6aa27e4930c2aeeb81bbf72101d99c9768ebb417c7bd2dc7210024a12aa3ece9,CENTRE-GAP,34.0
6cb85a29d283a18e01c4ddb2cd9ab27040a700a6d808971a1d21e26f4f72fa89,CENTRE-GAP,27.24
6d75621d11cdcb03d8e88f40c4435707e05225ca49a948284ab190bb2f1ea082,CENTRE-GAP,51.43
6eeddd8f17506e7b27834807a8b0baa9ff74b6583041ce5280b041dc15988882,CENTRE-GAP,59.85
6fda11eb77b6d356db6cdb7fc50d5a18cca57dd06d33dfeff6b45a6cf9c767aa,LABEL-DISAGREEMENT,
6fe274c47d1e9fe3ce8f5f7ac2da38badcc9bb0eb295c2bb10bdfd5ff1f8ba27,LABEL-DISAGREEMENT,
719900eee66c2050e5f49731a1bae05e30c5651ac033cc635896343b3dad626b,LABEL-DISAGREEMENT,
730c27852a70c0f919f50dd34294d1c52e47a7b2e64f4f0b68a6122ba7a6ab26,CENTRE-GAP,64.11
737c1d5502b5460479290270e1edd7c2c40313b99d30ca3a816fd98efa5e68c4,LABEL-DISAGREEMENT,
738b8e170bb373b22eaacef20dc1c172db25db9b78c3f7d917840b408c7005e0,LABEL-DISAGREEMENT,
73f850d90cb72fdb318fafe8653c4be5daa374a1016c8a8204f54f56e14b3a33,CENTRE-GAP,771.81
7425bd4ef81c68e48328dbc88d59153d747f31e8f38d74c7e7ce5ffb9cc93d8d,CENTRE-GAP,697.05
7454f6240515e193688ac25cc3878dfcb701670aa11fa93d573dd24bc6a58531,LABEL-DISAGREEMENT,
7691b236d8526bc570e5ff879031fce2c283bb3b50ac74844d4db2bee2afac12,CENTRE-GAP,35.65
76d829c36fb38249a4a351194cc548e43eeae15c03c9a8162ddaa8eed47ca739,CENTRE-GAP,71.0
782cd096c79ce0124a3dbbbb88b1a5d9801aeb43f55f435bb16164347ec2065d,LABEL-DISAGREEMENT,
7a5519b3683d493279dffd3b2368e275ba904e52998ba3d7103fa09d9b174be9,LABEL-DISAGREEMENT,
7c38e9a68ae4466a3a3f947f7aa1f6de70fce0e80057bb67068ba7a987e340be,CENTRE-GAP,33.81
7fc87220c35280d26f8d711656eb4df34f2b601bfcdc5158a76fe901f1a8e398,CENTRE-GAP,231.0
80ba95dba40b40e4ca1623c12a3c39256d4c3231d66d6b5672632cc82098ed24,LABEL-DISAGREEMENT,
81873f75ec75df73958dedc3a36ef5f92e8e1e770870ae26bfdbf72d2f376dc7,LABEL-DISAGREEMENT,
821d25c767cb4ada985469b30524c5ae8a138e729990ff6e6f04dc6d7d459a19,LABEL-DISAGREEMENT,
82c470d699956c885fe6f200926b670df97dad40b19613843cfc29b73a5fbc70,CENTRE-GAP,247.36
82ca705caaffafbfbde713d6bf1cb30ac2114267a4aa3ac1583017a7bd6cd795,CENTRE-GAP,218.01
83290a1a5b174292eddcc46f2b8e0f4c68d79c88a584833ade464e5582a20950,LABEL-DISAGREEMENT,
839db258cd89c74955aa838f19d61d0de1412c5caacde5aa827f688bdb6c70ff,LABEL-DISAGREEMENT,
841406dea175fadeafa282e4a46ab01c22f30793c201c2c42442b5e9fa07c01a,CENTRE-GAP,39.27
857d01dfed9f343348d633f45ad158d6fd4b6cfb1748f8db6b0613dd44bdfa67,LABEL-DISAGREEMENT,
8684ac24673bc0956e06bedea7df176aed54646629e2babf8223438a25655089,LABEL-DISAGREEMENT,
86d64ffa5f682f0bbe49b7ae6df4c540a94e4602e960ce9127c2558b5931c3d1,LABEL-DISAGREEMENT,
874b0ce2aba3ff14d775e032c4bd5818c6bb09d652352ad48b283e82e50e2ff7,LABEL-DISAGREEMENT,
8a2212748632966926bdb8aa1f2840da60419430f33ac0a187a6dc95ee31c422,CENTRE-GAP,61.85
8a31130a612bf0911742c50ed2c50f3bd75d2784fed55be85b52f477828eb7de,CENTRE-GAP,421.7
8a71ecf43fd98056aa4c7051593402c5045349b8f50cd71fc9e865561945dfc0,CENTRE-GAP,17.85
8a759db21e22d9b46c4257aa6dda0e6e16a6191c1a5ccb5d36ba28bdfddbae95,LABEL-DISAGREEMENT,
8afdb97e4ed4975c13366c296f32940f37b56c5860c92d3b561e7621c9950f80,CENTRE-GAP,52.15
8b5dddd197b26820d699f81a375ba72783e2d25868bc07cc672e934ae5ac08f2,CENTRE-GAP,217.64
8d33da4087aae1ca3066be26b29bdf1fe338c536f7d05f156c34abcaf2403dd3,LABEL-DISAGREEMENT,
8d5b2b3c0b8763b0f0db5d8b4e074138b845cf9751720663a6ff217428452fd1,LABEL-DISAGREEMENT,
8d6e3ca03ccdc8d53e89533b7ccf83fc930c8ac37c8c76486ebd943ba9944e09,LABEL-DISAGREEMENT,
8e320a0fffa0fdb87ee022d1ea7b194ae6424a72f17809c079ebf50ae50f136a,CENTRE-GAP,764.7
8e75164581e242118111d367503ceb68f6d53d09f7fbd7f1b710409b3c8f27a9,LABEL-DISAGREEMENT,
8e7e22d96b7b81077ac9bca460f03e6f7ed360ec84124a0d4d41969871a383a2,LABEL-DISAGREEMENT,
8ec372e96f437d5cc58b205b33ceec70b7d60e6c7d0a4e3628da189fc0199e8c,CENTRE-GAP,19.53
8f7d53e4aab80f0da34787e4fc9b9b532c231776ea1830d879ec543f25695a11,CENTRE-GAP,845.12
908daf01ba0ea03fc9b0bbc244f165b9df3515477ac7e0775c1127331d26bdc4,LABEL-DISAGREEMENT,
9219999b49a21ec154d0aa4764186021647adfcc913df6943167108859a61629,CENTRE-GAP,27.54
93a1f9552036ab4f8824a729903fc83dc58e7d19805b28801ad80c6920ebf7eb,CENTRE-GAP,38.4
94c286feed13a545a8d4d114510f2bab69e6b6df4a0f457e823242dabe127c49,LABEL-DISAGREEMENT,
955a98cd2fa522a84e7f594f917e45b2fe00588fbf40d79367af10e9ae388527,CENTRE-GAP,25.93
9618f7b182f118664218c13d3bc0694ec24af865ec747ade93afe2f011b7b1c5,LABEL-DISAGREEMENT,
966fc277e15622e5212657ad4d9559959244e0ebf1c85bce0f583038db478097,LABEL-DISAGREEMENT,
986b875ca1e846ef09f76f5781b3fdb15444810a6a504abc62b7d7cb49643048,LABEL-DISAGREEMENT,
9b1cb353938d3904440b6cdff324bac8baed6ac035193edd5c04e7a4556dc89a,CENTRE-GAP,39.04
9b2fabdd9328188b5a76c441e9045e19c35784458993d72fb1ea2fe3488c1fe1,LABEL-DISAGREEMENT,
9bebb82ff4efdcb1879f9a506830b6e3be33831a60f2bcbd11844090352caf76,LABEL-DISAGREEMENT,
9cfed5db6a874e31939804f68111e31f37903181a25b8b2fbc8a001dd8852667,CENTRE-GAP,26.54
9dd07735ebb2c1f0b8940edb31161569a544b2a48793b7efb68fa581345e4c81,LABEL-DISAGREEMENT,
9dd920ed968a0c7b8fde40ed18f4c661a938831dd4ccd9e1f21dc4cf108aabf8,LABEL-DISAGREEMENT,
9e619c8794e085b29bed04b1c6223c1f77b2834bf45e30e8afcd932710032343,CENTRE-GAP,54.09
9f3e39ba1e780d197a84b9d59abf69b98904538c1c1a3c9924c7e196443c66d6,CENTRE-GAP,526.5
9f6bc8235112d70b1d5fe4cbbfcdb9fb7d717326ad86c5737d49e1e1b5a779c1,LABEL-DISAGREEMENT,
9f8c16a01f3d6fbc21b84da67099223e0977555a98be864c7b1048601a74d824,LABEL-DISAGREEMENT,
9fc7a394e3af6f381fc37a5e344e94f7935de035195138cae2c5e4e26a5a0e4a,LABEL-DISAGREEMENT,
9fead4c7337464183e293595e9c535922b01a9c22723953c0667dc80833e7c2c,LABEL-DISAGREEMENT,
a125eb8164e8a1027fe805be43b683adfa472a4ab3aa7e31af970eb630dfa8db,CENTRE-GAP,32.52
a501184c5ce1ba7445f0cb8b2f593f21d9de0dbba03b2a1c2367659200e2fd20,CENTRE-GAP,24.15
a5190ec4c92b51f2abb2386526ba30b131022d83dfe385df458072633a45b304,CENTRE-GAP,24.08
a572ec7277ec937e6831766f0bc7d846843f95f1b2772167469bec39b15befd8,LABEL-DISAGREEMENT,
a5a065e9cf918653fd6bcc3941f0456691438a9eb67e1eb7411345221c88fc45,LABEL-DISAGREEMENT,
a5a445b1cadd6908fac48e28f0428a6b92ca5b4dc2ba3e2d1001b2fd3f9822b2,CENTRE-GAP,31.95
a7e1b5ad168411710f9f674f5a11dbe988c2bf3f8aaccb1e982caf5e1953efa6,CENTRE-GAP,26.67
a7f31b00c9b3068214105265be850e393ce00daebe4b0a421c6ac44ce8321daf,LABEL-DISAGREEMENT,
ab0e4f6ada8cdda8e2b9ba35d1b812d141fa9795803eb8645caf24da4d697ed2,LABEL-DISAGREEMENT,
ab3a6c3c5a4aeb475adcf9bb0fc9cdba9c4f0a03110f6663f9139cb2a40ba440,CENTRE-GAP,80.9
ab9bb337ea14772dbae79c2b8e53e2f386e6408898af87d9cba29b1c0469dab9,CENTRE-GAP,379.56
adbb4cc1d4ac9a043ed18e6e92da64dd78023d6191bd134408d257091d6629b5,LABEL-DISAGREEMENT,
b1cb6633fc48051c209137f0885df2837158d54cc9ec222a42587cf6fa37e4f7,CENTRE-GAP,31.3
b21b286038c3db21b89558d40249b6cff4dc4dc617537dcdfc2222bab82386c2,CENTRE-GAP,23.29
b4fa729400972598aad1a850558b73c723eb394da591492185d1fb6df46e9410,CENTRE-GAP,18.12
b50d55a74545f50c699cf0451ac33a0986e401674802df5e9eca1ffca292f748,LABEL-DISAGREEMENT,
b7a2082d6195c6155c525ef5d6230be373b1c2a6b0ac19b99a58da74f122083b,CENTRE-GAP,459.71
b7ae0fca9906e6bc00fb0ba9160320180650bd2fd2651f5881023e2d4eb05c40,LABEL-DISAGREEMENT,
b84917cdbf318586d4153d6dee73109728d82b3f872b867bd965d482bf79af2c,LABEL-DISAGREEMENT,
b84afe3010872a855c45c1a25aa029b7fd886fe0bbc8f4bf2851b795b76c227d,CENTRE-GAP,187.56
b8f36a9692448126812862e4cdbdf5a2290f01907a3faa59c4ad4c767d2f137c,LABEL-DISAGREEMENT,
b9d6f540b4000ae4b66f960f41a609881e7af7688503c661c978f5ee39e09311,LABEL-DISAGREEMENT,
b9ddfc73add0532c0ba667ff69bf6ced4cbd9c2a3c811197b37e07630d997d61,LABEL-DISAGREEMENT,
ba1d29fe544563fe15630b04e0343868154aab26e718cfca3702ebef6978ffc8,LABEL-DISAGREEMENT,
bb17798d34b275ccb795db4341406c7c8eafb77d42c9ee45fb878c9d98ac0e38,CENTRE-GAP,833.37
bb7cbf538d4b2a22d3248ca614631d9cdffeb9e00b082496c2de524570400c2c,LABEL-DISAGREEMENT,
bb99aeb249c68a0d4a8f089c30498fab82442d57812d09fbdc6bda45563e99ae,LABEL-DISAGREEMENT,
bc3f5a77cb1d4e7a18aadb1fb129f41df38d70ed048d78ec0534e8e8e677f93d,CENTRE-GAP,413.7
bcc1174cac40a7db7fe859f14e22737f098826f06202f674fde4942198d42c11,CENTRE-GAP,583.92
bd251db670c174f56456f38789b25fb69a887d5741b2c48ee32c1434cdf0efac,LABEL-DISAGREEMENT,
bdcf73912f8622330a88d8ab513cc74c7b92e0f816cbc925ef88e7d177f4849f,LABEL-DISAGREEMENT,
be1e89d51985ee87dead837ecdb68dc78749a28a3c12a53bc3d73a6fc03415d7,LABEL-DISAGREEMENT,
becfa0b9bdff7d9fe8835390d9d755dc5f9286a743ef5b58e8daf0a5eb14bbae,LABEL-DISAGREEMENT,
c1800a4454c8725c6e03b09d0d79af2bbdc34ba6f050e0ec3494de1a0c44e1af,LABEL-DISAGREEMENT,
c2041840c53638e2be1ebc5aebe086e3480d9af53b6e4e6f4595972fccd4364a,CENTRE-GAP,33.56
c369d72b91fbeff401d1bc4ece46c8fc627d0b73dfcc6544220d968f5102a1ca,LABEL-DISAGREEMENT,
c6c877370ce1ce4ffcafb507055a4a44c37e0f0f5cdd5094cad2a44516859d07,CENTRE-GAP,83.6
c76ee0da93ac518297c823172a6a1c8f8795495dbb2083867130ee29549477f2,LABEL-DISAGREEMENT,
cb38f5846393f5c265f3c46a326277ec99fa139d615322ba5d2dba277d66be7b,CENTRE-GAP,28.64
d16ef963f9fa50e4135a8333965a0588c25576961e790a64ac759bf5cab3942b,CENTRE-GAP,26.52
d24ac86aa7ba64d870f7af0ea3a0b5260cdef25e78d54ca8dbfdb75c35b93b78,CENTRE-GAP,246.83
d377d870327deaab186158c707e9e5dc48aad395333b76fc9d0fc69790542867,CENTRE-GAP,32.88
d42bca0144652c3c6af2e91c8ef726d9a4fc32a2fc6e14095514da5199699192,CENTRE-GAP,20.16
d43765e3deb55ea4f2aa5c35d86e3a7dc64ea26bfe62d9d5582c158da8293ff7,CENTRE-GAP,38.42
d5082752eaba097c3035d9adb80efeaa6109ff71a5caa026861365ad9d461233,CENTRE-GAP,23.16
d59480f9b498cc710e78436a2d940eac320668e92fab7086d2d5026cf380446d,CENTRE-GAP,38.58
d8aa51bcedf5b6314fd9eaf2f43803a6b73cb724a93e6bd6120953ab4b7196f2,LABEL-DISAGREEMENT,
d8b71b236e3fcb8714ab4234c6192af52e6ac682e1163a880be84c907c71667f,CENTRE-GAP,256.6
d935e975e0a8292121501de9866e7cb8710ec5f4b471ef2f7e3a1ff215013d8f,LABEL-DISAGREEMENT,
da152a192732381bd61278c32c8cc126d803631c48e73d8d2e923d360f5b8386,LABEL-DISAGREEMENT,
da67841f4345b5b7edf3f20c98d13ae2e8c9b9a4f05946f0e8a7cb4663efd5d6,CENTRE-GAP,94.94
db6c83f5327fb31a641ac0a512d8f7c203b8ec9416e0185f0762ab03997837a6,CENTRE-GAP,24.55
dbbc4dcf2732bb135a017bf9bd31bbd92979f356375ff9daff5494cdd22d7165,CENTRE-GAP,56.32
dc0c28e9374e18f9a92441b8f9459e0300713e12f2c164d0d2f07d87755c4bd0,LABEL-DISAGREEMENT,
dceb30c775bdff9a1bd07e6e269e37c9c1b1e628073ecc172436beb2500e549a,CENTRE-GAP,102.58
de0cc3cf57ce7c958c9fc4d723ed30c4497c02170e6c817c91a5b480044b4af2,LABEL-DISAGREEMENT,
e0cd56a400a9b26b26c3aabb1994c1ee14da8a467eccc6161bc30060b4184991,LABEL-DISAGREEMENT,
e59a47671c939a2fac174ef719417bf6603a0515a5980131ce2f9a28ec535f9c,LABEL-DISAGREEMENT,
e77c98c41e982028acfbee8a02b3c6b73e37a8154fde2c7a9ac52342845a39d1,CENTRE-GAP,28.61
e7f0423fca786cb8825073fc441c3ee49f8b86cdd8e1423ee75932c0a497fa13,CENTRE-GAP,720.69
e99a19ae2822107ad333278c4a9286f6c5cef3d824129e5c7a6f924948dcebd6,LABEL-DISAGREEMENT,
e9eabd2541fcdefc0ab625ef0f0684c41f4c52b01243f8a0d7df71b4908d695b,CENTRE-GAP,118.75
ea5ff4d2d591eda627f24149dd17f61bf78cbb5634a20d2a657f0a685f4c532e,LABEL-DISAGREEMENT,
eb263ece4b97b5e0cc72dc93962931240e59e3508497cea948e91866f35bd5c9,LABEL-DISAGREEMENT,
ed28f554ab708533808caf2354a45ac6f2173c1c030504be0bb9045575a49ed4,LABEL-DISAGREEMENT,
ef826f16df2b6357674340f2e44f7abff82a3ed2e66b63e3caba7da12d8c8619,CENTRE-GAP,25.4
efb29f910a9cff50380d3504e314d1f7a24f3dc11dfefa739b6f412ab62a048b,LABEL-DISAGREEMENT,
f0a88241b612d84cad54d4a4f0b1a327b09a5b8509ff65d9230f0c73d240149a,LABEL-DISAGREEMENT,
f2f19e07e189ad0f8f4e8aae40dbe47995d9fa9ab437d49f521d47cd084a602e,CENTRE-GAP,63.83
f39e98b6c40929376130fb6c59f3a4725854b2b998806444da915e89067ec003,CENTRE-GAP,101.77
f45aa38f9fe625ae43a4ed6c84c0a8389d9291e58fb24a1502151adce2c67903,LABEL-DISAGREEMENT,
f4b8c2436cf9bcb5f988bcc06f60178dfadd942e7896cf4c275ca4c417a5cb80,CENTRE-GAP,221.01
f712f1fe0a07c7c6ed44cea23ad08f08e34fb8267635e8ad65f195e7c89d76fe,CENTRE-GAP,28.94
f87b8ea1887d1d2393139e48fe6079d80206809a4184acec725feafb4ddba02e,LABEL-DISAGREEMENT,
f8f985b5dbdef19f9d7fc80281e9d73711619c6e39d9c18287802fedd3c3d7f8,CENTRE-GAP,411.69
fb8993f79ed1da944090a4c404d2f728c9df8070bd0c328f3c03533de062075f,LABEL-DISAGREEMENT,
