section,split,game,offset_s,competition,fetch_utc,format_id,bytes,sha256,codec,width,height,avg_frame_rate,nb_frames,first_pts,status
GNjSxoeDT-E_s2244,development,GNjSxoeDT-E,2244,ncaa_basketball,2026-09-09T19:42:22Z,270,64402943,c8ea125ff4d13967bbb5560f7d999a607a2a10c1405d8cac0a62eaf6784aaf72,h264,1920,1080,30000/1001,3950,-1.768433,OK
6FlZaoWSfFw_s337,development,6FlZaoWSfFw,337,wnba,2026-09-09T19:42:53Z,270,61848075,54ef6dd12d3be73e9ae3ae479695db0eab24fbac0331372ff32dbf5645b8f41b,h264,1920,1080,30000/1001,3937,-1.301300,OK
EqseleqhpTk_s5310,development,EqseleqhpTk,5310,ncaa_basketball,2026-09-09T19:43:23Z,270,67282168,59f79bc74397d7950a2117eae35b27c0fd1bceaae0783464dac028c3189751e7,h264,1920,1080,30000/1001,4038,-4.704700,OK
wptZj4SuFtE_s2598,development,wptZj4SuFtE,2598,wnba,2026-09-09T19:43:49Z,270,53234546,c91101ef14aabd22a5966e2f9749a731d50b8e56a7c032ad18d1119405b5dbec,h264,1920,1080,30/1,3921,-0.666667,OK
fXLNra4sjjU_s90,development,fXLNra4sjjU,90,ncaa_basketball,2026-09-09T19:44:44Z,270,74946561,52bb9bdb90485d3bda39ee25f56e19cc228bf5a0f0d8fddb5e97d551316d8cbb,h264,1920,1080,30000/1001,4045,-4.938267,OK
3eeaJz1PJTM_s2572,development,3eeaJz1PJTM,2572,wnba,2026-09-09T19:51:04Z,270,70877597,4c5c274f4afcb100f7f923a90789f97adfbee2ad7b79757993db866f0a1e6cad,h264,1920,1080,30/1,4028,-4.233333,OK
850xnW8BoAU_s1358,development,850xnW8BoAU,1358,ncaa_basketball,2026-09-09T19:51:47Z,270,66026304,eca52e49f59b755d57900f7b4d82dac6e4021cb533a76ed8bf772d9e1e94ce59,h264,1920,1080,30000/1001,3947,-1.668333,OK
q9kHoUZvxik_s3681,development,q9kHoUZvxik,3681,wnba,2026-09-09T19:54:40Z,270,50100222,00896b16732d2b94c6d404cba839b1d81dac87348c79005b8537d0727b38e4f2,h264,1920,1080,30/1,3931,-1.000000,OK
h5pTl8fOM2U_s3399,development,h5pTl8fOM2U,3399,nba,2026-09-09T19:55:08Z,270,56862849,6b7a8efb8296e5ecb34ef0343f4b74e5a2af0890beb0578ed72415e129f277fa,h264,1920,1080,30000/1001,3965,-2.268933,OK
VEUJpELt_yA_s1212,development,VEUJpELt_yA,1212,ncaa_basketball,2026-09-09T19:55:40Z,270,66414211,002b7489a10b39a7070d7a04dabb84806ca4a41d1eb4ef4a898ed02b43d5deb3,h264,1920,1080,30000/1001,3942,-1.501500,OK
Hm7V4jOxlUI_s90,development,Hm7V4jOxlUI,90,nba,2026-09-09T19:56:25Z,,0,,,,,,,,ABSENT: ERROR: [youtube] Hm7V4jOxlUI: Video unavailable
7Ci3zQ5Vm4M_s3423,development,7Ci3zQ5Vm4M,3423,wnba,2026-09-09T19:56:32Z,270,53408759,dc65a9ff499d448a9a9e05be577aab5d83733755d40c571b6fef16536886f16e,h264,1920,1080,30/1,4042,-1.700000,OK
hOtf1-DI88w_s90,heldout,hOtf1-DI88w,90,nba,2026-09-09T20:02:09Z,312,79450139,440b98c0648993f3d79da6868c50d5105524962bad4ddcf8fd24fbf1b3915ec9,h264,1920,1080,721800000/12042029,8020,-3.787122,OK-RUNG312
UPco-jzOoEg_s2796,heldout,UPco-jzOoEg,2796,ncaa_basketball,2026-09-09T20:03:23Z,312,81981248,0ef4846ad18c77b13c7118b32bd4c5e4a45012d48e09be01d935bf6f425b0b7d,h264,1920,1080,60/1,7981,-3.000000,OK-RUNG312
wHs1OssEcAw_s1183,heldout,wHs1OssEcAw,1183,ncaa_basketball,2026-09-09T20:04:54Z,312,94835823,c9d31a9795251d9756293296374fe670558fec21d9ef30eeda2c19a3dc7c495f,h264,1920,1080,141786000/2365463,7877,-1.401400,OK-RUNG312
h6j_iLYRx8U_s90,heldout,h6j_iLYRx8U,90,ncaa_basketball,2026-09-09T20:06:39Z,312,94640420,711384d32a6869b1bdd044c505cf1dcd03522450aefe224cd6060c121df579f4,h264,1920,1080,353610000/5899393,7858,-1.084422,OK-RUNG312
HUSo3PzP7lo_s402,heldout,HUSo3PzP7lo,402,nba,2026-09-09T20:08:13Z,312,102524651,4f36d9d99f7cf4789c61a3c975102ec6c128031e1a754cd37f835168b2c99c36,h264,1920,1080,365850000/6103597,8130,-0.100100,OK-RUNG312
tDpmV777-IQ_s90,heldout,tDpmV777-IQ,90,ncaa_basketball,2026-09-09T20:10:24Z,312,77780150,656a1fb11e46d7112797a6fab0fe60d169790869b953057c86f9df28a62d8a3d,h264,1920,1080,721800000/12042029,8020,-3.787122,OK-RUNG312
XzIzQZBrPBY_s398,heldout,XzIzQZBrPBY,398,nba,2026-09-09T20:12:32Z,312,94263529,70fc81e4ada3d5458df8c8b97d3b647f8225eae9aef0856bf16690c6912ed64b,h264,1920,1080,703440000/11735723,7816,-0.383722,OK-RUNG312
9F5q5jCbrMI_s3630,heldout,9F5q5jCbrMI,3630,ncaa_basketball,2026-09-09T20:15:53Z,312,91863393,dae5d4be63e95fdf5cfa77218d63e6de97816d2bc46a14bb3c0a254146ad26b7,h264,1920,1080,717120000/11963951,7968,-2.919589,OK-RUNG312
mJRz1DoW6VU_s5530,heldout,mJRz1DoW6VU,5530,ncaa_basketball,2026-09-09T20:17:43Z,312,97533019,f238c92696d3f766cbd3f278789be311d9a6f25b2555cd329e1a9e4476b7c1be,h264,1920,1080,177795000/2966213,7902,-1.818489,OK-RUNG312
iwbowtaIIz8_s3933,heldout,iwbowtaIIz8,3933,wnba,2026-09-09T20:19:55Z,312,57715201,2e286c9abcfbd4bccbe37fb4b65ce975e6188181df18d01d1a971c263cf028e3,h264,1920,1080,50/1,6543,-0.840000,OK-RUNG312
ql7kzzTRo4M_s5610,development,ql7kzzTRo4M,5610,nba,2026-09-09T20:21:21Z,312,78403712,6b2f57bdf3c72fcdf19d5e091faa804a0e4a95467e784d165f60a1062325dab2,h264,1920,1080,704970000/11761249,7833,-0.667333,OK-RUNG312
g7dzEFLiemQ_s90,development,g7dzEFLiemQ,90,ncaa_basketball,2026-09-09T20:23:11Z,312,94799280,c270e18e26f24b9c30b986fc7e122275ea0bca6fa985e1d7e3fe3507b05a429a,h264,1920,1080,707400000/11801789,7860,-1.117789,OK-RUNG312
eaKqXq9dfig_s428,development,eaKqXq9dfig,428,nba,2026-09-09T20:24:53Z,312,58610631,c63f992bf6807397580a7491a7a16f4c4adc715f7b9a42e539bb28f79479fa84,h264,1920,1080,60/1,7981,-3.000000,OK-RUNG312
bt3NwN7k8bY_s90,development,bt3NwN7k8bY,90,nba,2026-09-09T20:26:25Z,312,84420430,b7ddb03269589ab224be117f90afd6cab876fe0ffe48060773c43b61e05db4dc,h264,1920,1080,726120000/12114101,8068,-4.587922,OK-RUNG312
0SQ709_N0Yg_s90,development,0SQ709_N0Yg,90,ncaa_basketball,2026-09-09T20:28:02Z,312,95068656,08763ea22994ac7d3eef44dbec8555693329de86cb5ab0c0580677284519021c,h264,1920,1080,44313750/739301,7878,-1.418089,OK-RUNG312
XCaGht2GmPg_s4068,development,XCaGht2GmPg,4068,nba,2026-09-09T20:29:11Z,312,77444311,6759cdb741db48cdee082f762d513ca6408506190c56bb61a06cd9b070bcd848,h264,1920,1080,175995000/2936183,7822,-0.483822,OK-RUNG312
E-5WuXXdGSA_s3993,development,E-5WuXXdGSA,3993,nba,2026-09-09T20:31:54Z,312,80096443,288b18b85f18263b1d8150f972ef6b03d04d6bfad776ae7e126edb24e9cff603,h264,1920,1080,80090000/1337151,8009,-3.689733,OK-RUNG312
