audit_id,clip,source_file,slot,source_frame,visible_paint_corners,reachable_four_corners
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s05__f009296,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,5,9296,4,1
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s06__f010410,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,6,10410,4,1
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s07__f013379,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,7,13379,0,0
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s08__f014801,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,8,14801,4,1
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s09__f015206,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,9,15206,0,0
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s10__f017253,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,10,17253,4,1
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s11__f019778,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,11,19778,0,0
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s12__f021701,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,12,21701,0,0
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s13__f023248,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,13,23248,0,0
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s14__f024440,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,14,24440,0,0
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s00__f000201,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,0,201,0,0
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s01__f002621,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,1,2621,0,0
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s02__f005098,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,2,5098,0,0
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s03__f007065,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,3,7065,0,0
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s04__f008393,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,4,8393,0,0
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s05__f011454,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,5,11454,4,1
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s06__f013035,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,6,13035,4,1
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s07__f014643,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,7,14643,4,1
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,8,16871,4,1
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s09__f017391,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,9,17391,4,1
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s10__f020136,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,10,20136,0,0
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s11__f022894,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,11,22894,0,0
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s12__f024686,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,12,24686,0,0
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s13__f025790,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,13,25790,4,1
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s14__f028400,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,14,28400,4,1
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s00__f000060,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,0,60,4,1
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s01__f002899,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,1,2899,0,0
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s02__f005032,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,2,5032,0,0
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,3,6925,4,1
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s04__f009094,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,4,9094,0,0
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s05__f010932,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,5,10932,4,1
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s06__f013269,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,6,13269,4,1
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s07__f013683,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,7,13683,4,1
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s08__f016060,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,8,16060,0,0
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s09__f018566,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,9,18566,4,1
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s10__f019311,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,10,19311,0,0
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s11__f023121,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,11,23121,4,1
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s12__f024864,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,12,24864,0,0
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s13__f026592,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,13,26592,0,0
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s14__f028177,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,14,28177,4,1
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s00__f000965,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,0,965,4,1
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,1,2920,4,1
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s02__f004468,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,2,4468,0,0
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s03__f005846,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,3,5846,0,0
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s04__f008415,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,4,8415,4,1
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s05__f009862,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,5,9862,0,0
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s06__f012251,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,6,12251,0,0
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s07__f014477,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,7,14477,0,0
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s08__f016652,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,8,16652,0,0
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s09__f018255,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,9,18255,0,0
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s10__f021009,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,10,21009,0,0
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s11__f022570,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,11,22570,0,0
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s12__f023704,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,12,23704,4,1
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s13__f025958,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,13,25958,4,1
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s14__f027585,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,14,27585,0,0
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s00__f000823,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,0,823,4,1
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s01__f002601,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,1,2601,4,1
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,2,5760,4,1
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s03__f006726,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,3,6726,0,0
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s04__f007747,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,4,7747,4,1
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s05__f011401,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,5,11401,4,1
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s06__f012754,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,6,12754,0,0
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s07__f014269,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,7,14269,0,0
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s08__f015742,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,8,15742,0,0
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s09__f018557,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,9,18557,0,0
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,10,20340,4,1
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s11__f023105,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,11,23105,4,1
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s12__f023183,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,12,23183,0,0
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s13__f025722,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,13,25722,0,0
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s14__f028660,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,14,28660,4,1
wnba__wnba_01__s00__f001016,wnba__wnba_01,wnba__wnba_01.mp4,0,1016,4,1
wnba__wnba_01__s01__f002458,wnba__wnba_01,wnba__wnba_01.mp4,1,2458,4,1
wnba__wnba_01__s02__f005547,wnba__wnba_01,wnba__wnba_01.mp4,2,5547,0,0
wnba__wnba_01__s03__f005790,wnba__wnba_01,wnba__wnba_01.mp4,3,5790,0,0
wnba__wnba_01__s04__f009510,wnba__wnba_01,wnba__wnba_01.mp4,4,9510,4,1
wnba__wnba_01__s05__f010539,wnba__wnba_01,wnba__wnba_01.mp4,5,10539,0,0
wnba__wnba_01__s06__f012696,wnba__wnba_01,wnba__wnba_01.mp4,6,12696,4,1
wnba__wnba_01__s07__f014911,wnba__wnba_01,wnba__wnba_01.mp4,7,14911,0,0
wnba__wnba_01__s08__f015494,wnba__wnba_01,wnba__wnba_01.mp4,8,15494,4,1
wnba__wnba_01__s09__f018171,wnba__wnba_01,wnba__wnba_01.mp4,9,18171,4,1
wnba__wnba_01__s10__f019784,wnba__wnba_01,wnba__wnba_01.mp4,10,19784,0,0
wnba__wnba_01__s11__f022425,wnba__wnba_01,wnba__wnba_01.mp4,11,22425,0,0
wnba__wnba_01__s12__f023718,wnba__wnba_01,wnba__wnba_01.mp4,12,23718,4,1
wnba__wnba_01__s13__f025957,wnba__wnba_01,wnba__wnba_01.mp4,13,25957,0,0
wnba__wnba_01__s14__f027792,wnba__wnba_01,wnba__wnba_01.mp4,14,27792,4,1
wnba__wnba_01_1080p__s00__f001031,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,0,1031,4,1
wnba__wnba_01_1080p__s01__f001600,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,1,1600,4,1
wnba__wnba_01_1080p__s02__f003425,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,2,3425,0,0
wnba__wnba_01_1080p__s03__f004062,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,3,4062,4,1
wnba__wnba_01_1080p__s04__f005026,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,4,5026,0,0
wnba__wnba_01_1080p__s05__f006446,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,5,6446,0,0
wnba__wnba_01_1080p__s06__f007539,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,6,7539,4,1
wnba__wnba_01_1080p__s07__f008885,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,7,8885,0,0
wnba__wnba_01_1080p__s08__f009789,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,8,9789,0,0
wnba__wnba_01_1080p__s09__f011177,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,9,11177,0,0
wnba__wnba_01_1080p__s10__f012399,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,10,12399,4,1
wnba__wnba_01_1080p__s11__f014213,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,11,14213,4,1
wnba__wnba_01_1080p__s12__f014501,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,12,14501,0,0
wnba__wnba_01_1080p__s13__f015660,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,13,15660,0,0
wnba__wnba_01_1080p__s14__f017809,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,14,17809,4,1
wnba__wnba_02__s00__f001257,wnba__wnba_02,wnba__wnba_02.mp4,0,1257,0,0
wnba__wnba_02__s01__f003127,wnba__wnba_02,wnba__wnba_02.mp4,1,3127,0,0
wnba__wnba_02__s02__f004088,wnba__wnba_02,wnba__wnba_02.mp4,2,4088,0,0
wnba__wnba_02__s03__f006537,wnba__wnba_02,wnba__wnba_02.mp4,3,6537,0,0
wnba__wnba_02__s04__f009281,wnba__wnba_02,wnba__wnba_02.mp4,4,9281,0,0
wnba__wnba_02__s05__f011030,wnba__wnba_02,wnba__wnba_02.mp4,5,11030,0,0
wnba__wnba_02__s06__f012134,wnba__wnba_02,wnba__wnba_02.mp4,6,12134,0,0
wnba__wnba_02__s07__f015194,wnba__wnba_02,wnba__wnba_02.mp4,7,15194,0,0
wnba__wnba_02__s08__f017225,wnba__wnba_02,wnba__wnba_02.mp4,8,17225,0,0
wnba__wnba_02__s09__f018845,wnba__wnba_02,wnba__wnba_02.mp4,9,18845,0,0
wnba__wnba_02__s10__f019479,wnba__wnba_02,wnba__wnba_02.mp4,10,19479,0,0
wnba__wnba_02__s11__f021983,wnba__wnba_02,wnba__wnba_02.mp4,11,21983,4,1
wnba__wnba_02__s12__f024706,wnba__wnba_02,wnba__wnba_02.mp4,12,24706,0,0
