packet_id,rater,object,ball_state,ball_cx,ball_cy,ball_d,uncertainty,reason
G391-005-31a9a81e0d91527e,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,spectator face
G391-006-fbce037656b7476a,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,1580,514,40,LOW,defender shorts and leg
G391-007-28bb6b34613c6de8,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,player ear and hair
G391-008-083f13856ff2cfde,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,1612,514,26,LOW,seated bench member
G391-009-fae1c6906765c6f4,sol,BALL,BALL_AT_MARKER,1152,436,37,LOW,ball bouncing at midcourt
G391-010-5a247b3f6929f184,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,1218,396,30,MEDIUM,defender head and torso
G391-011-de5a42e337ac4782,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,MEDIUM,players crossing the lane
G391-012-6c235afe2bf5c807,sol,BALL,BALL_AT_MARKER,1600,674,40,LOW,ball in handlers hand
G391-013-7f66205901accdd8,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,blurred spectator face
G391-014-97c6ae293ba4724d,sol,BALL,BALL_AT_MARKER,386,588,42,LOW,ball held at chest
G391-015-5d9f3f31a9993a33,sol,BALL,BALL_AT_MARKER,384,480,30,LOW,ball on dribble
G391-016-751b0e73b0db6c11,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,hand behind score graphic
G391-017-5fb2a9d7198b04e4,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,ear and nearby hand
G391-018-bdf40c459fe6c87d,sol,BALL,BALL_AT_MARKER,1130,660,34,LOW,ball held overhead
G391-019-a9fb52a5966b1a5d,sol,CROWD,BALL_ELSEWHERE,568,762,28,LOW,spectator heads courtside
G391-020-8321c97b32f685ee,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,staff member face
G391-021-e0ebd92ef6ce8ce8,sol,BALL,BALL_AT_MARKER,224,596,35,LOW,ball held at waist
G391-022-7be0c3a180038105,sol,BALL,BALL_AT_MARKER,322,598,32,LOW,ball in handlers hand
G391-023-cf23f73f0b714540,sol,BALL,BALL_AT_MARKER,1334,538,34,LOW,ball on low dribble
G391-024-cb3b5d4034a47d91,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,clapping spectator hands
G391-025-88fc83de50cb4e9e,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,MEDIUM,blurred player sleeve
G391-026-72e615f14260c49c,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,blurred spectator face
G391-027-a396b20d33d6c21e,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,984,658,110,LOW,players orange shoe
G391-028-84c38b9c70d6642e,sol,PERSON_OR_APPAREL,BALL_UNCERTAIN,,,,HIGH,referee head at frame border
G391-029-870cd6855ef094d2,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,blurred spectator face
G391-030-671b7c93ec3e4b5e,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,1200,714,34,LOW,players legs and shorts
G391-031-0e1cc9a704144cf1,sol,BALL,BALL_AT_MARKER,992,760,45,LOW,ball bouncing in lane
G391-032-6e10c14f63b49908,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,652,740,28,MEDIUM,red spectator cap
G391-033-f4abd8a1ace86c60,sol,CROWD,BALL_ELSEWHERE,1472,384,34,MEDIUM,spectator heads courtside
G391-034-144981d0ab680a2e,sol,BALL,BALL_AT_MARKER,1512,438,40,LOW,ball held near baseline
G391-035-e8bb6627ec5038d7,sol,CROWD,NO_BALL_VISIBLE,,,,LOW,spectator heads in stands
G391-036-2d70fa69edad1e6a,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,375,684,18,MEDIUM,player torso marked
G391-037-94fa0dfb549c30cd,terra,SIGNAGE_OR_GRAPHIC,NO_BALL_VISIBLE,,,,LOW,scorebug graphic marked
G391-038-7f653b4ee7f38d87,terra,BALL,BALL_AT_MARKER,1463,504,34,LOW,ball in player hands
G391-039-a53e731c25203a6b,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,spectator arm marked
G391-040-eb5d4cefaf8ef98f,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,1320,392,25,MEDIUM,player shoes marked
G391-041-19c9824ebcb734e1,terra,BALL,BALL_AT_MARKER,1442,450,30,LOW,dribbling ball marked
G391-042-6da921d0dc521808,terra,BALL,BALL_AT_MARKER,834,388,30,LOW,loose ball marked
G391-043-4d0cb5a9b076a6e9,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,954,842,30,MEDIUM,player head marked
G391-044-34d8b2788769f012,terra,BALL,BALL_AT_MARKER,930,144,30,LOW,airborne ball marked
G391-045-8111ce94b4f8dc45,terra,BALL,BALL_AT_MARKER,666,390,32,LOW,ball by ballhandler
G391-046-3d3abcbd78c9eb01,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,player hand marked
G391-047-c5e3866368912214,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,player hair marked
G391-048-9402389115e3afde,terra,CROWD,BALL_ELSEWHERE,645,606,25,MEDIUM,courtside crowd marked
G391-049-cf0803dbb9474dc9,terra,BALL,BALL_AT_MARKER,1039,416,34,LOW,dribbling ball marked
G391-050-e95510d68bcd84c9,terra,BALL,BALL_AT_MARKER,1200,420,34,LOW,dribbling ball marked
G391-051-45767c52905a2dd1,terra,BALL,BALL_AT_MARKER,240,500,32,LOW,dribbling ball marked
G391-052-7ebef5d7a838f981,terra,CROWD,BALL_ELSEWHERE,845,420,25,MEDIUM,courtside crowd marked
G391-053-69a3aa12f69b836d,terra,BALL,BALL_AT_MARKER,1607,261,28,LOW,ball in player hands
G391-054-1b5775276e20bb81,terra,BALL,BALL_AT_MARKER,1455,641,34,LOW,dribbling ball marked
G391-055-980ff2dba7d18d20,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,bench towel marked
G391-056-6961054ab64db729,terra,BALL,BALL_AT_MARKER,945,174,33,LOW,airborne ball marked
G391-057-2d160eb7df241dce,terra,SIGNAGE_OR_GRAPHIC,BALL_ELSEWHERE,846,510,25,MEDIUM,baseline advertisement marked
G391-058-130ae495aef549f9,terra,CROWD,BALL_ELSEWHERE,188,392,28,MEDIUM,bench area marked
G391-059-c21f1d76c07d2835,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,231,725,27,MEDIUM,player body marked
G391-060-1d2b96a25dd0d52b,terra,BALL,BALL_AT_MARKER,1223,692,30,LOW,ball in hand marked
G391-061-88ea68b69f3fbe79,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,player shoe marked
G391-062-d4a8da289ddb8d3a,terra,CROWD,BALL_UNCERTAIN,,,,HIGH,bench crowd behind basket
G391-063-e25906d81a08d3f5,terra,BALL,BALL_AT_MARKER,846,259,40,LOW,ball in player hands
G391-064-93e8e2e1a8d0f3d0,terra,CROWD,NO_BALL_VISIBLE,,,,MEDIUM,courtside crowd marked
G391-065-fc8c2f51b3e09060,terra,CROWD,BALL_ELSEWHERE,1110,656,28,MEDIUM,courtside crowd marked
G391-066-2af23d6b52fac257,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,527,729,30,MEDIUM,player hair marked
G391-067-c2ab8867b5c6c3e5,terra,BALL,BALL_AT_MARKER,704,45,30,MEDIUM,ball at rim
G391-068-34e9ee16aed08194,terra,PERSON_OR_APPAREL,BALL_UNCERTAIN,,,,MEDIUM,player shoes marked
G391-069-191c53d6006069f3,terra,CROWD,BALL_UNCERTAIN,,,,MEDIUM,courtside crowd marked
G391-070-80b337ed57864f80,terra,BALL,BALL_AT_MARKER,1365,699,35,LOW,dribbling ball marked
G391-036-2d70fa69edad1e6a,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,398,726,30,LOW,player jersey at marker
G391-037-94fa0dfb549c30cd,sol,SIGNAGE_OR_GRAPHIC,NO_BALL_VISIBLE,,,,LOW,score graphic logo
G391-038-7f653b4ee7f38d87,sol,BALL,BALL_AT_MARKER,1560,518,36,LOW,ball held by passer
G391-039-a53e731c25203a6b,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,spectator arm at marker
G391-040-eb5d4cefaf8ef98f,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,1400,338,34,LOW,player shoes at marker
G391-041-19c9824ebcb734e1,sol,BALL,BALL_AT_MARKER,1488,512,31,LOW,ball in low dribble
G391-042-6da921d0dc521808,sol,BALL,BALL_AT_MARKER,890,414,37,LOW,ball in transition
G391-043-4d0cb5a9b076a6e9,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,1096,914,38,MEDIUM,player torso at marker
G391-044-34d8b2788769f012,sol,BALL,BALL_AT_MARKER,992,156,44,LOW,airborne shot
G391-045-8111ce94b4f8dc45,sol,BALL,BALL_AT_MARKER,710,408,39,LOW,ball in extended hand
G391-046-3d3abcbd78c9eb01,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,player hand and jersey
G391-047-c5e3866368912214,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,person chin and shirt
G391-048-9402389115e3afde,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,MEDIUM,spectator head at marker
G391-049-cf0803dbb9474dc9,sol,BALL,BALL_AT_MARKER,1108,446,33,LOW,ball beside dribbler
G391-050-e95510d68bcd84c9,sol,BALL,BALL_AT_MARKER,1280,450,38,LOW,ball at players feet
G391-051-45767c52905a2dd1,sol,BALL,BALL_AT_MARKER,256,532,32,LOW,ball held by guard
G391-052-7ebef5d7a838f981,sol,PERSON_OR_APPAREL,BALL_UNCERTAIN,,,,MEDIUM,spectator shirt at marker
G391-053-69a3aa12f69b836d,sol,BALL,BALL_AT_MARKER,1712,282,34,LOW,ball held on wing
G391-054-1b5775276e20bb81,sol,BALL,BALL_AT_MARKER,1550,682,28,LOW,ball in low dribble
G391-055-980ff2dba7d18d20,sol,EQUIPMENT,NO_BALL_VISIBLE,,,,LOW,orange bench towel
G391-056-6961054ab64db729,sol,BALL,BALL_AT_MARKER,1008,184,31,LOW,airborne ball
G391-057-2d160eb7df241dce,sol,SIGNAGE_OR_GRAPHIC,BALL_ELSEWHERE,842,524,30,MEDIUM,basketball image on display
G391-058-130ae495aef549f9,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,MEDIUM,seated person at marker
G391-059-c21f1d76c07d2835,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,322,722,31,LOW,player hand and shorts
G391-060-1d2b96a25dd0d52b,sol,BALL,BALL_AT_MARKER,1302,736,42,LOW,ball held by guard
G391-061-88ea68b69f3fbe79,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,MEDIUM,blurred pink shoe
G391-062-d4a8da289ddb8d3a,sol,PERSON_OR_APPAREL,BALL_UNCERTAIN,,,,MEDIUM,bench spectators at marker
G391-063-e25906d81a08d3f5,sol,BALL,BALL_AT_MARKER,912,280,34,LOW,free throw ball
G391-064-93e8e2e1a8d0f3d0,sol,PERSON_OR_APPAREL,BALL_UNCERTAIN,,,,MEDIUM,spectator head at marker
G391-065-fc8c2f51b3e09060,sol,SIGNAGE_OR_GRAPHIC,BALL_ELSEWHERE,1244,772,31,LOW,scorebug basketball graphic
G391-066-2af23d6b52fac257,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,612,712,28,LOW,defender head at marker
G391-067-c2ab8867b5c6c3e5,sol,EQUIPMENT,BALL_ELSEWHERE,662,634,30,LOW,rim inside marker
G391-068-34e9ee16aed08194,sol,PERSON_OR_APPAREL,BALL_UNCERTAIN,,,,MEDIUM,player shoes at marker
G391-069-191c53d6006069f3,sol,PERSON_OR_APPAREL,BALL_UNCERTAIN,,,,MEDIUM,seated spectator at marker
G391-070-80b337ed57864f80,sol,BALL,BALL_AT_MARKER,1458,744,34,LOW,ball in low dribble
G391-071-56c61917c626353b,terra,BALL,BALL_AT_MARKER,1458,477,35,LOW,held ball
G391-072-6025a5a666a09ccb,terra,BALL,BALL_AT_MARKER,1085,815,47,LOW,dribbling ball
G391-073-610bbd8805f9dbd3,terra,SIGNAGE_OR_GRAPHIC,NO_BALL_VISIBLE,,,,LOW,graphic basketball
G391-074-bfce8b8a680c2972,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,628,488,30,MEDIUM,official shirt
G391-075-d9534eed2d98f73d,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,MEDIUM,spectator head
G391-076-96692339df336257,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,seated man
G391-077-9e8d33026db29916,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,hand and nails
G391-078-eb1e4afdc584ee5f,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,788,764,30,LOW,player head
G391-079-7fed64ff5b7d1b7b,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,1630,510,28,MEDIUM,player torso
G391-080-11582dacf7924050,terra,BALL,BALL_AT_MARKER,686,523,26,LOW,loose ball
G391-081-a760935df0b05b17,terra,BALL,BALL_AT_MARKER,1255,216,28,LOW,ball near rim
G391-082-6de9452c036df521,terra,BALL,BALL_AT_MARKER,1243,581,32,LOW,dribbling ball
G391-083-648ebac3bab53789,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,1506,842,42,MEDIUM,player shoulder
G391-084-e028dd1f5253710d,terra,CROWD,NO_BALL_VISIBLE,,,,MEDIUM,seated spectators
G391-085-888d969bbdf61c69,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,coach head
G391-086-d5c6682e2d4cea6e,terra,CROWD,BALL_ELSEWHERE,506,696,30,LOW,seated spectators
G391-087-8f3a417862016b55,terra,COURT_OR_LOGO,NO_BALL_VISIBLE,,,,LOW,painted court
G391-088-fe82ff38d0d91bdc,terra,BALL,BALL_AT_MARKER,1706,694,42,LOW,dribbling ball
G391-089-f86f2aed29c6ac06,terra,BALL,BALL_AT_MARKER,1329,902,44,LOW,held ball
G391-090-ed057321d892bd6f,terra,BALL,BALL_AT_MARKER,1318,651,38,LOW,held ball
G391-091-8e29e54bcc341d9d,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,photographer face
G391-092-7c87203b79f48d87,terra,PERSON_OR_APPAREL,BALL_UNCERTAIN,,,,HIGH,players obscure play
G391-093-4abd1f1f4197659f,terra,BALL,BALL_AT_MARKER,574,439,42,LOW,dribbling ball
G391-094-494c0b4f7b297757,terra,BALL,BALL_AT_MARKER,1343,383,42,LOW,ball at basket
G391-095-9d9ea74a9af38485,terra,BALL,BALL_AT_MARKER,506,628,40,LOW,held ball
G391-096-0b3da9202f23dbb9,terra,CROWD,NO_BALL_VISIBLE,,,,MEDIUM,seated spectators
G391-097-65c67f88bc34dda7,terra,CROWD,NO_BALL_VISIBLE,,,,MEDIUM,seated crowd
G391-098-aec17c017e8ac02a,terra,BALL,BALL_AT_MARKER,384,399,35,LOW,dribbling ball
G391-099-e9bca17ff3348d94,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,848,171,30,MEDIUM,cheerleader apparel
G391-100-9b9801446e419617,terra,BALL,BALL_AT_MARKER,634,699,35,LOW,dribbling ball
G391-101-c6d8c8cd63f738f7,terra,BALL,BALL_AT_MARKER,1616,767,40,LOW,dribbling ball
G391-102-52006f95fd5c0f9d,terra,BALL,BALL_AT_MARKER,911,504,50,LOW,free throw ball
G391-103-f95f78c8243e0568,terra,BALL,BALL_AT_MARKER,1536,506,38,LOW,held ball
G391-104-78adea8fbc3ac49b,terra,BALL,BALL_AT_MARKER,244,579,50,LOW,held ball
G391-105-d6cdbf7b49628cbb,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,MEDIUM,player shorts
G391-071-56c61917c626353b,sol,BALL,BALL_AT_MARKER,1449,439,26,LOW,ball held at hip
G391-072-6025a5a666a09ccb,sol,BALL,BALL_AT_MARKER,1089,816,52,LOW,ball in motion
G391-073-610bbd8805f9dbd3,sol,SIGNAGE_OR_GRAPHIC,NO_BALL_VISIBLE,,,,LOW,ball pictured in graphic
G391-074-bfce8b8a680c2972,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,orange shirt in stands
G391-075-d9534eed2d98f73d,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,830,649,35,MEDIUM,coach beside visible ball
G391-076-96692339df336257,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,bald spectator head
G391-077-9e8d33026db29916,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,hand on white sleeve
G391-078-eb1e4afdc584ee5f,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,788,763,32,LOW,player with ball left
G391-079-7fed64ff5b7d1b7b,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,1569,589,32,MEDIUM,defender with ballhandler right
G391-080-11582dacf7924050,sol,BALL,BALL_AT_MARKER,686,521,37,LOW,ball near baseline
G391-081-a760935df0b05b17,sol,BALL,BALL_AT_MARKER,1193,214,29,LOW,ball above rim
G391-082-6de9452c036df521,sol,BALL,BALL_AT_MARKER,1247,579,32,LOW,dribbled ball
G391-083-648ebac3bab53789,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,1444,834,50,LOW,player arm with ball right
G391-084-e028dd1f5253710d,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,spectator head
G391-085-888d969bbdf61c69,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,man in suit
G391-086-d5c6682e2d4cea6e,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,510,692,34,LOW,orange hat with ball above
G391-087-8f3a417862016b55,sol,COURT_OR_LOGO,NO_BALL_VISIBLE,,,,LOW,painted court lines
G391-088-fe82ff38d0d91bdc,sol,BALL,BALL_AT_MARKER,1708,698,47,LOW,dribbled ball
G391-089-f86f2aed29c6ac06,sol,BALL,BALL_AT_MARKER,1329,900,70,LOW,ball held for free throw
G391-090-ed057321d892bd6f,sol,BALL,BALL_AT_MARKER,1303,681,48,LOW,red white game ball
G391-091-8e29e54bcc341d9d,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,photographer face
G391-092-7c87203b79f48d87,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,MEDIUM,players under basket
G391-093-4abd1f1f4197659f,sol,BALL,BALL_AT_MARKER,574,441,60,LOW,ball in players hand
G391-094-494c0b4f7b297757,sol,BALL,BALL_AT_MARKER,1328,371,50,LOW,ball under rim
G391-095-9d9ea74a9af38485,sol,BALL,BALL_AT_MARKER,504,630,38,LOW,ball on low dribble
G391-096-0b3da9202f23dbb9,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,bench spectator face
G391-097-65c67f88bc34dda7,sol,CROWD,NO_BALL_VISIBLE,,,,MEDIUM,spectators at sideline
G391-098-aec17c017e8ac02a,sol,BALL,BALL_AT_MARKER,411,429,35,LOW,ball carried upcourt
G391-099-e9bca17ff3348d94,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,859,156,32,LOW,players torso with ball above rim
G391-100-9b9801446e419617,sol,BALL,BALL_AT_MARKER,634,709,35,LOW,ball on low dribble
G391-101-c6d8c8cd63f738f7,sol,PERSON_OR_APPAREL,BALL_ELSEWHERE,1635,771,35,LOW,referee and player with ball right
G391-102-52006f95fd5c0f9d,sol,BALL,BALL_AT_MARKER,913,499,36,LOW,ball held for free throw
G391-103-f95f78c8243e0568,sol,BALL,BALL_AT_MARKER,1534,508,42,LOW,ball held on wing
G391-104-78adea8fbc3ac49b,sol,BALL,BALL_AT_MARKER,276,578,35,LOW,ball held at perimeter
G391-105-d6cdbf7b49628cbb,sol,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,MEDIUM,players shorts and leg
G391-106-bb41990466a4cc1e,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,1030,628,42,LOW,player jersey in marker
G391-107-0ea4d95eb22c125d,terra,PERSON_OR_APPAREL,NO_BALL_VISIBLE,,,,LOW,player shoulder and head
G391-108-616d6e7d8d08f2a5,terra,CROWD,BALL_ELSEWHERE,598,656,30,LOW,courtside spectators
G391-109-c35f397ea93eeccd,terra,CROWD,NO_BALL_VISIBLE,,,,MEDIUM,courtside spectator heads
G391-110-353265b09ebca400,terra,BALL,BALL_AT_MARKER,619,236,38,LOW,orange game ball
G391-111-9f19fdf423b0d1c3,terra,BALL,BALL_AT_MARKER,1686,474,52,LOW,game ball by passer
G391-112-a0d9a46bf790f3bf,terra,BALL,BALL_AT_MARKER,231,491,36,LOW,ball held by player
G391-113-63483006c93e2c5c,terra,BALL,BALL_AT_MARKER,844,585,42,LOW,blurred game ball
G391-114-0938ff18a86a38c5,terra,CROWD,NO_BALL_VISIBLE,,,,LOW,spectator face
G391-115-8fee30c79ba7b96f,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,877,1054,38,MEDIUM,orange towel on staff
G391-116-508e697775f112b6,terra,CROWD,BALL_UNCERTAIN,,,,MEDIUM,courtside spectator heads
G391-117-9fdaabcece58a7a5,terra,EQUIPMENT,BALL_UNCERTAIN,,,,MEDIUM,orange drink cooler
G391-118-0951a287d19995dc,terra,EQUIPMENT,BALL_ELSEWHERE,1423,739,38,LOW,orange drink cooler
G391-119-c6f9f1f31362fe55,terra,CROWD,BALL_ELSEWHERE,984,1065,52,MEDIUM,spectators behind player
G391-120-311c769023038d85,terra,EQUIPMENT,BALL_ELSEWHERE,638,529,38,LOW,courtside chair and shoes
G391-121-ccee12873a7329d5,terra,SIGNAGE_OR_GRAPHIC,NO_BALL_VISIBLE,,,,LOW,broadcast logo graphic
G391-122-63b9d0923ffd273d,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,866,467,34,MEDIUM,player jersey and arm
G391-123-1b0ab8fbbb603264,terra,BALL,BALL_AT_MARKER,384,521,38,LOW,dribbled game ball
G391-124-cc18443af00ef4ae,terra,BALL,BALL_AT_MARKER,851,606,42,LOW,ball held for free throw
G391-125-bc6372734a6ea017,terra,CROWD,BALL_ELSEWHERE,851,358,30,LOW,courtside spectator
G391-126-de53d496a6822841,terra,PERSON_OR_APPAREL,BALL_ELSEWHERE,680,583,46,LOW,player head and jersey
G391-127-934c090b98b25d3b,terra,BALL,BALL_AT_MARKER,1703,602,40,LOW,dribbled game ball
G391-128-82d6d766b13fe623,terra,SIGNAGE_OR_GRAPHIC,NO_BALL_VISIBLE,,,,LOW,broadcast championship bug
G391-129-d833e105996c6a4f,terra,PERSON_OR_APPAREL,BALL_UNCERTAIN,,,,MEDIUM,player jersey and body
G391-130-123daa9d4531c6f5,terra,BALL,BALL_AT_MARKER,915,632,42,LOW,dribbled game ball
G391-131-7a4e29ee943c9f45,terra,BALL,BALL_AT_MARKER,894,641,36,LOW,loose game ball
