packet_id,frame_key,outcome,reference_label,object,ball_state,resolution,audit_class,distance_720p,threshold_720p,game,section,frame_index
G391-011-de5a42e337ac4782,1de680a0b8185f7ae4ecfe73680f91b1c91ab01a84a4db246805c0829c70a689,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_UNCERTAIN,ADJUDICATED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,10.6667,HUSo3PzP7lo,HUSo3PzP7lo_s402,6428
G391-012-6c235afe2bf5c807,eba8c3908739e03f2422929886b112ed53abc3e46b8783426aa773799cabe333,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,5.6396,12.3333,N-eE7ZwTuno,N-eE7ZwTuno_s2365,719
G391-013-7f66205901accdd8,79e19c5ef2c3474fca60e0d12de47f138cdb6d59ba09149ee42d3113df1ea54a,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,ADJUDICATED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,RIrGQJ_jsGQ,RIrGQJ_jsGQ_s90,1808
G391-014-97c6ae293ba4724d,9a7fd86aca89744de1468dbb5a8402f2a11626e49d3e08223e3d64e132148b24,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,1.118,11.0,UHJ90jJmCYw,UHJ90jJmCYw_s90,2010
G391-015-5d9f3f31a9993a33,4d5ff17b43bdbdf6d70a7aa78414db6fe98669c4751c2f3f535bddddc9b16161,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,1.0,10.0,UPco-jzOoEg,UPco-jzOoEg_s2796,2009
G391-016-751b0e73b0db6c11,369640d8f3c16f995725e62593833f00cab3e21be3efa647210036a6eb4d15fb,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,UzaYBYy3GZg,UzaYBYy3GZg_s5242,1065
G391-017-5fb2a9d7198b04e4,350458ba9feec4e39bf5581d4b4537cff555839a192050d9322d8bf57de03859,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,Vm0FqeGo-8g,Vm0FqeGo-8g_s4998,2986
G391-018-bdf40c459fe6c87d,f7a84e2f89d654ba032b4e0be8fc07a367ff9fb403efe1993d8539412caa0567,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,5.1667,15.6667,WeheQidCPXI,WeheQidCPXI_s1389,3039
G391-019-a9fb52a5966b1a5d,ee311d78fabf4f142cba98e2de9aaaa13cebafcfa70c4a5a6138c67cb9f83a46,FALSE_CALL,VISIBLE,CROWD,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_CROWD,,10.0,XzIzQZBrPBY,XzIzQZBrPBY_s398,5099
G391-020-8321c97b32f685ee,c09e17b5ace9e2bfc121561c1b8c809ed858dc1afa99ea2c2e1111d0d6ec2ce8,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,Ze8frxZxNyk,Ze8frxZxNyk_s2646,2172
G391-021-e0ebd92ef6ce8ce8,c1bbbb7f318c63fb7fd810608e2115f29fb2f75ab2b2b25205b44f0595e07289,FALSE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,,10.3333,Ze8frxZxNyk,Ze8frxZxNyk_s3924,2850
G391-022-7be0c3a180038105,8168d1d83bea6b28537f382ddfe06c812f42971f5661647e8d9b299d22183251,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,4.0552,10.3333,h6j_iLYRx8U,h6j_iLYRx8U_s90,51
G391-023-cf23f73f0b714540,4680eba1cd06ec91b0046cd3789bb61d43dbd9a4afffb4975e87e2a003d47e18,FALSE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,,10.0,hOtf1-DI88w,hOtf1-DI88w_s90,565
G391-024-cb3b5d4034a47d91,87a426f02ac1fbedc2931ecec3ae118f0e035616b2d31e5fc5598ccfdc114735,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,mJRz1DoW6VU,mJRz1DoW6VU_s5530,5619
G391-025-88fc83de50cb4e9e,f8df04ea06fa81ed43ef7cb9921b715e956561135c2c08d3e6e94e3dd8aaaa40,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,myAuD3DmJMY,myAuD3DmJMY_s3957,3689
G391-026-72e615f14260c49c,ee801423da414b14e6d3486a617cf36e811a3a45f4803bb1f651b3b9969cdde6,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,myAuD3DmJMY,myAuD3DmJMY_s6535,3192
G391-027-a396b20d33d6c21e,6fed7dc9b40b039c561610c7427be477b3bc1311793462e80035b11386c30eb1,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,36.6667,tDpmV777-IQ,tDpmV777-IQ_s90,2609
G391-028-84c38b9c70d6642e,aeb0302bb27c7eb68690ef454af8a38884aeea694405975f2ed576f79957be09,FALSE_CALL,UNKNOWN,PERSON_OR_APPAREL,BALL_UNCERTAIN,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,uZkAbRqeGrc,uZkAbRqeGrc_s1607,3032
G391-029-870cd6855ef094d2,2efda39878646c2e8253f9676d7dd9abf4a7417459ff4bfffbc3dfcb490d21b1,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,uZkAbRqeGrc,uZkAbRqeGrc_s3124,2594
G391-030-671b7c93ec3e4b5e,819977e602ed9df85caaa41a05a719d9f8f7677bcca1dbf7ca1478358abfc327,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,13.8333,wd08fix8q3Q,wd08fix8q3Q_s5830,261
G391-031-0e1cc9a704144cf1,3a1eac61e1a942b7b31700298f56457707bb1a95295d339f60a60d7a26b4a833,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,3.3747,14.8333,0KIBu1jQBL8,0KIBu1jQBL8_s5665,1155
G391-032-6e10c14f63b49908,4fecde40157eb2e3864127bbf27a6c1cba754ddb60b39e6c0de0d08e0efd7d2a,FALSE_CALL,VISIBLE,CROWD,BALL_ELSEWHERE,ADJUDICATED,BACKGROUND_CONFUSION_CROWD,,9.6667,1E5Rw89keTg,1E5Rw89keTg_s312,1627
G391-033-f4abd8a1ace86c60,8eaa76587cb161a74b611168e90626963c5a629290f5b0979e635b6e6525d378,FALSE_CALL,VISIBLE,CROWD,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_CROWD,,14.3333,50pp-OqYVok,50pp-OqYVok_s1500,1201
G391-034-144981d0ab680a2e,793ae92955816d2ffe6e7238cdeaba6e08acea023b3540b42ae9aa024a357073,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,2.6874,12.6667,5U9k1U6nN-g,5U9k1U6nN-g_s1207,111
G391-035-e8bb6627ec5038d7,f7f4a82ba9cb34a726da0c9efcc079824b2e2efe3154e9aa17064bf8b52fcedb,FALSE_CALL,ABSENT,CROWD,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_CROWD,,,5U9k1U6nN-g,5U9k1U6nN-g_s1207,3891
G391-036-2d70fa69edad1e6a,c8584a3adc7a13ed1dca39a2b55f3b733471de4a305e600c49d0421adc94c7c7,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,13.0,7WBKNCu3NLU,7WBKNCu3NLU_s90,3478
G391-037-94fa0dfb549c30cd,8e018c1de817782df05c6ba94e15088fcb1f0a393e2c88352f3bbbf207938923,FALSE_CALL,UNKNOWN,SIGNAGE_OR_GRAPHIC,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_SIGNAGE_OR_GRAPHIC,,,8kHt2bFTK6g,8kHt2bFTK6g_s90,2984
G391-038-7f653b4ee7f38d87,3d209e63af68ec4bd5dde83a5465e5fd96e003ab244c9b9f92405fe09f556636,FALSE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,,11.6667,9F5q5jCbrMI,9F5q5jCbrMI_s3630,6421
G391-039-a53e731c25203a6b,22bbc4ff9c7e0b873dff66b9f914fae6837adff6df78b956e65bec5b8e577dea,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,AIMOY6CoQKI,AIMOY6CoQKI_s4438,3649
G391-040-eb5d4cefaf8ef98f,bea639731fa94154f1208b6c86e2eea8e2a5ce2f7fa050cd7c6c8ba742283db0,FALSE_CALL,UNKNOWN,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,G8bPOW37Sp0,G8bPOW37Sp0_s90,3381
G391-041-19c9824ebcb734e1,a7025315194d1fbbe984cf84095df51739fabb70710850e1f4972b6a77eed975,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,7.7746,17.3333,HUSo3PzP7lo,HUSo3PzP7lo_s402,6936
G391-042-6da921d0dc521808,cde14e856cbfa65efea9e3123df30ccc35c8746966f6ed6ca50b40c4b9fdd92c,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,0.8498,12.8333,N-eE7ZwTuno,N-eE7ZwTuno_s2365,971
G391-043-4d0cb5a9b076a6e9,27dc4e42485e51ffb24f202b9a035eaae7989240a062b4caeb4b81ac82284a30,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,21.8333,RIrGQJ_jsGQ,RIrGQJ_jsGQ_s90,3320
G391-044-34d8b2788769f012,080b4ae24d37915b8a352eccbef7306919a4520c6c07ff4cef75fc397e5e62b7,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,3.3333,14.6667,UHJ90jJmCYw,UHJ90jJmCYw_s90,2512
G391-045-8111ce94b4f8dc45,2faa7ff03a5c92ab1171b9db598ac35dec447153b5d8b2ddf224c55ae60ec7d7,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,8.4984,11.6667,UPco-jzOoEg,UPco-jzOoEg_s2796,2507
G391-046-3d3abcbd78c9eb01,65c1594f57bce72b2adbd33485cdee3eb3dcb80319210c882fd0b001352351d5,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,UzaYBYy3GZg,UzaYBYy3GZg_s5242,1557
G391-047-c5e3866368912214,1ac73a2dcdf15b5d6440505a27ab2ea5de2ea00ec81ccbc506c9dff7173e5033,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,Vm0FqeGo-8g,Vm0FqeGo-8g_s4998,3484
G391-048-9402389115e3afde,4d4cfea838a047c54af112649205a1192f978b5179773030db3740d272430a68,FALSE_CALL,VISIBLE,CROWD,BALL_UNCERTAIN,ADJUDICATED,BACKGROUND_CONFUSION_CROWD,,10.0,XzIzQZBrPBY,XzIzQZBrPBY_s398,219
G391-049-cf0803dbb9474dc9,716a47c0e6facd866ffd6faeaf0a77eb65fe7a72991782afed6281d0bf48e86b,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,1.2134,12.1667,XzIzQZBrPBY,XzIzQZBrPBY_s398,5587
G391-050-e95510d68bcd84c9,20ea1070cef466b895f7eef7c87325e152af9358bd76ef5c722eb2e08133a5af,FALSE_CALL,UNKNOWN,BALL,BALL_AT_MARKER,AGREED,SUSPECTED_REFERENCE_ERROR,,,Ze8frxZxNyk,Ze8frxZxNyk_s2646,2670
G391-051-45767c52905a2dd1,bfb8daf6db573ff44b5c3befaef6d864c7a3f20cfd0bfcc3a86d25a989bc1b23,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,2.1874,9.8333,Ze8frxZxNyk,Ze8frxZxNyk_s3924,3356
G391-052-7ebef5d7a838f981,e039ae267e703805a80985a17b00d4d3b34450187f25e98b40f3ab7c7d2c4706,FALSE_CALL,VISIBLE,CROWD,BALL_ELSEWHERE,ADJUDICATED,BACKGROUND_CONFUSION_CROWD,,10.1667,h6j_iLYRx8U,h6j_iLYRx8U_s90,1033
G391-053-69a3aa12f69b836d,412413c05f7beb7a5953de30667025544b440f6ee801edc89d1b9b177c43df2a,FALSE_CALL,UNKNOWN,BALL,BALL_AT_MARKER,AGREED,SUSPECTED_REFERENCE_ERROR,,,hOtf1-DI88w,hOtf1-DI88w_s90,1567
G391-054-1b5775276e20bb81,1b86f4d0f72ae1889feab059cd4666616b267abb485788272ebe186109545669,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,2.6087,10.1667,mJRz1DoW6VU,mJRz1DoW6VU_s5530,6605
G391-055-980ff2dba7d18d20,c65af6218d9d532cae62889364d729981428c23c9d43830bd3504f1a748b52e0,FALSE_CALL,ABSENT,EQUIPMENT,NO_BALL_VISIBLE,ADJUDICATED,BACKGROUND_CONFUSION_EQUIPMENT,,,myAuD3DmJMY,myAuD3DmJMY_s6535,192
G391-056-6961054ab64db729,ed5e6a35bf81817508284dc95ee8cf3daa1b7c2f5f0e82f5d3c62bf21594a6ac,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,9.5234,10.6667,myAuD3DmJMY,myAuD3DmJMY_s6535,3692
G391-057-2d160eb7df241dce,e89b2b5cefc1ed21c6002f5f6018a90435fc8b6314b2b510344b572209197557,FALSE_CALL,VISIBLE,SIGNAGE_OR_GRAPHIC,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_SIGNAGE_OR_GRAPHIC,,20.5,uZkAbRqeGrc,uZkAbRqeGrc_s1607,80
G391-058-130ae495aef549f9,0db71514d7adcb20ac39ded1d0da68e41a75d4c0a51e9981f8dcc9e0345de487,FALSE_CALL,UNKNOWN,PERSON_OR_APPAREL,NO_BALL_VISIBLE,ADJUDICATED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,uZkAbRqeGrc,uZkAbRqeGrc_s1607,3524
G391-059-c21f1d76c07d2835,5ddd9b25dd622cc5bc13075a68cd0d6a667f73cb764244580453f63371336bb7,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,28.0,uZkAbRqeGrc,uZkAbRqeGrc_s3124,2841
G391-060-1d2b96a25dd0d52b,55e1a59bf974c9b4f1da41425346100aebb5b3da7d9296a5bf6847686aadd7cb,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,1.1785,17.1667,wd08fix8q3Q,wd08fix8q3Q_s5830,505
G391-061-88ea68b69f3fbe79,0716d136adb43568d2a75382627391a0cbf7145f5e409edc998c9f8732245ffb,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,0KIBu1jQBL8,0KIBu1jQBL8_s5665,1399
G391-062-d4a8da289ddb8d3a,24896f416885b7cc499029d081e869ebc69559396cb60cdfa62d03bc7007657c,FALSE_CALL,VISIBLE,CROWD,BALL_UNCERTAIN,ADJUDICATED,BACKGROUND_CONFUSION_CROWD,,10.6667,1E5Rw89keTg,1E5Rw89keTg_s312,2129
G391-063-e25906d81a08d3f5,588c42315e4eb217cb1854e62f6e2256edd9403332468d3d65e9d97837735822,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,7.6322,15.5,50pp-OqYVok,50pp-OqYVok_s1500,1447
G391-064-93e8e2e1a8d0f3d0,18f3d180b4854a548ba4cd699bd2cd3452fb4d7882658dced319d09ae2037998,FALSE_CALL,UNKNOWN,CROWD,NO_BALL_VISIBLE,ADJUDICATED,BACKGROUND_CONFUSION_CROWD,,,5U9k1U6nN-g,5U9k1U6nN-g_s1207,615
G391-065-fc8c2f51b3e09060,e848892b2b1700dc05b6c9a1b91fdb65db644b5ae13bebecf3cec627330c222f,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,ADJUDICATED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,11.6667,7WBKNCu3NLU,7WBKNCu3NLU_s90,150
G391-066-2af23d6b52fac257,67cf74d777b13d0d1892db39626731a60588c3b5c02beae8de26f7af1afe3062,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,8.0,7WBKNCu3NLU,7WBKNCu3NLU_s90,3734
G391-067-c2ab8867b5c6c3e5,f88f6bc5615299efee1b67762ca6c15b6dbe967d90540fe37e376579cdc7963b,FALSE_CALL,VISIBLE,EQUIPMENT,BALL_ELSEWHERE,ADJUDICATED,BACKGROUND_CONFUSION_EQUIPMENT,,16.5,8kHt2bFTK6g,8kHt2bFTK6g_s90,3230
G391-068-34e9ee16aed08194,e156d800c4405fb89da685a79ff9ad540add767bbdfc5bf0176885997875a3a9,FALSE_CALL,UNKNOWN,PERSON_OR_APPAREL,BALL_UNCERTAIN,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,9F5q5jCbrMI,9F5q5jCbrMI_s3630,6919
G391-069-191c53d6006069f3,fdc404d87dff0f2aa2cb8335c3b61419a04f6255496e1997c5ec3ad6a9de68b4,FALSE_CALL,VISIBLE,CROWD,BALL_UNCERTAIN,ADJUDICATED,BACKGROUND_CONFUSION_CROWD,,12.3333,G8bPOW37Sp0,G8bPOW37Sp0_s90,170
G391-070-80b337ed57864f80,513d233d9a075155fd4c83c3ca956cf558daa5a044c07f8e151caa322288096e,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,2.1082,11.0,HUSo3PzP7lo,HUSo3PzP7lo_s402,332
G391-071-56c61917c626353b,58f51910570677304c194d54924cccc78e939f618dccebd801e003b81516e109,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,5.2308,10.0,HUSo3PzP7lo,HUSo3PzP7lo_s402,7444
G391-072-6025a5a666a09ccb,34a68e7844f33d03dc91bf0ac111d896bb6f340377dbf2be9dc62f1ee5c3fcc7,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,6.0093,19.3333,N-eE7ZwTuno,N-eE7ZwTuno_s2365,1475
G391-073-610bbd8805f9dbd3,28ac36198862035ea0c6bd1aca9b2daadaf7efdaebd19b7f9879678cbb7f8372,FALSE_CALL,ABSENT,SIGNAGE_OR_GRAPHIC,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_SIGNAGE_OR_GRAPHIC,,,RIrGQJ_jsGQ,RIrGQJ_jsGQ_s90,3824
G391-074-bfce8b8a680c2972,ac32eaa830f248038ffda02fc212f9e2985b9aba0b057a595dc5a337a9ecf586,FALSE_CALL,UNKNOWN,PERSON_OR_APPAREL,NO_BALL_VISIBLE,ADJUDICATED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,UHJ90jJmCYw,UHJ90jJmCYw_s90,2763
G391-075-d9534eed2d98f73d,d0daa78771d38fbb6789e50395d2168800483be92f525246ca5845be27d8fc43,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,ADJUDICATED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,11.6667,UPco-jzOoEg,UPco-jzOoEg_s2796,3005
G391-076-96692339df336257,5dae5c030d69b68c16ebd0ce8109bc8a5b309e731eb27e34162b94755763da6d,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,UzaYBYy3GZg,UzaYBYy3GZg_s5242,3033
G391-077-9e8d33026db29916,e86b1958b0e933225f4d64262291b7186822cf745302bfa18fd5e63db8024f40,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,Vm0FqeGo-8g,Vm0FqeGo-8g_s4998,3733
G391-078-eb1e4afdc584ee5f,adfe897bd5b6a32ab89286f2d6e60e86feb4f7b0e64d41e715d43e21dc8bd954,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,11.0,XzIzQZBrPBY,XzIzQZBrPBY_s398,707
G391-079-7fed64ff5b7d1b7b,4b90d2fd363eb516062bc8f49fd92e4214bbf18921d5dcfddac73ef542dec156,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,10.5,XzIzQZBrPBY,XzIzQZBrPBY_s398,6075
G391-080-11582dacf7924050,b3395d88475586a6331b95f436b61476264b84282c08b1173eeb9aea7ede3bee,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,5.099,12.3333,Ze8frxZxNyk,Ze8frxZxNyk_s2646,3168
G391-081-a760935df0b05b17,50a956f66e3d77ba40d4096aa41030205549046c85b899501108a63e46887815,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,2.0616,10.1667,Ze8frxZxNyk,Ze8frxZxNyk_s3924,3609
G391-082-6de9452c036df521,8eddb6561311dd70236d0de46f2cf5064ca795cc1c9d859b5e689f4014bda93e,TRUE_CALL,VISIBLE,BALL,BALL_AT_MARKER,AGREED,NEAR_MISS_LOCALISATION,2.0069,9.5,h6j_iLYRx8U,h6j_iLYRx8U_s90,2015
G391-083-648ebac3bab53789,470cd9afd8c573a081402230c5fe6cc82945b6c54ab5c5de5ae158ff4aca2caa,FALSE_CALL,VISIBLE,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,31.6667,hOtf1-DI88w,hOtf1-DI88w_s90,2569
G391-084-e028dd1f5253710d,cb9e43cfe82625e57563f85af6decff99b3f154aeceda67ee29f860ce0b73c9c,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,ADJUDICATED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,mJRz1DoW6VU,mJRz1DoW6VU_s5530,7591
G391-085-888d969bbdf61c69,10b7527d032113b5905db2fdb928363340fd21b44af451a2bcb7c0e72d1f9476,FALSE_CALL,ABSENT,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,,,myAuD3DmJMY,myAuD3DmJMY_s6535,692
