packet_id,field,terra_object,sol_object,terra_ball_state,sol_ball_state,card
G391-058-130ae495aef549f9,object+ball_state,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-058-130ae495aef549f9.jpg
G391-062-d4a8da289ddb8d3a,object,CROWD,PERSON_OR_APPAREL,BALL_UNCERTAIN,BALL_UNCERTAIN,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-062-d4a8da289ddb8d3a.jpg
G391-064-93e8e2e1a8d0f3d0,object+ball_state,CROWD,PERSON_OR_APPAREL,NO_BALL_VISIBLE,BALL_UNCERTAIN,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-064-93e8e2e1a8d0f3d0.jpg
G391-065-fc8c2f51b3e09060,object,CROWD,SIGNAGE_OR_GRAPHIC,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-065-fc8c2f51b3e09060.jpg
G391-067-c2ab8867b5c6c3e5,object+ball_state,BALL,EQUIPMENT,BALL_AT_MARKER,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-067-c2ab8867b5c6c3e5.jpg
G391-069-191c53d6006069f3,object,CROWD,PERSON_OR_APPAREL,BALL_UNCERTAIN,BALL_UNCERTAIN,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-069-191c53d6006069f3.jpg
G391-074-bfce8b8a680c2972,ball_state,PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-074-bfce8b8a680c2972.jpg
G391-075-d9534eed2d98f73d,ball_state,PERSON_OR_APPAREL,PERSON_OR_APPAREL,NO_BALL_VISIBLE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-075-d9534eed2d98f73d.jpg
G391-084-e028dd1f5253710d,object,CROWD,PERSON_OR_APPAREL,NO_BALL_VISIBLE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-084-e028dd1f5253710d.jpg
G391-086-d5c6682e2d4cea6e,object,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-086-d5c6682e2d4cea6e.jpg
G391-092-7c87203b79f48d87,ball_state,PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_UNCERTAIN,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-092-7c87203b79f48d87.jpg
G391-096-0b3da9202f23dbb9,object,CROWD,PERSON_OR_APPAREL,NO_BALL_VISIBLE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-096-0b3da9202f23dbb9.jpg
G391-101-c6d8c8cd63f738f7,object+ball_state,BALL,PERSON_OR_APPAREL,BALL_AT_MARKER,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-101-c6d8c8cd63f738f7.jpg
G391-115-8fee30c79ba7b96f,ball_state,PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-115-8fee30c79ba7b96f.jpg
G391-116-508e697775f112b6,ball_state,CROWD,CROWD,BALL_UNCERTAIN,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-116-508e697775f112b6.jpg
G391-117-9fdaabcece58a7a5,ball_state,EQUIPMENT,EQUIPMENT,BALL_UNCERTAIN,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-117-9fdaabcece58a7a5.jpg
G391-120-311c769023038d85,object,EQUIPMENT,CROWD,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-120-311c769023038d85.jpg
G391-121-ccee12873a7329d5,object,SIGNAGE_OR_GRAPHIC,PERSON_OR_APPAREL,NO_BALL_VISIBLE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-121-ccee12873a7329d5.jpg
G391-125-bc6372734a6ea017,object,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-125-bc6372734a6ea017.jpg
G391-128-82d6d766b13fe623,object,SIGNAGE_OR_GRAPHIC,PERSON_OR_APPAREL,NO_BALL_VISIBLE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-128-82d6d766b13fe623.jpg
G391-129-d833e105996c6a4f,object+ball_state,PERSON_OR_APPAREL,BALL,BALL_UNCERTAIN,BALL_AT_MARKER,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-129-d833e105996c6a4f.jpg
G391-135-82a361e2cc72ba8e,object+ball_state,PERSON_OR_APPAREL,BALL,BALL_UNCERTAIN,BALL_AT_MARKER,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-135-82a361e2cc72ba8e.jpg
G391-139-811f012f75ee899f,ball_state,CROWD,CROWD,BALL_UNCERTAIN,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-139-811f012f75ee899f.jpg
G391-141-40d0f399a24c5410,object+ball_state,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-141-40d0f399a24c5410.jpg
G391-142-1fca6b031bfcbd53,object,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-142-1fca6b031bfcbd53.jpg
G391-143-edc3c2cbb27a1e10,object,CROWD,PERSON_OR_APPAREL,NO_BALL_VISIBLE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-143-edc3c2cbb27a1e10.jpg
G391-148-c942d3c106784e2f,object+ball_state,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-148-c942d3c106784e2f.jpg
G391-152-a9f19b0f221fc1f7,object,SIGNAGE_OR_GRAPHIC,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-152-a9f19b0f221fc1f7.jpg
G391-155-b1a6155291d5a026,object+ball_state,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-155-b1a6155291d5a026.jpg
G391-159-2bf0a65052b62dce,object+ball_state,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_UNCERTAIN,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-159-2bf0a65052b62dce.jpg
G391-160-69c468bfc910e78b,object+ball_state,PERSON_OR_APPAREL,BALL,BALL_ELSEWHERE,BALL_AT_MARKER,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-160-69c468bfc910e78b.jpg
G391-168-a7ac087e9911147f,object+ball_state,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_UNCERTAIN,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-168-a7ac087e9911147f.jpg
G391-169-cc27f7ca2afc4747,object,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-169-cc27f7ca2afc4747.jpg
G391-171-05110a3a3509a6bd,object,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-171-05110a3a3509a6bd.jpg
G391-174-c0b5a0502dd474a0,object,CROWD,PERSON_OR_APPAREL,NO_BALL_VISIBLE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-174-c0b5a0502dd474a0.jpg
G391-175-68d23803535d7f29,object,CROWD,PERSON_OR_APPAREL,NO_BALL_VISIBLE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-175-68d23803535d7f29.jpg
G391-181-ced5d1db84a025e4,object+ball_state,CROWD,PERSON_OR_APPAREL,BALL_UNCERTAIN,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-181-ced5d1db84a025e4.jpg
G391-186-6877463bc453a135,ball_state,PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_UNCERTAIN,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-186-6877463bc453a135.jpg
G391-189-90fafe828227284e,ball_state,PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_UNCERTAIN,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-189-90fafe828227284e.jpg
G391-202-a4c5c3a83d1b31ad,object+ball_state,EQUIPMENT,PERSON_OR_APPAREL,BALL_UNCERTAIN,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-202-a4c5c3a83d1b31ad.jpg
G391-204-2beabcc33a7176bf,object+ball_state,EQUIPMENT,PERSON_OR_APPAREL,BALL_UNCERTAIN,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-204-2beabcc33a7176bf.jpg
G391-205-fb3e75cf42cd303a,object,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-205-fb3e75cf42cd303a.jpg
G391-208-835fc7054045fb77,object,EQUIPMENT,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-208-835fc7054045fb77.jpg
G391-209-6be8cb0639fd2b0d,object+ball_state,CROWD,BALL,BALL_ELSEWHERE,BALL_AT_MARKER,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-209-6be8cb0639fd2b0d.jpg
G391-213-2ef75619097d9fed,ball_state,CROWD,CROWD,BALL_UNCERTAIN,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-213-2ef75619097d9fed.jpg
G391-216-837c37c260c60522,ball_state,CROWD,CROWD,BALL_UNCERTAIN,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-216-837c37c260c60522.jpg
G391-217-aa3674c2d0965e44,ball_state,CROWD,CROWD,BALL_UNCERTAIN,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-217-aa3674c2d0965e44.jpg
G391-224-30f26630e1e723f7,object+ball_state,CROWD,PERSON_OR_APPAREL,BALL_UNCERTAIN,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-224-30f26630e1e723f7.jpg
G391-225-22d6da7ea3a87e68,ball_state,CROWD,CROWD,BALL_UNCERTAIN,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-225-22d6da7ea3a87e68.jpg
G391-228-dea5991fc6620f0e,object+ball_state,BALL,PERSON_OR_APPAREL,BALL_AT_MARKER,BALL_UNCERTAIN,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-228-dea5991fc6620f0e.jpg
G391-229-f616feaa15e54302,object+ball_state,PERSON_OR_APPAREL,BALL,BALL_UNCERTAIN,BALL_AT_MARKER,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-229-f616feaa15e54302.jpg
G391-232-bc686c747f26a5c6,object,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-232-bc686c747f26a5c6.jpg
G391-233-758a6eb3067b8bc4,ball_state,CROWD,CROWD,BALL_UNCERTAIN,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-233-758a6eb3067b8bc4.jpg
G391-240-7dde087ce5de25ca,ball_state,CROWD,CROWD,BALL_UNCERTAIN,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-240-7dde087ce5de25ca.jpg
G391-253-16ac6465191b0e3f,object,CROWD,PERSON_OR_APPAREL,NO_BALL_VISIBLE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-253-16ac6465191b0e3f.jpg
G391-254-5dc5f7cefb67980e,object+ball_state,PERSON_OR_APPAREL,EQUIPMENT,BALL_ELSEWHERE,NO_BALL_VISIBLE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-254-5dc5f7cefb67980e.jpg
G391-255-8295a24db1b6ac39,object,EQUIPMENT,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_ELSEWHERE,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-255-8295a24db1b6ac39.jpg
G391-259-d3c1fea9cbc6c972,object+ball_state,CROWD,PERSON_OR_APPAREL,BALL_ELSEWHERE,BALL_UNCERTAIN,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-259-d3c1fea9cbc6c972.jpg
