sample,position,packet_id,duplicate_of_earlier_pick,outcome,reference_label,audit_class,object,ball_state,resolution,game,section,frame_index,render
all,5,G391-044-34d8b2788769f012,0,TRUE_CALL,VISIBLE,NEAR_MISS_LOCALISATION,BALL,BALL_AT_MARKER,AGREED,UHJ90jJmCYw,UHJ90jJmCYw_s90,2512,renders/all_05_G391-044-34d8b2788769f012.jpg
all,6,G391-053-69a3aa12f69b836d,0,FALSE_CALL,UNKNOWN,SUSPECTED_REFERENCE_ERROR,BALL,BALL_AT_MARKER,AGREED,hOtf1-DI88w,hOtf1-DI88w_s90,1567,renders/all_06_G391-053-69a3aa12f69b836d.jpg
all,7,G391-061-88ea68b69f3fbe79,0,FALSE_CALL,ABSENT,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,0KIBu1jQBL8,0KIBu1jQBL8_s5665,1399,renders/all_07_G391-061-88ea68b69f3fbe79.jpg
all,8,G391-070-80b337ed57864f80,0,TRUE_CALL,VISIBLE,NEAR_MISS_LOCALISATION,BALL,BALL_AT_MARKER,AGREED,HUSo3PzP7lo,HUSo3PzP7lo_s402,332,renders/all_08_G391-070-80b337ed57864f80.jpg
all,9,G391-079-7fed64ff5b7d1b7b,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,XzIzQZBrPBY,XzIzQZBrPBY_s398,6075,renders/all_09_G391-079-7fed64ff5b7d1b7b.jpg
all,10,G391-087-8f3a417862016b55,0,FALSE_CALL,ABSENT,BACKGROUND_CONFUSION_COURT_OR_LOGO,COURT_OR_LOGO,NO_BALL_VISIBLE,AGREED,uZkAbRqeGrc,uZkAbRqeGrc_s1607,326,renders/all_10_G391-087-8f3a417862016b55.jpg
all,11,G391-096-0b3da9202f23dbb9,0,FALSE_CALL,ABSENT,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,NO_BALL_VISIBLE,ADJUDICATED,8kHt2bFTK6g,8kHt2bFTK6g_s90,32,renders/all_11_G391-096-0b3da9202f23dbb9.jpg
all,12,G391-105-d6cdbf7b49628cbb,0,FALSE_CALL,ABSENT,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,UPco-jzOoEg,UPco-jzOoEg_s2796,3503,renders/all_12_G391-105-d6cdbf7b49628cbb.jpg
all,13,G391-113-63483006c93e2c5c,0,TRUE_CALL,VISIBLE,NEAR_MISS_LOCALISATION,BALL,BALL_AT_MARKER,AGREED,hOtf1-DI88w,hOtf1-DI88w_s90,3070,renders/all_13_G391-113-63483006c93e2c5c.jpg
all,14,G391-122-63b9d0923ffd273d,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,1E5Rw89keTg,1E5Rw89keTg_s312,3133,renders/all_14_G391-122-63b9d0923ffd273d.jpg
all,15,G391-131-7a4e29ee943c9f45,0,TRUE_CALL,VISIBLE,NEAR_MISS_LOCALISATION,BALL,BALL_AT_MARKER,AGREED,LPDnemFoqVk,LPDnemFoqVk_s3306,1247,renders/all_15_G391-131-7a4e29ee943c9f45.jpg
all,16,G391-139-811f012f75ee899f,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_CROWD,CROWD,BALL_ELSEWHERE,ADJUDICATED,XzIzQZBrPBY,XzIzQZBrPBY_s398,7051,renders/all_16_G391-139-811f012f75ee899f.jpg
all,17,G391-148-c942d3c106784e2f,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,ADJUDICATED,uZkAbRqeGrc,uZkAbRqeGrc_s3124,371,renders/all_17_G391-148-c942d3c106784e2f.jpg
all,18,G391-156-a2fee10a398b0a03,0,FALSE_CALL,UNKNOWN,BACKGROUND_CONFUSION_SIGNAGE_OR_GRAPHIC,SIGNAGE_OR_GRAPHIC,NO_BALL_VISIBLE,AGREED,8kHt2bFTK6g,8kHt2bFTK6g_s90,1262,renders/all_18_G391-156-a2fee10a398b0a03.jpg
all,19,G391-165-191cf320a69a0c13,0,TRUE_CALL,VISIBLE,NEAR_MISS_LOCALISATION,BALL,BALL_AT_MARKER,AGREED,UPco-jzOoEg,UPco-jzOoEg_s2796,4997,renders/all_19_G391-165-191cf320a69a0c13.jpg
all,20,G391-174-c0b5a0502dd474a0,0,FALSE_CALL,ABSENT,BACKGROUND_CONFUSION_CROWD,CROWD,NO_BALL_VISIBLE,ADJUDICATED,myAuD3DmJMY,myAuD3DmJMY_s3957,2189,renders/all_20_G391-174-c0b5a0502dd474a0.jpg
all,21,G391-182-1bd4e22c9b39ee08,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_CROWD,CROWD,BALL_ELSEWHERE,AGREED,1E5Rw89keTg,1E5Rw89keTg_s312,3886,renders/all_21_G391-182-1bd4e22c9b39ee08.jpg
all,22,G391-191-a66c876f4ef413c9,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,LPDnemFoqVk,LPDnemFoqVk_s3306,2765,renders/all_22_G391-191-a66c876f4ef413c9.jpg
all,23,G391-200-2be411f7baf20ab6,0,FALSE_CALL,UNKNOWN,SUSPECTED_REFERENCE_ERROR,BALL,BALL_AT_MARKER,AGREED,Ze8frxZxNyk,Ze8frxZxNyk_s3924,1332,renders/all_23_G391-200-2be411f7baf20ab6.jpg
all,24,G391-208-835fc7054045fb77,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_EQUIPMENT,EQUIPMENT,BALL_ELSEWHERE,ADJUDICATED,uZkAbRqeGrc,uZkAbRqeGrc_s3124,2100,renders/all_24_G391-208-835fc7054045fb77.jpg
all,25,G391-217-aa3674c2d0965e44,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_CROWD,CROWD,BALL_ELSEWHERE,ADJUDICATED,9F5q5jCbrMI,9F5q5jCbrMI_s3630,3931,renders/all_25_G391-217-aa3674c2d0965e44.jpg
all,26,G391-225-22d6da7ea3a87e68,0,FALSE_CALL,UNKNOWN,BACKGROUND_CONFUSION_CROWD,CROWD,BALL_ELSEWHERE,ADJUDICATED,UPco-jzOoEg,UPco-jzOoEg_s2796,7487,renders/all_26_G391-225-22d6da7ea3a87e68.jpg
all,27,G391-234-44bc710dd3112534,0,TRUE_CALL,VISIBLE,NEAR_MISS_LOCALISATION,BALL,BALL_AT_MARKER,AGREED,myAuD3DmJMY,myAuD3DmJMY_s3957,3189,renders/all_27_G391-234-44bc710dd3112534.jpg
all,28,G391-243-ca3d6c69a08d680c,0,FALSE_CALL,VISIBLE,NEAR_MISS_LOCALISATION,BALL,BALL_AT_MARKER,AGREED,7WBKNCu3NLU,7WBKNCu3NLU_s90,2454,renders/all_28_G391-243-ca3d6c69a08d680c.jpg
all,29,G391-251-1d857ea835de65ca,0,TRUE_CALL,VISIBLE,NEAR_MISS_LOCALISATION,BALL,BALL_AT_MARKER,AGREED,XzIzQZBrPBY,XzIzQZBrPBY_s398,4611,renders/all_29_G391-251-1d857ea835de65ca.jpg
