token,path,line,in_proposed_diff,changed_by_proposal,alias_note
max_frames,scripts/master_pipeline.py,242,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/master_pipeline.py,259,False,unchanged meaning; stays an explicit EARLIER frame cap,
--frames,scripts/master_pipeline.py,267,False,argv value unchanged; emitted only when explicit or legacy,
duration_seconds,scripts/platformkit/_retired/tennis_resolution_anchor_ab.py,158,False,"new additive parameter, default None",
max_frames,scripts/platformkit/adapter_run.py,102,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/attempted_frame_count_source.py,145,False,no,
max_frames,scripts/platformkit/attempted_frame_count_source.py,146,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/attempted_frame_count_source.py,150,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/attempted_frame_count_source.py,157,False,no,
max_frames,scripts/platformkit/attempted_frame_count_source.py,167,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/attempted_frame_count_source.py,173,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/attempted_frame_count_source.py,175,False,no,
evaluated_frames,scripts/platformkit/attempted_frame_count_source.py,195,False,no,
evaluated_frames,scripts/platformkit/attempted_frame_count_source.py,198,False,no,
max_frames,scripts/platformkit/attempted_frame_count_source.py,201,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/attempted_frame_count_source.py,205,False,no,
max_frames,scripts/platformkit/baseball_calib_probe.py,99,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/baseball_calib_probe.py,126,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/basketball_keypoint_measure.py,19,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/basketball_keypoint_measure.py,25,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/basketball_keypoint_measure.py,31,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/basketball_keypoint_measure.py,67,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/basketball_keypoint_measure.py,69,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/basketball_line_funnel.py,21,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/basketball_line_funnel.py,32,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/basketball_line_funnel.py,88,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/basketball_line_funnel.py,90,False,unchanged meaning; stays an explicit EARLIER frame cap,
_SENTINEL,scripts/platformkit/clv_ledger_record_guard.py,67,False,unchanged 3-tuple; read() tolerates both item widths,
total_frames,scripts/platformkit/court_transform.py,48,False,no,
total_frames,scripts/platformkit/court_transform.py,143,False,no,
total_frames,scripts/platformkit/court_transform.py,149,False,no,
--frames,scripts/platformkit/detection/measure_detector_delta.py,153,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/platformkit/footage_bridge.py,500,False,argv value unchanged; emitted only when explicit or legacy,
max_frames,scripts/platformkit/footage_cycle.py,143,False,unchanged meaning; stays an explicit EARLIER frame cap,
--frames,scripts/platformkit/footage_cycle.py,154,False,argv value unchanged; emitted only when explicit or legacy,
max_frames,scripts/platformkit/football_smoke.py,24,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/football_smoke.py,40,False,unchanged meaning; stays an explicit EARLIER frame cap,
duration_seconds,scripts/platformkit/g110_tile_nonreproducibility.py,149,False,"new additive parameter, default None",
_SENTINEL,scripts/platformkit/ingame/snapshot.py,57,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/platformkit/ingame/test_enrichment_gate_validation_v2.py,52,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/platformkit/ingame/test_enrichment_gate_validation_v2.py,55,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/platformkit/intel_weighting/sport_config.py,42,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/platformkit/intel_weighting/sport_config.py,121,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/platformkit/intel_weighting/sport_config.py,122,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/platformkit/odds_provider/test_capture_vintage_guard.py,48,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/platformkit/odds_provider/test_capture_vintage_guard.py,59,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/platformkit/odds_provider/test_capture_vintage_guard.py,66,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/platformkit/select_tests.py,56,False,unchanged 3-tuple; read() tolerates both item widths,
_SENTINEL,scripts/platformkit/select_tests.py,188,False,unchanged 3-tuple; read() tolerates both item widths,
--frames,scripts/platformkit/soccer_s1_adjudication_packet.py,152,False,argv value unchanged; emitted only when explicit or legacy,
total_frames,scripts/platformkit/soccer_s1_ext_packet.py,52,False,no,
total_frames,scripts/platformkit/soccer_s1_ext_packet.py,60,False,no,
total_frames,scripts/platformkit/soccer_s1_ext_packet.py,162,False,no,
total_frames,scripts/platformkit/soccer_s1_stream_packet.py,22,False,no,
total_frames,scripts/platformkit/soccer_s1_stream_packet.py,24,False,no,
total_frames,scripts/platformkit/soccer_s1_stream_packet.py,25,False,no,
total_frames,scripts/platformkit/soccer_s1_stream_packet.py,28,False,no,
total_frames,scripts/platformkit/soccer_s1_stream_packet.py,137,False,no,
max_frames,scripts/platformkit/synthcal/solve.py,73,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/synthcal/solve.py,81,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/synthcal/solve.py,104,False,unchanged meaning; stays an explicit EARLIER frame cap,
--frames,scripts/platformkit/synthcal/trace_emitter.py,97,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/platformkit/synthcal/trace_emitter.py,102,False,argv value unchanged; emitted only when explicit or legacy,
max_frames,scripts/platformkit/tennis_camera_lock_measure.py,91,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_court_gate_probe.py,22,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_court_gate_probe.py,24,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_court_visibility_probe.py,23,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_court_visibility_probe.py,31,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_court_visibility_probe.py,54,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_court_visibility_probe.py,56,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_court_visibility_probe.py,59,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_detector_recall.py,81,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_detector_recall.py,88,False,unchanged meaning; stays an explicit EARLIER frame cap,
--frames,scripts/platformkit/tennis_detector_recall.py,109,False,argv value unchanged; emitted only when explicit or legacy,
max_frames,scripts/platformkit/tennis_warmup_probe.py,20,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_warmup_probe.py,30,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_warmup_probe.py,43,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_warmup_probe.py,58,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_wave7_falsifiers.py,6,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_wave7_falsifiers.py,34,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_wave7_falsifiers.py,35,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_wave7_falsifiers.py,52,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tennis_wave7_falsifiers.py,116,False,unchanged meaning; stays an explicit EARLIER frame cap,
total_frames,scripts/platformkit/test_court_transform.py,38,False,no,
total_frames,scripts/platformkit/test_court_transform.py,95,False,no,
total_frames,scripts/platformkit/test_court_transform.py,101,False,no,
evaluated_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,7,False,no,
max_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,18,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,21,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,34,False,no,
evaluated_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,43,False,no,
max_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,51,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,64,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,69,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,69,False,no,
max_frames,scripts/platformkit/test_evaluated_frame_count_direct_path.py,72,False,unchanged meaning; stays an explicit EARLIER frame cap,
--frames,scripts/platformkit/test_footage_bridge.py,62,False,argv value unchanged; emitted only when explicit or legacy,
max_frames,scripts/platformkit/test_football_smoke.py,22,False,unchanged meaning; stays an explicit EARLIER frame cap,
build_command,scripts/platformkit/test_track_daemon.py,283,False,signature gains two defaulted keyword arguments,
build_command,scripts/platformkit/test_track_daemon.py,286,False,signature gains two defaulted keyword arguments,
build_command,scripts/platformkit/test_track_daemon.py,294,False,signature gains two defaulted keyword arguments,
build_command,scripts/platformkit/test_track_daemon.py,301,False,signature gains two defaulted keyword arguments,
build_command,scripts/platformkit/test_track_daemon.py,351,False,signature gains two defaulted keyword arguments,
evaluated_frames,scripts/platformkit/test_track_daemon_done.py,123,False,no,
max_frames,scripts/platformkit/test_track_daemon_done.py,127,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/test_track_daemon_ledger_denominator.py,52,False,no,
build_command,scripts/platformkit/track_daemon.py,80,True,signature gains two defaulted keyword arguments,
--frames,scripts/platformkit/track_daemon.py,96,True,argv value unchanged; emitted only when explicit or legacy,
evaluated_frames,scripts/platformkit/track_daemon.py,317,True,no,
build_command,scripts/platformkit/track_daemon.py,376,True,signature gains two defaulted keyword arguments,
max_frames,scripts/platformkit/track_daemon_done.py,108,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/track_daemon_done.py,112,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/track_daemon_done.py,121,False,no,
max_frames,scripts/platformkit/track_daemon_done.py,122,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/track_daemon_done.py,126,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/track_daemon_done.py,126,False,no,
max_frames,scripts/platformkit/track_daemon_done.py,131,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/track_daemon_done.py,131,False,no,
max_frames,scripts/platformkit/track_daemon_done.py,133,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/track_daemon_done.py,133,False,no,
max_frames,scripts/platformkit/track_daemon_done.py,143,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/track_daemon_done.py,149,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/track_daemon_done.py,150,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/track_daemon_done.py,203,False,no,
evaluated_frames,scripts/platformkit/track_daemon_done.py,209,False,no,
max_frames,scripts/platformkit/track_daemon_done.py,225,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/track_daemon_done.py,227,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/track_daemon_done.py,227,False,no,
max_frames,scripts/platformkit/track_daemon_done.py,232,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/track_daemon_done.py,240,False,no,
max_frames,scripts/platformkit/track_daemon_done.py,243,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/track_daemon_ledger.py,27,False,no,
max_frames,scripts/platformkit/tracking/baseball_scale_probe.py,56,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tracking/baseball_scale_probe.py,73,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tracking/baseball_scale_probe.py,148,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tracking/football_fieldview.py,160,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tracking/football_fieldview.py,165,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tracking/football_fieldview.py,199,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tracking/football_snap.py,146,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tracking/football_snap.py,154,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tracking/football_snap.py,174,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tracking/football_snap.py,177,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tracking/football_snap.py,193,False,unchanged meaning; stays an explicit EARLIER frame cap,
--frames,scripts/platformkit/tracking/g184_corner_detector_defect.py,238,False,argv value unchanged; emitted only when explicit or legacy,
evaluated_frames,scripts/platformkit/tracking/g185_coordinate_contract_wall.py,123,False,no,
_FramePrefetcher,scripts/platformkit/tracking/g198_prefetch_frame_misalignment.py,164,False,queue items gain a 4th element; read() shape unchanged,
_FramePrefetcher,scripts/platformkit/tracking/g198_prefetch_frame_misalignment.py,168,False,queue items gain a 4th element; read() shape unchanged,
_FramePrefetcher,scripts/platformkit/tracking/g198_prefetch_frame_misalignment.py,198,False,queue items gain a 4th element; read() shape unchanged,
--frames,scripts/platformkit/tracking/g198_prefetch_frame_misalignment.py,231,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/platformkit/tracking/g198_prefetch_frame_misalignment.py,263,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/platformkit/tracking/g200_pod_concurrency.py,36,False,argv value unchanged; emitted only when explicit or legacy,
_decord_frame_iter,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,77,True,yields a 5th element (presentation seconds or None),
_FramePrefetcher,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,79,True,queue items gain a 4th element; read() shape unchanged,
_decord_frame_iter,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,95,True,yields a 5th element (presentation seconds or None),
_FramePrefetcher,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,104,True,queue items gain a 4th element; read() shape unchanged,
_decord_frame_iter,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,118,True,yields a 5th element (presentation seconds or None),
_pyav_frame_iter,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,144,True,yields a 5th element (presentation seconds or None),
_decord_frame_iter,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,145,True,yields a 5th element (presentation seconds or None),
_pyav_frame_iter,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,161,True,yields a 5th element (presentation seconds or None),
_decord_frame_iter,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,162,True,yields a 5th element (presentation seconds or None),
_decord_frame_iter,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,188,True,yields a 5th element (presentation seconds or None),
_FramePrefetcher,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,203,True,queue items gain a 4th element; read() shape unchanged,
_FramePrefetcher,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,212,True,queue items gain a 4th element; read() shape unchanged,
--frames,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,216,True,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/platformkit/tracking/g203_decode_determinism_bisect.py,238,True,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/platformkit/tracking/g211_per_frame_cost.py,21,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/platformkit/tracking/g211_per_frame_cost.py,73,False,argv value unchanged; emitted only when explicit or legacy,
duration_seconds,scripts/platformkit/tracking/g220_amateur_footage.py,27,False,"new additive parameter, default None",
duration_seconds,scripts/platformkit/tracking/g220_amateur_footage.py,94,False,"new additive parameter, default None",
duration_seconds,scripts/platformkit/tracking/g220c_amateur_footage.py,31,False,"new additive parameter, default None",
duration_seconds,scripts/platformkit/tracking/g220c_amateur_footage.py,47,False,"new additive parameter, default None",
duration_seconds,scripts/platformkit/tracking/g221_runtime_denominator.py,61,False,"new additive parameter, default None",
_FramePrefetcher,scripts/platformkit/tracking/g221_runtime_denominator.py,120,False,queue items gain a 4th element; read() shape unchanged,
_FramePrefetcher,scripts/platformkit/tracking/g221_runtime_denominator.py,131,False,queue items gain a 4th element; read() shape unchanged,
--frames,scripts/platformkit/tracking/g235_build_court_crash_confirmation.py,77,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/platformkit/tracking/g238_homography_inlier_census.py,107,False,argv value unchanged; emitted only when explicit or legacy,
duration_seconds,scripts/platformkit/tracking/g280_amateur_footage_trackability.py,76,False,"new additive parameter, default None",
max_frames,scripts/platformkit/tracking/g280_amateur_footage_trackability.py,117,False,unchanged meaning; stays an explicit EARLIER frame cap,
max_frames,scripts/platformkit/tracking/g280_amateur_footage_trackability.py,125,False,unchanged meaning; stays an explicit EARLIER frame cap,
--frames,scripts/platformkit/tracking/g285_per_person_recall.py,203,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/platformkit/tracking/g286_what_is_at_footpoint.py,244,False,argv value unchanged; emitted only when explicit or legacy,
start_pts,scripts/platformkit/tracking/g296b_seek_frames.py,41,False,no,
start_pts,scripts/platformkit/tracking/g296b_seek_frames.py,44,False,no,
duration_seconds,scripts/platformkit/tracking/g302_source_identity.py,39,False,"new additive parameter, default None",
duration_seconds,scripts/platformkit/tracking/g302_source_identity.py,42,False,"new additive parameter, default None",
duration_seconds,scripts/platformkit/tracking/g304_e1_extension.py,79,False,"new additive parameter, default None",
duration_seconds,scripts/platformkit/tracking/g304_e1_extension.py,124,False,"new additive parameter, default None",
duration_seconds,scripts/platformkit/tracking/g304_e1_extension.py,125,False,"new additive parameter, default None",
evaluated_frames,scripts/platformkit/tracking/g309_multigame_census.py,153,False,no,
evaluated_frames,scripts/platformkit/tracking/g310_instance_key.py,82,False,no,
evaluated_frames,scripts/platformkit/tracking/g310_instance_key.py,83,False,no,
evaluated_frames,scripts/platformkit/tracking/g310_instance_key.py,85,False,no,
evaluated_frames,scripts/platformkit/tracking/g310_instance_key.py,86,False,no,
evaluated_frames,scripts/platformkit/tracking/g310_native_input_arm.py,44,False,no,
evaluated_frames,scripts/platformkit/tracking/g310_native_input_arm.py,59,False,no,
evaluated_frames,scripts/platformkit/tracking/g310_native_input_arm.py,62,False,no,
evaluated_frames,scripts/platformkit/tracking/g310_native_input_arm.py,88,False,no,
evaluated_frames,scripts/platformkit/tracking/g310_native_input_arm.py,91,False,no,
--frames,scripts/platformkit/tracking/g310_native_input_arm.py,129,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/platformkit/tracking/g310_native_input_arm.py,214,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/platformkit/tracking/g310_native_input_arm.py,285,False,argv value unchanged; emitted only when explicit or legacy,
--frames,scripts/platformkit/tracking/g311_apache_detector_arm.py,168,False,argv value unchanged; emitted only when explicit or legacy,
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,1,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,5,False,no,
max_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,26,False,unchanged meaning; stays an explicit EARLIER frame cap,
evaluated_frames,scripts/platformkit/tracking/g312_readjudicate_coverage.py,26,False,no,
